nachname;vorname;geburtsjahr;partei;wahlkreis;landeslistePlatz;bundesland;jahr
Brunken;Jakob;1987;GRÜNE;9;12;Schleswig-Holstein;2021
Witt;Uwe;1959;AfD;9;1;Schleswig-Holstein;2021
Spethmann;Susanne;1979;DIE LINKE;9;4;Schleswig-Holstein;2021
Gutzeit;David Frederic;2001;FREIE WÄHLER;9;3;Schleswig-Holstein;2021
Metzig;Michael;1964;dieBasis;9;8;Schleswig-Holstein;2021
Schlüter;Mergim René;1995;EB: Schlüter 9; 9;;;2021
Peters;Thomas;1975;CDU;10;11;Schleswig-Holstein;2021
Scheer;Nina;1971;SPD;10;2;Schleswig-Holstein;2021
Turowski;Martin;1973;FDP;10;8;Schleswig-Holstein;2021
Notz;Konstantin;1971;GRÜNE;10;4;Schleswig-Holstein;2021
Neumann;Wiebke;1974;AfD;10;4;Schleswig-Holstein;2021
Hinrichs;Christoph Ulrich;1967;DIE LINKE;10;;;2021
Schönfelder;Arne;1970;Die PARTEI;10;8;Schleswig-Holstein;2021
Runge;Christian;1978;FREIE WÄHLER;10;;;2021
Micklich;Matthias;1963;dieBasis;10;;;2021
Schlüter;Peter Johannes;1955;DKP;10;7;Schleswig-Holstein;2021
Schmidtke;Claudia;1966;CDU;11;8;Schleswig-Holstein;2021
Klüssendorf;Tim;1991;SPD;11;5;Schleswig-Holstein;2021
Stegemann;Heike Margit;1964;FDP;11;7;Schleswig-Holstein;2021
Hönel;Bruno;1996;GRÜNE;11;6;Schleswig-Holstein;2021
Jenniches;David;1977;AfD;11;;;2021
Tankacheyev;Emil;2002;DIE LINKE;11;;;2021
Schacht;Alexander Sebastian;1982;Die PARTEI;11;7;Schleswig-Holstein;2021
Voht;Gregor;1990;FREIE WÄHLER;11;1;Schleswig-Holstein;2021
Möller;Lüder Paul Wilhelm;1949;MLPD;11;2;Schleswig-Holstein;2021
Kemper;Uta;1960;dieBasis;11;;;2021
Link;Wilfried Emil;1944;DKP;11;6;Schleswig-Holstein;2021
Wobusa;Jennifer;1992;du.;11;;;2021
Nielsen;Lutz Artur Heinz;1958;LKR;11;;;2021
Sánchez Copano;Fabio;1996;Volt;11;4;Schleswig-Holstein;2021
Kerkhoff;Thorsten;1969;EB: Kerkhoff 11; 11;;;2021
Monstadt;Dietrich;1957;CDU;12;2;Mecklenburg-Vorpommern;2021
Beckmann;Steffen;1978;AfD;12;6;Mecklenburg-Vorpommern;2021
Latendorf;Ina;1971;DIE LINKE;12;2;Mecklenburg-Vorpommern;2021
Alabali-Radovan;Reem;1990;SPD;12;6;Mecklenburg-Vorpommern;2021
Meffert;Yannik;1995;FDP;12;7;Mecklenburg-Vorpommern;2021
Tamm;Claudia;1968;GRÜNE;12;;;2021
Stoffers;Alrik;1990;Die PARTEI;12;1;Mecklenburg-Vorpommern;2021
Klähn;Anja;1982;FREIE WÄHLER;12;2;Mecklenburg-Vorpommern;2021
Beckmann;Bert;1958;MLPD;12;2;Mecklenburg-Vorpommern;2021
Gericke;Fritz Wolfgang Eberhard;1949;dieBasis;12;;;2021
Jagau;Karsten Erich Theodor;1956;PIRATEN;12;2;Mecklenburg-Vorpommern;2021
Borchardt;Simone;1967;CDU;13;3;Mecklenburg-Vorpommern;2021
Mrachacz;Andreas-Michael;1953;AfD;13;;;2021
Keller;Judith;1964;DIE LINKE;13;5;Mecklenburg-Vorpommern;2021
Junge;Frank Michael;1967;SPD;13;1;Mecklenburg-Vorpommern;2021
Bohl;Daniel;1972;FDP;13;4;Mecklenburg-Vorpommern;2021
Mölau;Martin;1987;GRÜNE;13;;;2021
Neitzel;Torsten;1966;FREIE WÄHLER;13;5;Mecklenburg-Vorpommern;2021
Zajonc;Stephanie Gisela Rosa;1978;dieBasis;13;;;2021
Löwe;Rainer;1953;EB: Löwe 13; 13;;;2021
Stein;Peter;1968;CDU;14;6;Mecklenburg-Vorpommern;2021
Pontow;Tobias;1987;AfD;14;4;Mecklenburg-Vorpommern;2021
Bartsch;Dietmar Gerhard;1958;DIE LINKE;14;1;Mecklenburg-Vorpommern;2021
Zschau;Katrin;1976;SPD;14;4;Mecklenburg-Vorpommern;2021
Reinhold;Hagen;1978;FDP;14;1;Mecklenburg-Vorpommern;2021
Tesche;Andreas;1958;GRÜNE;14;4;Mecklenburg-Vorpommern;2021
Jörn;Seraphine Antonia;2001;Tierschutzpartei;14;2;Mecklenburg-Vorpommern;2021
Dubberke;Christine;1980;FREIE WÄHLER;14;4;Mecklenburg-Vorpommern;2021
Dunst;Eric;1995;MLPD;14;4;Mecklenburg-Vorpommern;2021
Kreft;Susanne Franziska Gertrud;1964;dieBasis;14;;;2021
Rühmann;Jan-Peter;1967;PIRATEN;14;3;Mecklenburg-Vorpommern;2021
Günther;Georg;1988;CDU;15;4;Mecklenburg-Vorpommern;2021
Holm;Leif-Erik;1970;AfD;15;1;Mecklenburg-Vorpommern;2021
Kassner;Kerstin;1958;DIE LINKE;15;;;2021
Kassautzki;Anna Katharina;1993;SPD;15;2;Mecklenburg-Vorpommern;2021
Adler;Sebastian;1984;FDP;15;3;Mecklenburg-Vorpommern;2021
Müller;Claudia Heike;1981;GRÜNE;15;1;Mecklenburg-Vorpommern;2021
Gabel;Robert;1979;Tierschutzpartei;15;1;Mecklenburg-Vorpommern;2021
Pistor;Mark Peter;1973;Die PARTEI;15;3;Mecklenburg-Vorpommern;2021
Holthusen;Heidelind;1949;FREIE WÄHLER;15;6;Mecklenburg-Vorpommern;2021
Schulze;Karl-Heinz;1955;MLPD;15;6;Mecklenburg-Vorpommern;2021
