nachname;vorname;geburtsjahr;partei;wahlkreis;landeslistePlatz;bundesland;jahr
Wolfer;Christa;1956;MLPD;85;7;Sachsen-Anhalt;2021
Scherka;Axel;1967;LKR;85;10;Berlin;2021
Lucas;Dietmar;1962;dieBasis;85;;;2021
Nünthel;Wilfried;1955;CDU;86;;;2021
Lötzsch;Gesine;1961;DIE LINKE;86;3;Berlin;2021
Ingenbleek;Anja Sigrid;1971;SPD;86;8;Berlin;2021
Dornheim;Laura Sophie;1983;GRÜNE;86;6;Berlin;2021
Drewes;Dietmar;1955;AfD;86;;;2021
Thiel;Lina;2003;FDP;86;;;2021
Röhner;Nora;1981;Die PARTEI;86;1;Berlin;2021
Michel;Katja;1982;Tierschutzpartei;86;;;2021
Bauer;Tobias;1982;FREIE WÄHLER;86;1;Berlin;2021
Stemmer;Lisa;1990;ÖDP;86;;;2021
Arnecke;Dagmar;1951;MLPD;86;;;2021
Bruse;Matthias;1977;LKR;86;3;Berlin;2021
Klieboldt;Ulrich;1968;dieBasis;86;;;2021
Henke;Rudolf Paul Maria;1954;CDU;87;33;Nordrhein-Westfalen;2021
Rhie;Ye-One;1987;SPD;87;30;Nordrhein-Westfalen;2021
Willkomm;Katharina;1987;FDP;87;20;Nordrhein-Westfalen;2021
Lebien;Roger Henricus Katharina;1974;AfD;87;;;2021
Krischer;Oliver;1969;GRÜNE;87;2;Nordrhein-Westfalen;2021
Hunko;Andrej Konstantin;1963;DIE LINKE;87;4;Nordrhein-Westfalen;2021
Zobel;Elke;1963;Die PARTEI;87;;;2021
Fink;Hans-Jürgen;1967;FREIE WÄHLER;87;;;2021
Korupp;Stephan;1963;dieBasis;87;;;2021
Böving;Adonis;1976;EB: Böving 87; 87;;;2021
Teßmann;Niklas;1997;EB: Teßmann 87; 87;;;2021
Santos Firnhaber;Catarina;1994;CDU;88;15;Nordrhein-Westfalen;2021
Moll;Claudia;1968;SPD;88;8;Nordrhein-Westfalen;2021
Haveneth;Birgit;1975;FDP;88;48;Nordrhein-Westfalen;2021
Winterich;Michael;1977;AfD;88;;;2021
Benner;Lukas;1996;GRÜNE;88;26;Nordrhein-Westfalen;2021
Koch;Johannes;1957;DIE LINKE;88;;;2021
Heck;Eckhard;1962;Die PARTEI;88;;;2021
Keischgens;Josef Helmut;1965;FREIE WÄHLER;88;;;2021
Susen;Axel;1960;dieBasis;88;;;2021
Oellers;Wilfried;1975;CDU;89;47;Nordrhein-Westfalen;2021
Spinrath;Norbert;1957;SPD;89;35;Nordrhein-Westfalen;2021
Dorner;Alexander;1995;FDP;89;;;2021
Navel;Hermann Joseph;1948;AfD;89;;;2021
Meurer;Dignanllely;1990;GRÜNE;89;;;2021
Birmann;Rüdiger;1971;DIE LINKE;89;;;2021
Benecke;Mark Oliver;1970;Die PARTEI;89;1;Nordrhein-Westfalen;2021
Weiland;Hans-Peter;1959;FREIE WÄHLER;89;;;2021
Aggelidis;Michael Georg;1962;dieBasis;89;10;Nordrhein-Westfalen;2021
Rachel;Thomas Walther;1962;CDU;90;9;Nordrhein-Westfalen;2021
Nietan;Dietmar Heinrich;1964;SPD;90;17;Nordrhein-Westfalen;2021
Jacobsen-Littig;Laura Sophie;1992;FDP;90;29;Nordrhein-Westfalen;2021
Kochs;Wolfgang Heinrich Johann Helmut;1965;AfD;90;;;2021
Andrä;Christian Thomas;1962;GRÜNE;90;46;Nordrhein-Westfalen;2021
Veithen;Valentin Raimund;1946;DIE LINKE;90;;;2021
Staß;Stephan;1980;Die PARTEI;90;;;2021
Eismar;Philipp Benno;1999;PIRATEN;90;;;2021
Bank;Frank Werner;1972;FREIE WÄHLER;90;;;2021
Hürttlen;Werner Heinz;1963;dieBasis;90;25;Nordrhein-Westfalen;2021
Helmer;Peter Eberhard;1961;UNABHÄNGIGE;90;;;2021
Kippels;Georg;1959;CDU;91;29;Nordrhein-Westfalen;2021
Spielmanns;Aaron Luca;1998;SPD;91;47;Nordrhein-Westfalen;2021
Westerschulze;Stefan;1977;FDP;91;30;Nordrhein-Westfalen;2021
Schmidt;Eugen;1975;AfD;91;10;Nordrhein-Westfalen;2021
Warnecke;Rüdiger;1959;GRÜNE;91;;;2021
Seitz;Şirin Daniella;1990;DIE LINKE;91;;;2021
Katzmarek;Kristian;1994;PIRATEN;91;5;Nordrhein-Westfalen;2021
Wokulat;Ulrich;1975;FREIE WÄHLER;91;15;Nordrhein-Westfalen;2021
Müller;Patrik Michael;1979;dieBasis;91;;;2021
Susojev;Helene;1979;LIEBE;91;1;Nordrhein-Westfalen;2021
Seif;Detlef;1962;CDU;92;43;Nordrhein-Westfalen;2021
Andres;Dagmar;1969;SPD;92;18;Nordrhein-Westfalen;2021
Herbrand;Markus;1971;FDP;92;12;Nordrhein-Westfalen;2021
Lucassen;Hans-Rüdiger;1951;AfD;92;1;Nordrhein-Westfalen;2021
Sand;Marion;1957;GRÜNE;92;;;2021
Söhngen;Stefan;1997;DIE LINKE;92;16;Nordrhein-Westfalen;2021
Wolter;Jan-Luis;2001;Die PARTEI;92;;;2021
Tuchscherer;Stefano;2000;PIRATEN;92;;;2021
Esser;Jörg;1963;FREIE WÄHLER;92;;;2021
Jesus Pinto;Paulo Michael;1974;dieBasis;92;;;2021
Möring;Karsten Hinrich Wilhelm;1949;CDU;93;42;Nordrhein-Westfalen;2021
Abdi;Sanae;1986;SPD;93;40;Nordrhein-Westfalen;2021
Houben;Reinhard Arnold;1960;FDP;93;8;Nordrhein-Westfalen;2021
Jacobi;Fabian;1973;AfD;93;3;Nordrhein-Westfalen;2021
Friede;Lisa-Marie;1992;GRÜNE;93;35;Nordrhein-Westfalen;2021
Eisfeld;Madeleine;1965;DIE LINKE;93;;;2021
Kruedener;Aaron Yannick;1997;Die PARTEI;93;96;Nordrhein-Westfalen;2021
Hagenbruch;Detlef Walter;1945;FREIE WÄHLER;93;;;2021
Höchtl;Elisabeth;1957;MLPD;93;;;2021
Schäfer;Ralf Mathias;1962;dieBasis;93;;;2021
Müller;Rebekka Frieda;1988;Volt;93;1;Nordrhein-Westfalen;2021
Przybylski;Martin Josef;1985;EB: Przybylski 93; 93;;;2021
Möller;Sandra;1969;CDU;94;35;Nordrhein-Westfalen;2021
Sollbach;Marion;1967;SPD;94;44;Nordrhein-Westfalen;2021
Krämer;Joachim Horst;1990;FDP;94;44;Nordrhein-Westfalen;2021
Leitterstorf;Luca Mike;1996;AfD;94;;;2021
Lehmann;Sven;1979;GRÜNE;94;4;Nordrhein-Westfalen;2021
Birkwald;Matthias Walter;1961;DIE LINKE;94;2;Nordrhein-Westfalen;2021
Géczi;Judit;1977;Die PARTEI;94;8;Nordrhein-Westfalen;2021
Ilg;Torsten Rüdiger;1970;FREIE WÄHLER;94;5;Nordrhein-Westfalen;2021
Rezai;Mahdi;1953;MLPD;94;;;2021
Stehling;Walter Hermann-Josef;1959;DKP;94;;;2021
Hoffleit;Markus;1966;dieBasis;94;;;2021
Fuchs;Olivier Martin Boris Albert Octavian Friedrich;1964;Volt;94;;;2021
Manderla;Gisela Maria;1958;CDU;95;26;Nordrhein-Westfalen;2021
Mützenich;Rolf Heinrich;1959;SPD;95;1;Nordrhein-Westfalen;2021
Görzel;Volker;1970;FDP;95;40;Nordrhein-Westfalen;2021
Haug;Jochen;1973;AfD;95;11;Nordrhein-Westfalen;2021
Dröge;Katharina;1984;GRÜNE;95;5;Nordrhein-Westfalen;2021
Weisenstein;Michael;1968;DIE LINKE;95;;;2021
Pott;Stefan;1972;Die PARTEI;95;68;Nordrhein-Westfalen;2021
Theiß;Norbert;1957;FREIE WÄHLER;95;;;2021
Dworschak;Reiner;1954;MLPD;95;;;2021
Schlürscheid;Songül;1974;dieBasis;95;26;Nordrhein-Westfalen;2021
Peterka;Christopher Patrick;1978;Volt;95;12;Nordrhein-Westfalen;2021
Podjaski;Maciej;1988;EB: Podjaski 95; 95;;;2021
Goldbeck;Christoph Wilhelm;1970;EB: Goldbeck 95; 95;;;2021
Jansen;Christoph;1983;CDU;96;34;Nordrhein-Westfalen;2021
Rosenthal;Jessica;1992;SPD;96;20;Nordrhein-Westfalen;2021
Graf Lambsdorff;Alexander;1966;FDP;96;3;Nordrhein-Westfalen;2021
Neuhoff;Hans Ludwig;1959;AfD;96;;;2021
Uhlig;Katrin Babette;1982;GRÜNE;96;15;Nordrhein-Westfalen;2021
Bergen;Ilja;1987;DIE LINKE;96;;;2021
Bergh;Moritz;1988;Die PARTEI;96;;;2021
Acar;Jutta;1958;FREIE WÄHLER;96;;;2021
Stamm;Roger Kurt Siegfried;1953;MLPD;96;;;2021
Berneiser;Gregor Philipp;1975;dieBasis;96;7;Nordrhein-Westfalen;2021
Limbach;Reinhard Otto Volker;1960;LKR;96;;;2021
Genn;Livia Juliane;1998;Volt;96;19;Nordrhein-Westfalen;2021
Winkelmeier-Becker;Elisabeth;1962;CDU;97;5;Nordrhein-Westfalen;2021
Hartmann;Sebastian;1977;SPD;97;3;Nordrhein-Westfalen;2021
Lorenz;Ralph Albert;1970;FDP;97;57;Nordrhein-Westfalen;2021
Eifler;Hans Günter;1938;AfD;97;;;2021
Anschütz;Elisabeth Gertrud;1962;GRÜNE;97;45;Nordrhein-Westfalen;2021
Neu;Alexander Soranto;1969;DIE LINKE;97;8;Nordrhein-Westfalen;2021
Langel;Andreas;1983;Die PARTEI;97;;;2021
Irion;Andreas;1972;FREIE WÄHLER;97;;;2021
Hölzer;Ellen;1976;dieBasis;97;6;Nordrhein-Westfalen;2021
Sontag;Christian;1977;Volt;97;14;Nordrhein-Westfalen;2021
Fleck;Helmut;1938;Volksabstimmung;97;;;2021
Röttgen;Norbert Alois;1965;CDU;98;;;2021
Stoppenbrink;Katja;1976;SPD;98;42;Nordrhein-Westfalen;2021
Westig;Nicole;1967;FDP;98;10;Nordrhein-Westfalen;2021
Beckamp;Roger Friedrich Nikolaus;1975;AfD;98;8;Nordrhein-Westfalen;2021
Ralfs;Richard;1968;GRÜNE;98;36;Nordrhein-Westfalen;2021
Danne;Andreas Diethelm;1961;DIE LINKE;98;;;2021
Klingenstein;Marcel;1992;Die PARTEI;98;;;2021
Stehr;Michael;1966;FREIE WÄHLER;98;8;Nordrhein-Westfalen;2021
Sanchez Friedrich;Nathalie Sandra;1968;dieBasis;98;9;Nordrhein-Westfalen;2021
Drenkelfort;Jörg;1970;LKR;98;12;Nordrhein-Westfalen;2021
Prause;Philipp;1999;Volt;98;18;Nordrhein-Westfalen;2021
Frick;Andreas;1949;Volksabstimmung;98;;;2021
Brodesser;Carsten;1967;CDU;99;38;Nordrhein-Westfalen;2021
Engelmeier;Michaela;1960;SPD;99;38;Nordrhein-Westfalen;2021
Polheim;Jörg;1959;FDP;99;27;Nordrhein-Westfalen;2021
Rummler;Bernd;1969;AfD;99;;;2021
Grützmacher;Sabine;1986;GRÜNE;99;25;Nordrhein-Westfalen;2021
Agu;Diyar;1999;DIE LINKE;99;18;Nordrhein-Westfalen;2021
Wüster;Philipp Ernst;1991;Die PARTEI;99;83;Nordrhein-Westfalen;2021
Abstoß;Christian;1991;FREIE WÄHLER;99;;;2021
Pavlidis;Markos;1966;dieBasis;99;28;Nordrhein-Westfalen;2021
Tebroke;Hermann-Josef Johann;1964;CDU;100;41;Nordrhein-Westfalen;2021
Krasniqi;Kastriot;1992;SPD;100;45;Nordrhein-Westfalen;2021
Lindner;Christian Wolfgang;1979;FDP;100;1;Nordrhein-Westfalen;2021
Weyel;Harald;1959;AfD;100;9;Nordrhein-Westfalen;2021
Außendorf;Maik;1971;GRÜNE;100;18;Nordrhein-Westfalen;2021
Casel;Isabelle;1971;DIE LINKE;100;19;Nordrhein-Westfalen;2021
Wirges;Uwe;1961;FREIE WÄHLER;100;;;2021
Aufmkolk;Helga;1959;dieBasis;100;;;2021
Blümke;Markus;1972;Volt;100;;;2021
Güler;Serap;1980;CDU;101;8;Nordrhein-Westfalen;2021
Lauterbach;Karl Wilhelm;1963;SPD;101;23;Nordrhein-Westfalen;2021
Besser;Cornelia;1996;FDP;101;32;Nordrhein-Westfalen;2021
Cremer;Christer;1982;AfD;101;15;Nordrhein-Westfalen;2021
Slawik;Nyke;1994;GRÜNE;101;11;Nordrhein-Westfalen;2021
Hane-Knoll;Beate;1961;DIE LINKE;101;;;2021
Petzold;Frauke Claudia;1987;Die PARTEI;101;44;Nordrhein-Westfalen;2021
Heintze;Stephan;1977;FREIE WÄHLER;101;;;2021
Meier;Jonathan;1994;MLPD;101;;;2021
Sattelmaier;Dirk;1970;dieBasis;101;1;Nordrhein-Westfalen;2021
Blum;Jacqueline;1988;EB: Blum 101; 101;;;2021
Lünenschloss;Caroline Anne Marie;1993;CDU;102;44;Nordrhein-Westfalen;2021
Lindh;Helge Frederik;1976;SPD;102;27;Nordrhein-Westfalen;2021
Todtenhausen;Manfred;1950;FDP;102;19;Nordrhein-Westfalen;2021
Liedtke-Bentlage;Martin;1962;AfD;102;19;Nordrhein-Westfalen;2021
Liebert;Anja;1969;GRÜNE;102;27;Nordrhein-Westfalen;2021
Sörensen-Siebel;Till Niklas;1996;DIE LINKE;102;;;2021
Hofmann;Thomas;1983;Die PARTEI;102;;;2021
Dahlmann;Henrik;1980;FREIE WÄHLER;102;11;Nordrhein-Westfalen;2021
Cakmakli-Kraft;Nuran;1965;MLPD;102;;;2021
Grefrath;Werner Alexander;1969;dieBasis;102;;;2021
Herbold;Lars;2001;Volt;102;4;Nordrhein-Westfalen;2021
Hardt;Jürgen;1963;CDU;103;22;Nordrhein-Westfalen;2021
Schäfer;Ingo;1965;SPD;103;43;Nordrhein-Westfalen;2021
Weindl;Robert Josef;1969;FDP;103;33;Nordrhein-Westfalen;2021
Kühne;Frederick;1972;AfD;103;;;2021
Vaeckenstedt;Silvia Ingrid;1970;GRÜNE;103;;;2021
Vaisi;Mohamad Shoan;1990;DIE LINKE;103;12;Nordrhein-Westfalen;2021
Röder;Judith;1993;Die PARTEI;103;;;2021
Klein;Jan;1989;FREIE WÄHLER;103;19;Nordrhein-Westfalen;2021
Gärtner;Hans Christoph;1949;MLPD;103;;;2021
Dörner;Volker;1965;dieBasis;103;;;2021
Kramer;Peter Heinrich;1960;EB: Kramer 103; 103;;;2021
Wiener;Klaus;1962;CDU;104;51;Nordrhein-Westfalen;2021
Steinacker;Christian;1976;SPD;104;55;Nordrhein-Westfalen;2021
Burda;Nicole Marie;1990;FDP;104;42;Nordrhein-Westfalen;2021
Renner;Martin Erwin;1954;AfD;104;4;Nordrhein-Westfalen;2021
Schüren;Roland;1966;GRÜNE;104;32;Nordrhein-Westfalen;2021
Gallasch;Lutz;1967;DIE LINKE;104;;;2021
Huning;Mathias;1969;FREIE WÄHLER;104;14;Nordrhein-Westfalen;2021
Gutknecht;Marc;1974;dieBasis;104;;;2021
Klimczak;Thorsten;1972;EB: Klimczak 104; 104;;;2021
Herrmann;Bernd;1967;EB: Herrmann 104; 104;;;2021
Beyer;Peter;1970;CDU;105;28;Nordrhein-Westfalen;2021
Griese;Kerstin;1966;SPD;105;4;Nordrhein-Westfalen;2021
Denné-Weiß;Jessica;1980;FDP;105;26;Nordrhein-Westfalen;2021
Malisch;Jessica;1983;AfD;105;17;Nordrhein-Westfalen;2021
Nick;Ophelia Johanna;1973;GRÜNE;105;13;Nordrhein-Westfalen;2021
Onori;Birgit;1967;DIE LINKE;105;;;2021
Falco;Mario;1987;Die PARTEI;105;;;2021
Sülz;Mario;1969;FREIE WÄHLER;105;;;2021
Dotten;Horst;1957;MLPD;105;;;2021
Roetger;Editha;1968;dieBasis;105;15;Nordrhein-Westfalen;2021
Stubbe;Marcel;1991;Bündnis C;105;1;Nordrhein-Westfalen;2021
Konorza;Andrea;1955;LKR;105;2;Nordrhein-Westfalen;2021
Richter;Jason;2002;EB: Richter 105; 105;;;2021
Jarzombek;Thomas;1973;CDU;106;12;Nordrhein-Westfalen;2021
Martens;Zanda;1984;SPD;106;28;Nordrhein-Westfalen;2021
Strack-Zimmermann;Marie-Agnes;1958;FDP;106;2;Nordrhein-Westfalen;2021
Kraljić;Andrea;1963;AfD;106;;;2021
Hartmann;Frederik F.;1988;GRÜNE;106;70;Nordrhein-Westfalen;2021
Born;Helmut;1952;DIE LINKE;106;;;2021
Knichala;Jan;1999;Die PARTEI;106;;;2021
Harting;Burkhard;1962;FREIE WÄHLER;106;;;2021
Straif;Paul;1982;MLPD;106;;;2021
Bachmann;Susanne;1966;dieBasis;106;;;2021
Lindermann;Nadin;1975;LKR;106;10;Nordrhein-Westfalen;2021
Scharpenberg;Jennifer Katharina;1991;Volt;106;13;Nordrhein-Westfalen;2021
Baumanns;Lara;1999;EB: Baumanns 106; 106;;;2021
Pantel;Sylvia;1961;CDU;107;40;Nordrhein-Westfalen;2021
Rimkus;Andreas;1962;SPD;107;19;Nordrhein-Westfalen;2021
Schork;Christoph Martin;1970;FDP;107;51;Nordrhein-Westfalen;2021
Opelt;Uta;1970;AfD;107;14;Nordrhein-Westfalen;2021
Nanni;Sara;1987;GRÜNE;107;17;Nordrhein-Westfalen;2021
Marmulla;Julia Susanne;1988;DIE LINKE;107;;;2021
Bartz;Robin;1992;Die PARTEI;107;;;2021
Grumbach;Hans-Joachim;1967;FREIE WÄHLER;107;;;2021
Maus;Daniela;1976;MLPD;107;;;2021
Petarus;Lucia;1971;dieBasis;107;;;2021
Thörmer;Falk Richard;1988;Volt;107;6;Nordrhein-Westfalen;2021
Gröhe;Gottfried Hermann;1961;CDU;108;14;Nordrhein-Westfalen;2021
Rinkert;Daniel;1987;SPD;108;33;Nordrhein-Westfalen;2021
Djir-Sarai;Bijan;1976;FDP;108;6;Nordrhein-Westfalen;2021
Hrdy;Stefan;1956;AfD;108;;;2021
Schenke;Petra Barbara;1964;GRÜNE;108;49;Nordrhein-Westfalen;2021
Dorff;Falk;1987;DIE LINKE;108;;;2021
Granderath;Lisa Fortuna;1989;Die PARTEI;108;;;2021
Schönbeck;Bastian;1990;dieBasis;108;;;2021
Herbert;Ernst Albert;1952;EB: Herbert 108; 108;24;Nordrhein-Westfalen;2021
Krings;Günter;1969;CDU;109;7;Nordrhein-Westfalen;2021
Yüksel;Gülistan;1962;SPD;109;22;Nordrhein-Westfalen;2021
König;Peter;1950;FDP;109;;;2021
Müller;Peter;1961;AfD;109;;;2021
Henneberger;Kathrin;1987;GRÜNE;109;20;Nordrhein-Westfalen;2021
Bergmann;Maximilian;1997;Die PARTEI;109;;;2021
Schrader-Schoutz;Annette Ute Martina;1954;FREIE WÄHLER;109;6;Nordrhein-Westfalen;2021
Rommerskirchen;Marcel;1980;DKP;109;8;Nordrhein-Westfalen;2021
Aranea Guillén;Mona;1986;dieBasis;109;;;2021
Heveling;Ansgar Guido Karl Johannes;1972;CDU;110;;;2021
Einfalt;Philipp;1971;SPD;110;58;Nordrhein-Westfalen;2021
Fricke;Otto;1965;FDP;110;7;Nordrhein-Westfalen;2021
Rausch;Christof;1965;AfD;110;;;2021
Voller;Katharina Eva Elisabeth;1981;GRÜNE;110;39;Nordrhein-Westfalen;2021
Suermondt;Julia Edith Loretta;1981;DIE LINKE;110;;;2021
Florenz;Konstantin;2001;Die PARTEI;110;;;2021
Krings;Ralf;1967;FREIE WÄHLER;110;;;2021
Grupp;Heiko Holger Karl Robert;1949;MLPD;110;;;2021
Marzinowski;Stefan;1971;dieBasis;110;;;2021
Plum;Martin;1982;CDU;111;48;Nordrhein-Westfalen;2021
Schiefner;Udo;1959;SPD;111;7;Nordrhein-Westfalen;2021
Scheuerle;Eric Ralph Hugo;1999;FDP;111;35;Nordrhein-Westfalen;2021
Gottschalk;Kay;1965;AfD;111;2;Nordrhein-Westfalen;2021
Heesen;Rene;1992;GRÜNE;111;30;Nordrhein-Westfalen;2021
Pietsch;Britta;1963;DIE LINKE;111;9;Nordrhein-Westfalen;2021
Weißkopf;Marion Britta;1969;Die PARTEI;111;5;Nordrhein-Westfalen;2021
Alsdorf;Georg;1975;FREIE WÄHLER;111;2;Nordrhein-Westfalen;2021
Frohn;Natalie;1977;dieBasis;111;;;2021
Rouenhoff;Stefan;1978;CDU;112;36;Nordrhein-Westfalen;2021
Wißen;Bodo;1974;SPD;112;37;Nordrhein-Westfalen;2021
Cluse;Georg;1976;FDP;112;;;2021
Plorin;Gerd;1949;AfD;112;;;2021
Janitza;Friederike Karlotta Ingeborg;1987;GRÜNE;112;;;2021
Hayduk;Norbert;1958;DIE LINKE;112;;;2021
Hellmann;Johanna;1950;FREIE WÄHLER;112;4;Nordrhein-Westfalen;2021
Reiß;Andreas Horst Adolf;1968;dieBasis;112;;;2021
Weiss;Sabine Katharina;1958;CDU;113;13;Nordrhein-Westfalen;2021
Keller;Rainer Johannes;1965;SPD;113;61;Nordrhein-Westfalen;2021
Reuther;Bernd;1971;FDP;113;13;Nordrhein-Westfalen;2021
Raumann;Holger;1969;AfD;113;;;2021
Weiß;Hans-Peter;1963;GRÜNE;113;62;Nordrhein-Westfalen;2021
Lewandowski;Sidney;1992;DIE LINKE;113;;;2021
Zerressen;Dirk;1966;Die PARTEI;113;;;2021
Link;Christian Werner;1983;FREIE WÄHLER;113;;;2021
Rochlitz;Wolf-Dieter;1947;MLPD;113;;;2021
Moser;Matthias;1960;dieBasis;113;;;2021
Radomski;Kerstin Christiane;1974;CDU;114;20;Nordrhein-Westfalen;2021
Dieren;Jan Ulrich;1991;SPD;114;49;Nordrhein-Westfalen;2021
Terwiesche;Michael;1964;FDP;114;45;Nordrhein-Westfalen;2021
Finger;Hauke Horst Ernst Hans;1968;AfD;114;;;2021
Schauws;Ursula;1966;GRÜNE;114;9;Nordrhein-Westfalen;2021
Schubert;Sebastian;1986;DIE LINKE;114;;;2021
Butterwegge;Carsten;1973;Die PARTEI;114;;;2021
Schmitz;Hans-Günther;1961;FREIE WÄHLER;114;;;2021
Raboteau;Genja;1969;MLPD;114;;;2021
Kosma;Lars Christian;1968;dieBasis;114;;;2021
Mahlberg;Thomas;1965;CDU;115;27;Nordrhein-Westfalen;2021
Bas;Bärbel;1968;SPD;115;12;Nordrhein-Westfalen;2021
Kappes;Charline;1994;FDP;115;24;Nordrhein-Westfalen;2021
Lensing;Sascha;1973;AfD;115;;;2021
Kaddor;Lamya;1978;GRÜNE;115;12;Nordrhein-Westfalen;2021
Edis;Mirze;1972;DIE LINKE;115;;;2021
Richter;Jan Luca;1999;FREIE WÄHLER;115;;;2021
Bittel;Günther;1953;MLPD;115;18;Nordrhein-Westfalen;2021
Engelke;Felix;1992;dieBasis;115;27;Nordrhein-Westfalen;2021
Opfer;Boris;1967;EB: Opfer 115; 115;;;2021
Ergin;Fatma;1984;EB: Ergin 115; 115;;;2021
Mosblech;Volker Peter;1955;CDU;116;59;Nordrhein-Westfalen;2021
Özdemir;Mahmut;1987;SPD;116;64;Nordrhein-Westfalen;2021
Giesler;Markus;1990;FDP;116;53;Nordrhein-Westfalen;2021
Holfeld;Rainer Robert;1958;AfD;116;20;Nordrhein-Westfalen;2021
Banaszak;Felix;1989;GRÜNE;116;6;Nordrhein-Westfalen;2021
Leye;Christian;1981;DIE LINKE;116;6;Nordrhein-Westfalen;2021
Altenschmidt;Mark;1977;FREIE WÄHLER;116;;;2021
Römmele;Peter;1977;MLPD;116;6;Nordrhein-Westfalen;2021
Buchta;Beate Jolanthe;1969;dieBasis;116;;;2021
Lenz;Marliese Barbara;1960;EB: Lenz 116; 116;;;2021
Saygili;Ayfer;1974;EB: Saygili 116; 116;;;2021
Helmer;Roland;1964;UNABHÄNGIGE;116;;;2021
Dött;Marie-Luise;1953;CDU;117;23;Nordrhein-Westfalen;2021
Vöpel;Dirk;1971;SPD;117;63;Nordrhein-Westfalen;2021
Müller-Böhm;Roman Andreas Dirk;1992;FDP;117;;;2021
Wilhelm;Olaf;1971;AfD;117;;;2021
Weyland;Stefanie;1968;GRÜNE;117;63;Nordrhein-Westfalen;2021
Wagner;Sascha Heribert;1980;DIE LINKE;117;;;2021
Sommers;Hans-Joachim;1958;Die PARTEI;117;;;2021
Horn;Guido German;1964;FREIE WÄHLER;117;;;2021
Thomas;Simon;1992;V-Partei³;117;1;Nordrhein-Westfalen;2021
Aktürk;Erhan;1965;MLPD;117;2;Nordrhein-Westfalen;2021
Wosnek;Ralf;1968;dieBasis;117;;;2021
Timmermann-Fechter;Astrid;1963;CDU;118;10;Nordrhein-Westfalen;2021
Fiedler;Sebastian;1973;SPD;118;62;Nordrhein-Westfalen;2021
vom Berg;Joachim;1974;FDP;118;31;Nordrhein-Westfalen;2021
Wrese;Alexander;1978;AfD;118;;;2021
Krumwiede-Steiner;Franziska;1985;GRÜNE;118;29;Nordrhein-Westfalen;2021
Maugeri;Eliseo Francesco;2003;DIE LINKE;118;;;2021
Plew;Pascal Marius;1998;Die PARTEI;118;;;2021
Kluft;Joachim Heinrich;1962;FREIE WÄHLER;118;7;Nordrhein-Westfalen;2021
Stockert;Hannes;1972;MLPD;118;11;Nordrhein-Westfalen;2021
Köster;Peter;1955;DKP;118;;;2021
Weber;Nicole;1972;dieBasis;118;21;Nordrhein-Westfalen;2021
Bilo;Horst;1957;EB: Bilo 118; 118;;;2021
Fuchs;Florian;1985;CDU;119;56;Nordrhein-Westfalen;2021
Heidenblut;Dirk;1961;SPD;119;65;Nordrhein-Westfalen;2021
Hollinger;Martin;1981;FDP;119;52;Nordrhein-Westfalen;2021
Poußet;Andrea;1961;AfD;119;;;2021
Müller-Hechfellner;Christine;1967;GRÜNE;119;79;Nordrhein-Westfalen;2021
El-Khatib;Jules;1991;DIE LINKE;119;;;2021
Gröll;Christian Sven;1989;Die PARTEI;119;79;Nordrhein-Westfalen;2021
Adamy;Wilfried;1963;FREIE WÄHLER;119;;;2021
Fechtner;Gabriele;1977;MLPD;119;1;Nordrhein-Westfalen;2021
Mammitzsch;Siw;1977;DKP;119;3;Nordrhein-Westfalen;2021
Solga;Frank;1969;dieBasis;119;;;2021
Hauer;Matthias;1977;CDU;120;11;Nordrhein-Westfalen;2021
Wolters;Gereon;1966;SPD;120;53;Nordrhein-Westfalen;2021
König;Rüdiger;1958;FDP;120;56;Nordrhein-Westfalen;2021
Keuter;Stefan;1972;AfD;120;12;Nordrhein-Westfalen;2021
Gehring;Kai;1977;GRÜNE;120;16;Nordrhein-Westfalen;2021
Güyildar;Ezgi Bilge;1987;DIE LINKE;120;11;Nordrhein-Westfalen;2021
Lange;Martin Oliver;1990;Die PARTEI;120;;;2021
Hemsteeg;Kai;1981;FREIE WÄHLER;120;3;Nordrhein-Westfalen;2021
Willing;Dirk;1971;MLPD;120;12;Nordrhein-Westfalen;2021
Kummer;Diana;1986;DKP;120;;;2021
Wild;Volker;1959;dieBasis;120;;;2021
Schmidt;Dirk;1968;LKR;120;1;Nordrhein-Westfalen;2021
Breilmann;Michael;1983;CDU;121;16;Nordrhein-Westfalen;2021
Schwabe;Frank;1970;SPD;121;25;Nordrhein-Westfalen;2021
Greve;Marlies Anna;1980;FDP;121;46;Nordrhein-Westfalen;2021
Wagner;Lutz Udo;1968;AfD;121;18;Nordrhein-Westfalen;2021
Stennei;Nils Oliver Arne;1998;GRÜNE;121;;;2021
Biletzke;Uwe;1965;DIE LINKE;121;;;2021
Majewski;Carsten Michael;1963;Die PARTEI;121;;;2021
Dumberger;Klaus Thomas;1964;MLPD;121;;;2021
Sarbok;Werner Hans;1954;DKP;121;;;2021
Puller;Marcus;1966;dieBasis;121;;;2021
Ehm;Lars Andre;1976;CDU;122;54;Nordrhein-Westfalen;2021
Nickholz;Brian;1989;SPD;122;50;Nordrhein-Westfalen;2021
Heinze;Robert Franz;1955;FDP;122;23;Nordrhein-Westfalen;2021
Keber;Bernard;1948;AfD;122;;;2021
Conrad;Robin;1997;GRÜNE;122;52;Nordrhein-Westfalen;2021
