wahlberechtigte;wahlkreis;jahr
202768;Hochsauerlandkreis;2017
200546;Märkischer Kreis II;2017
212912;Siegen-Wittgenstein;2017
163916;Nordsachsen;2017
227718;Leipzig II;2017
220654;Leipzig I;2017
215616;Leipzig-Land;2017
213990;Bautzen I;2017
201310;Meißen;2017
202580;Sächsische Schweiz-Osterzgebirge;2017
213021;Görlitz;2017
235464;Dresden II – Bautzen II;2017
232636;Dresden I;2017
201629;Mittelsachsen;2017
195929;Chemnitz;2017
183483;Chemnitzer Umland – Erzgebirgskreis II;2017
207606;Zwickau;2017
220917;Erzgebirgskreis I;2017
193081;Vogtlandkreis;2017
186825;Waldeck;2017
222451;Kassel;2017
188074;Schwalm-Eder;2017
175992;Werra-Meißner – Hersfeld-Rotenburg;2017
183296;Marburg;2017
217806;Gießen;2017
208744;Lahn-Dill;2017
209966;Fulda;2017
179307;Main-Kinzig – Wetterau II – Schotten;2017
220342;Rheingau-Taunus – Limburg;2017
181516;Hochtaunus;2017
176435;Wetterau I;2017
189372;Wiesbaden;2017
177469;Hanau;2017
197291;Main-Taunus;2017
199775;Frankfurt am Main I;2017
223942;Frankfurt am Main II;2017
174727;Groß-Gerau;2017
220194;Offenbach;2017
234422;Odenwald;2017
242622;Darmstadt;2017
216673;Eichsfeld – Nordhausen – Kyffhäuserkreis;2017
222558;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;2017
198418;Bergstraße;2017
203210;Jena – Sömmerda – Weimarer Land I;2017
221922;Erfurt – Weimar – Weimarer Land II;2017
240738;Gera – Greiz – Altenburger Land;2017
198341;Gotha – Ilm-Kreis;2017
229126;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;2017
239284;Neuwied;2017
234446;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;2017
195618;Ahrweiler;2017
196999;Koblenz;2017
172876;Mosel/Rhein-Hunsrück;2017
192846;Trier;2017
185172;Kreuznach;2017
164480;Bitburg;2017
210114;Montabaur;2017
248996;Mainz;2017
213627;Worms;2017
215595;Ludwigshafen/Frankenthal;2017
217633;Südpfalz;2017
220550;Neustadt – Speyer;2017
229114;Kaiserslautern;2017
177687;Pirmasens;2017
198198;Erding – Ebersberg;2017
168221;Altötting;2017
235746;Freising;2017
226436;München-Nord;2017
216725;München-Süd;2017
239169;München-Ost;2017
238605;Ingolstadt;2017
232125;Fürstenfeldbruck;2017
241282;München-West/Mitte;2017
235170;Rosenheim;2017
235172;München-Land;2017
165527;Bad Tölz-Wolfratshausen – Miesbach;2017
208466;Traunstein;2017
213628;Starnberg – Landsberg am Lech;2017
167159;Weilheim;2017
166659;Deggendorf;2017
177387;Passau;2017
168642;Rottal-Inn;2017
249836;Landshut;2017
173953;Straubing;2017
168415;Weiden;2017
252916;Regensburg;2017
215876;Amberg;2017
216418;Schwandorf;2017
159654;Coburg;2017
163934;Bayreuth;2017
182513;Bamberg;2017
167552;Hof;2017
170897;Kulmbach;2017
255491;Fürth;2017
180730;Erlangen;2017
243760;Ansbach;2017
192214;Nürnberg-Nord;2017
227560;Roth;2017
181809;Nürnberg-Süd;2017
183362;Aschaffenburg;2017
216030;Bad Kissingen;2017
196183;Main-Spessart;2017
225998;Würzburg;2017
199041;Schweinfurt;2017
190782;Donau-Ries;2017
210528;Augsburg-Stadt;2017
248812;Augsburg-Land;2017
239647;Neu-Ulm;2017
226604;Oberallgäu;2017
247539;Ostallgäu;2017
194368;Stuttgart I;2017
182501;Stuttgart II;2017
245678;Böblingen;2017
168715;Esslingen;2017
207044;Nürtingen;2017
178409;Göppingen;2017
222891;Waiblingen;2017
218074;Ludwigsburg;2017
242553;Heilbronn;2017
229280;Neckar-Zaber;2017
225785;Schwäbisch Hall – Hohenlohe;2017
208868;Karlsruhe-Stadt;2017
176968;Backnang – Schwäbisch Gmünd;2017
221853;Aalen – Heidenheim;2017
209741;Karlsruhe-Land;2017
206484;Rastatt;2017
217934;Heidelberg;2017
197289;Mannheim;2017
198251;Rhein-Neckar;2017
210876;Odenwald – Tauber;2017
219577;Pforzheim;2017
196426;Bruchsal – Schwetzingen;2017
198021;Calw;2017
222308;Freiburg;2017
232208;Lörrach – Müllheim;2017
218287;Emmendingen – Lahr;2017
199227;Rottweil – Tuttlingen;2017
205551;Offenburg;2017
165041;Schwarzwald-Baar;2017
205135;Konstanz;2017
177806;Waldshut;2017
199934;Reutlingen;2017
196488;Tübingen;2017
222673;Ulm;2017
167025;Biberach;2017
186958;Ravensburg;2017
172782;Bodensee;2017
183588;Zollernalb – Sigmaringen;2017
199885;Saarbrücken;2017
177468;St. Wendel;2017
207501;Saarlouis;2017
192410;Homburg;2017
176899;Steinburg – Dithmarschen Süd;2021
188267;Nordfriesland – Dithmarschen Nord;2021
231536;Flensburg – Schleswig;2021
202226;Rendsburg-Eckernförde;2021
202482;Kiel;2021
174908;Plön – Neumünster;2021
249202;Segeberg – Stormarn-Mitte;2021
238388;Pinneberg;2021
246277;Herzogtum Lauenburg – Stormarn-Süd;2021
205042;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;2021
214853;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;2021
183138;Ostholstein – Stormarn-Nord;2021
179394;Lübeck;2021
222705;Rostock – Landkreis Rostock II;2021
221421;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;2021
241066;Vorpommern-Rügen – Vorpommern-Greifswald I;2021
187705;Hamburg-Altona;2021
193823;Hamburg-Eimsbüttel;2021
209348;Mecklenburgische Seenplatte II – Landkreis Rostock III;2021
219909;Hamburg-Nord;2021
242078;Hamburg-Mitte;2021
233483;Hamburg-Wandsbek;2021
221794;Hamburg-Bergedorf – Harburg;2021
191846;Aurich – Emden;2021
238506;Unterems;2021
228705;Oldenburg – Ammerland;2021
226827;Delmenhorst – Wesermarsch – Oldenburg-Land;2021
188602;Cuxhaven – Stade II;2021
189047;Friesland – Wilhelmshaven – Wittmund;2021
233253;Mittelems;2021
198576;Stade I – Rotenburg II;2021
223948;Cloppenburg – Vechta;2021
194371;Diepholz – Nienburg I;2021
168927;Rotenburg I – Heidekreis;2021
182673;Lüchow-Dannenberg – Lüneburg;2021
201740;Harburg;2021
197490;Osterholz – Verden;2021
193863;Nienburg II – Schaumburg;2021
199960;Osnabrück-Land;2021
195467;Stadt Osnabrück;2021
176770;Stadt Hannover I;2021
190336;Stadt Hannover II;2021
214482;Celle – Uelzen;2021
231250;Hannover-Land I;2021
219966;Gifhorn – Peine;2021
184471;Hameln-Pyrmont – Holzminden;2021
238323;Hannover-Land II;2021
215131;Hildesheim;2021
180147;Helmstedt – Wolfsburg;2021
214542;Göttingen;2021
197519;Goslar – Northeim – Osterode;2021
200922;Salzgitter – Wolfenbüttel;2021
187721;Braunschweig;2021
245384;Bremen I;2021
172726;Prignitz – Ostprignitz-Ruppin – Havelland I;2021
214365;Bremen II – Bremerhaven;2021
