id;vorname;nachname;geburtsjahr;partei_id;jahr
147;Christine;Dubberke;1980;8;2021
148;Eric;Dunst;1995;18;2021
149;Susanne Franziska Gertrud;Kreft;1964;28;2021
150;Jan-Peter;Rühmann;1967;12;2021
151;Georg;Günther;1988;1;2021
152;Leif-Erik;Holm;1970;3;2021
153;Kerstin;Kassner;1958;5;2021
154;Anna Katharina;Kassautzki;1993;2;2021
155;Sebastian;Adler;1984;4;2021
156;Claudia Heike;Müller;1981;6;2021
157;Robert;Gabel;1979;10;2021
158;Mark Peter;Pistor;1973;9;2021
159;Heidelind;Holthusen;1949;8;2021
160;Karl-Heinz;Schulze;1955;18;2021
161;Sylvio;Schmeller;1976;28;2021
162;Friedrich;Smyra;1984;12;2021
163;Philipp;Amthor;1992;1;2021
164;Enrico;Komning;1968;3;2021
165;Toni;Jaschinski;1982;5;2021
166;Erik;Malottki;1986;2;2021
167;Christian;Bartelt;1976;4;2021
168;Katharina;Horn;1998;6;2021
169;Anja;Hübner;1989;10;2021
170;Matthias;Andiel;1958;8;2021
171;Wolfgang;Wodarg;1947;28;2021
172;Sören;Krüger;2001;51;2021
173;Sophie;Maus;1985;39;2021
174;Stephan;Bunge;1980;1;2021
175;Ulrike;Schielke-Ziesing;1969;3;2021
176;Amina Inèz;Kanew;1998;5;2021
177;Johannes;Arlt;1984;2;2021
178;Tobias;Schubert;1987;4;2021
179;Falk;Jagszent;1976;6;2021
180;Klaus-Dieter;Gabbert;1959;8;2021
181;Lena;Goltz;1980;18;2021
182;Christoph Bernhard;Vries;1974;1;2021
183;Falko;Droßmann;1973;2;2021
184;Manuel;Muja;1991;6;2021
185;David Christopher;Stoop;1983;5;2021
186;James Robert;Blum;1970;4;2021
187;Nicole;Jordan;1974;3;2021
188;Arne Gotthard;Ihlenfeld;1978;9;2021
189;Ralf;Reimer;1963;8;2021
190;Sebastian;Bollien;1985;13;2021
191;Lennart Sebastian Stefan;Schwarzbach;1990;11;2021
192;Joachim Robert Maria;Griesbaum;1955;18;2021
193;Dennis;Sommer;1985;28;2021
194;Odin;Janoske-Kizildag;1967;52;2021
195;Marcus;Weinberg;1967;1;2021
196;Matthias;Bartke;1959;2;2021
197;Linda;Heitmann;1982;6;2021
198;Cansu;Özdemir;1988;5;2021
199;Fabrice;Henrici;1995;4;2021
200;Bernd;Baumann;1958;3;2021
201;Daniel;Meincke;1991;8;2021
202;Karlotta;Ahrens;1987;13;2021
203;Christian Traugott;Kölle;1952;18;2021
204;Ulrike;Zens;1962;28;2021
205;Frieder Ulrich;Kirsch;1978;12;2021
206;Rüdiger;Kruse;1961;1;2021
207;Niels;Annen;1973;2;2021
208;Till Benjamin;Steffen;1973;6;2021
209;Zaklin Jadwiga;Nastić;1980;5;2021
210;Carolin Rebecca;Hümpel;1964;4;2021
211;Marc Frederic;Cremer-Thursby;1962;3;2021
212;Martin;Sommer;1972;9;2021
213;Alexander Bruno Wilhelm;Feltz;1997;8;2021
214;Hannes;Lincke;1980;13;2021
215;Uwe Ulrich;Wagner;1959;18;2021
216;Inke;Meyer;1981;28;2021
217;Sören Alexander;Horn;1987;40;2021
218;Christoph Johannes;Ploß;1985;1;2021
219;Dorothee Katja Julia;Martin;1978;2;2021
220;Katharina Barbara Maria;Beck;1982;6;2021
221;Deniz;Celik;1978;5;2021
222;Robert;Bläsing;1982;4;2021
223;Benjamin;Mennerich;1981;3;2021
224;Almut;Becker;1970;8;2021
225;Ingo;Stawitz;1950;11;2021
226;Susanne Doris;Bader;1956;18;2021
227;Jörn;Böttcher;1963;28;2021
228;Steffan;Nethe;1981;34;2021
229;Franziska Christina Brigitte;Hoppermann;1982;1;2021
230;Saliha Aydan;Özoğuz;1967;2;2021
231;Daniel Alexander;Grimm;1978;6;2021
232;Johan;Graßhoff;1988;5;2021
233;Wieland Albert Wilhelm;Schinnenburg;1958;4;2021
234;Dietmar Werner;Wagner;1952;3;2021
235;Matthias;Deutsch;1965;13;2021
236;Helmut;Saß;1958;11;2021
237;Renate Inge-Marie;Dohrn;1954;18;2021
238;Michael Erwin;Stein;1960;28;2021
239;Arthur;Kaiser;1982;12;2021
240;Luca Alexandra;Beitz;1997;40;2021
241;Uwe Günther;Schneider;1975;1;2021
242;Metin;Hakverdi;1969;2;2021
243;Manuel Ferdinand Theodor;Sarrazin;1982;6;2021
244;Stephan Rüdiger;Jersch;1963;5;2021
245;Sonja Julia;Jacobsen;1972;4;2021
246;Olga;Petersen;1982;3;2021
247;Thomas;Lindner;1974;8;2021
248;Manuela;Körlin;1979;13;2021
249;Manfred Wilhelm;Dammann;1959;11;2021
250;Narziss;Nianur;1964;18;2021
251;Katja;Schäfer;1969;28;2021
252;Jan-Martin;Thoden;1975;40;2021
253;Joachim Lübbo;Kleen;1974;1;2021
254;Johann;Saathoff;1967;2;2021
255;Sarah;Buss;1981;4;2021
256;Stefan;Maas;1962;6;2021
257;Friedrich-Bernd;Albers;1969;5;2021
258;Diedrich;Kleen;1972;10;2021
259;Detlev;Krüger;1970;8;2021
260;David Janus;Frerichs;2002;28;2021
261;Anton Heinrich;Lenz;1954;53;2021
262;Gitta;Connemann;1964;1;2021
263;Anja;Troff-Schaffarzyk;1969;2;2021
264;Ferhat;Asi;1992;4;2021
265;Holger Uwe;Kühnlenz;1961;3;2021
266;Julian Nils Christoph;Pahlke;1991;6;2021
267;Kai-Uwe;Jesiek;1965;5;2021
268;Rafael;Gil Brand;1959;28;2021
269;Siegfried Gert;Balzer;1951;54;2021
270;Anne;Janssen;1982;1;2021
271;Siemtje Victoria Regine Ilse Santjer;Möller;1983;2;2021
272;Hendrik;Theemann;1969;4;2021
273;Franz Josef Joachim;Wundrak;1955;3;2021
274;Sina Maria;Beckmann;1981;6;2021
275;Hans-Henning;Adler;1949;5;2021
276;Andreas;Tönjes;1969;9;2021
277;Andreas Georg Alexander;Lang;1957;8;2021
278;Carsten;Zimmer;1977;18;2021
279;Andrea Gisela;Henning;1965;28;2021
280;Stephan Theodor Johannes;Albani;1968;1;2021
281;Dennis;Rohde;1986;2;2021
282;Daniel Stephan;Rüdel;1992;4;2021
283;Andreas;Paul;1978;3;2021
284;Patrizia Susanne;Menge;1960;6;2021
285;Amira;Mohamed Ali;1980;5;2021
286;Nicole;Striess;1972;8;2021
287;Holger Klaus Friedel;Lubitz;1971;12;2021
288;Michael;Krüger;1967;13;2021
289;Johanna Friederike;Jensen;1988;18;2021
290;Werner Georg;Berends;1970;28;2021
291;Jens;Ahrends;1960;34;2021
292;Philipp Josef Erich;Albrecht;1995;1;2021
293;Susanne;Mittag;1958;2;2021
294;Christian;Dürr;1977;4;2021
295;Adam Jan;Golkontt;1984;3;2021
296;Christina-Johanne;Schröder;1983;6;2021
297;Christian;Suhr;1980;5;2021
298;Kevin;Laukenings;1997;9;2021
299;Dieter;Holsten;1950;8;2021
300;Frank-Rüdiger;Halt;1948;28;2021
301;Thomas Michael;Rappers;1962;34;2021
302;Enak Matthias;Ferlemann;1963;1;2021
303;Daniel Dominik;Schneider;1976;2;2021
304;Günter Ernst;Wichert;1966;4;2021
305;Hans Olaf;Kappelt;1953;3;2021
306;Peer Stefan;Wenzel;1962;6;2021
307;Dietmar Gerhard;Buttler;1953;5;2021
308;Dirk;Sieling;1967;9;2021
309;Susanne Sabine Cornelia;Berghoff;1956;10;2021
310;Claudia;Theis;1966;8;2021
311;Peter Jens;Geest;1957;28;2021
312;Oliver Klaus;Grundmann;1971;1;2021
313;Kai;Köser;1978;2;2021
314;Steven;Hermeling;1997;4;2021
315;Marie-Thérèse;Kaiser;1996;3;2021
316;Claas Fiete;Goldenstein;1993;6;2021
317;Klemens;Kowalski;1979;5;2021
318;Richard Bodo;Klaus;1965;12;2021
319;Kai;Bartos;1975;28;2021
320;Albert;Stegemann;1976;1;2021
321;Daniela Friederike;Ridder;1962;2;2021
322;Jens;Beeck;1969;4;2021
323;Danny;Meiners;1979;3;2021
324;Everhard;Hüsemann;1960;6;2021
325;Helmuth;Hoffmann;1985;5;2021
326;Mario;Kehl;1972;28;2021
327;Silvia Maria;Breher;1973;1;2021
328;Alexander;Bartz;1984;2;2021
329;Carolin;Abeln;1992;4;2021
330;Waldemar;Herdt;1962;3;2021
331;Tanja;Meyer;1973;6;2021
332;Tom;Dobrowolski;1988;5;2021
333;Melanie;Lorenz;1986;28;2021
334;Axel;Knoerig;1967;1;2021
335;Peggy;Schierenbeck;1970;2;2021
336;Jan Andreas;Hinderks;1977;4;2021
337;Alfons Josef August;Muhle;1957;3;2021
338;Sylvia;Holste-Hagen;1961;6;2021
339;Jürgen;Abelmann;1958;5;2021
340;Detlev;Pigors;1961;28;2021
341;Rüdiger;Gums;1959;55;2021
342;Andreas;Mattfeldt;1969;1;2021
343;Michael;Harjes;1974;2;2021
344;Gero Clemens;Hocker;1975;4;2021
345;Lena Maria;Gumnior;1992;6;2021
346;Mizgin;Ciftci;1992;5;2021
347;Dominique;Paetz;1985;8;2021
348;Anton;Körner;1974;28;2021
349;Carsten;Büttinghaus;1982;1;2021
350;Lars;Klingbeil;1978;2;2021
351;Claus Alexander;Künzle;1985;4;2021
352;Volker Hans Markus;Körlin;1960;3;2021
353;Michael;Kopatz;1971;6;2021
354;Kathrin Susanne;Otte;1961;5;2021
355;Günter Werner;Scheunemann;1954;8;2021
356;Michael;Grosse-Brömer;1960;1;2021
357;Svenja;Stadler;1976;2;2021
358;Nino;Ruschmeyer;1981;4;2021
359;Henning;Schwieger;1960;3;2021
360;Nadja;Weippert;1982;6;2021
361;Joachim;Kotteck;1952;5;2021
362;Mona;Jonas-Tadjik;1981;10;2021
363;Willy Walter;Klingenberg;1962;8;2021
364;Christian Holger;Bahr;1971;28;2021
