id;vorname;nachname;geburtsjahr;partei_id;jahr
1506;Hartmut;Ziebs;1959;1;2021
1507;Inaki Axel;Echeverria;1980;2;2021
1508;Anna Patrizia;Neumann;1994;4;2021
1509;Carl-Dietrich;Korte;1960;3;2021
1510;Ina Maike;Gießwein;1983;6;2021
1511;Clemens;Jost;1998;5;2021
1512;Michael;Hanses;1966;9;2021
1513;Eric;Tiggemann;1970;12;2021
1514;Thorsten;Michaelis;1971;8;2021
1515;Achim;Czylwick;1954;18;2021
1516;Michael Thomas;Kirchner;1971;28;2021
1517;Fabian Richard;Schütz;1981;1;2021
1518;Axel Helmut;Schäfer;1952;2;2021
1519;Olaf Karl Wilhelm;Beek;1967;4;2021
1520;Max;Lucks;1997;6;2021
1521;Sevim;Dagdelen;1975;5;2021
1522;Lena Maria Christina;Bormann;1983;9;2021
1523;Anna Katharina;Vöhringer;1995;18;2021
1524;Yan;Ugodnikov;1988;24;2021
1525;Andreas Conrad;Triebel;1945;28;2021
1526;Christoph;Bußmann;1988;1;2021
1527;Michelle-Jasmin Gabriele;Müntefering;1980;2;2021
1528;Klaus Wilhelm;Füßmann;1957;4;2021
1529;Markus;Dossenbach;1968;3;2021
1530;Jacob;Liedtke;1988;6;2021
1531;Felix Johannes;Oekentorp;1963;5;2021
1532;Nana Miriam;Sippel;1985;9;2021
1533;Andreas;Walter;1962;8;2021
1534;Peter Georg;Weispfenning;1967;18;2021
1535;Sven;Heiermann;1977;28;2021
1536;Klaus;Wegener;1961;1;2021
1537;Jens;Peick;1981;2;2021
1538;Roman;Senga;1982;4;2021
1539;Heinrich Theodor;Garbe;1955;3;2021
1540;Markus;Kurth;1966;6;2021
1541;Ann-Christin;Huber;1991;5;2021
1542;Marco;Bülow;1971;9;2021
1543;Michael;Badura;1962;10;2021
1544;Mario;Krause;1973;8;2021
1545;Sarah-Ines;Rißmann;1984;18;2021
1546;Hanfried Lothar;Brenner;1943;21;2021
1547;Achim;Lohse;1974;28;2021
1548;Daniel;Staiger;1985;40;2021
1549;Paul Hendrik;Hofmann;2002;134;2021
1550;Noah Georg;Trojanowski;2002;135;2021
1551;Michael;Depenbrock;1970;1;2021
1552;Sabine;Poschmann;1968;2;2021
1553;Frieder Cornelius;Löhrer;1956;4;2021
1554;Matthias;Helferich;1988;3;2021
1555;Anke;Weber;1982;6;2021
1556;Sonja Janet;Lemke;1991;5;2021
1557;Sandra;Goerdt;1974;9;2021
1558;Stephanie;Linde;1976;10;2021
1559;Iris;Häger;1971;8;2021
1560;Klara;Kossack;1991;18;2021
1561;Nils;Märtin;1977;21;2021
1562;Nancy;Meyer;1983;40;2021
1563;Hubert Wilhelm;Hüppe;1956;1;2021
1564;Oliver;Kaczmarek;1970;2;2021
1565;Suat Niyazi;Gülden;1997;4;2021
1566;Ulrich;Lehmann;1970;3;2021
1567;Michael;Sacher;1964;6;2021
1568;Andreas Rolf Wilhelm;Meier;1976;5;2021
1569;Thomas;Cieszynski;1967;8;2021
1570;Tobias Michael Karl;Thylmann;1955;18;2021
1571;Artur Markus;Helios;1965;28;2021
1572;Nadine Verena;Peiler;1974;136;2021
1573;Arnd;Hilwig;1973;1;2021
1574;Michael Eckardt;Thews;1964;2;2021
1575;Lucas;Slunjski;1995;4;2021
1576;Robert;Hennig;1958;3;2021
1577;Martin Georg;Kesztyüs;1980;6;2021
1578;Rebekka Maria;Kämpfe;1987;5;2021
1579;Folke;Hellmig;1959;8;2021
1580;Dominik;Pfau;1979;28;2021
1581;Hans-Jürgen;Thies;1955;1;2021
1582;Wolfgang;Hellmich;1958;2;2021
1583;Fabian;Griewel;1997;4;2021
1584;Gerhard Helmuth Berengar;Elsner von Gronow;1978;3;2021
1585;Mohammad Shahabuddin;Miah;1956;6;2021
1586;Robert;Helle;1998;5;2021
1587;Christine-Maria;Hudyma;1961;8;2021
1588;Wolfgang Martin;Sälzer;1960;28;2021
1589;Joachim-Friedrich Martin Josef;Merz;1955;1;2021
1590;Dirk;Wiese;1983;2;2021
1591;Carl-Julius;Cronenberg;1962;4;2021
1592;Otto Winfried;Strauß;1954;3;2021
1593;Maria Anna Gertrud;Tillmann;1968;6;2021
1594;Karl-Ludwig;Gössling;1957;5;2021
1595;Andreas Ernst Thomas;Hövelmann;1984;9;2021
1596;Sebastian;Vielhaber;1979;8;2021
1597;Klaus Wilhelm;Selter;1966;28;2021
1598;Volkmar;Klein;1960;1;2021
1599;Luiza;Licina-Bode;1972;2;2021
1600;Guido;Müller;1973;4;2021
1601;Henning;Zoz;1964;3;2021
1602;Laura Manuela;Kraft;1990;6;2021
1603;Ekkard;Büdenbender;1969;5;2021
1604;Tobias;Wied;1999;9;2021
1605;Horst Günter;Linde;1960;8;2021
1606;Hubert;Weber;1957;28;2021
1607;Inka Nicole Sonja;Berg;1973;40;2021
1608;Roland Matthäus;Meister;1953;137;2021
1609;Florian Matthias;Müller;1987;1;2021
1610;Nezahat;Baradari;1965;2;2021
1611;Johannes;Vogel;1982;4;2021
1612;Klaus;Heger;1955;3;2021
1613;Holger;Thamm;1973;6;2021
1614;Otto;Ersching;1965;5;2021
1615;Sabrina;Dieckmann;1980;8;2021
1616;Engelbert Antonius;Prevorcic;1953;21;2021
1617;Dagmar Bärbel;Welz;1962;28;2021
1618;Paul;Ziemiak;1985;1;2021
1619;Bettina;Lugk;1982;2;2021
1620;Jochen;Lipproß;1957;4;2021
1621;Daniel;Bläsing;1985;3;2021
1622;Ingo;Stuckmann;1967;6;2021
1623;Michael Martin;Thomas-Lienkämper;1962;5;2021
1624;Michael;Siethoff;1970;10;2021
1625;Hans Immanuel;Herbers;1958;8;2021
1626;Stefan;Radtke;1961;28;2021
1627;René;Bochmann;1969;3;2021
1628;Christiane;Schenderlein;1981;1;2021
1629;Philipp Johannes;Rubach;1996;5;2021
1630;Rüdiger Bernd Alfred;Kleinke;1969;2;2021
1631;Martin Max;Richter;1978;4;2021
1632;Denis;Korn;1977;6;2021
1633;Karsten;Gutjahr;1980;9;2021
1634;Chris;Daiser;1992;8;2021
1635;Uta;Strenger;1966;13;2021
1636;Doreen;Klinger;1982;28;2021
1637;Sven;Asmus;1976;138;2021
1638;Sandro;Oschkinat;1982;139;2021
1639;Christoph;Neumann;1964;3;2021
1640;Jens;Lehmann;1967;1;2021
1641;Nina Sophie;Treu;1984;5;2021
1642;Holger;Mann;1979;2;2021
1643;René;Hobusch;1976;4;2021
1644;Marie Rose;Müser;1997;6;2021
1645;Katharina Christina;Subat;1988;9;2021
1646;Thomas;Weidinger;1962;8;2021
1647;Rahel;Wehemeyer-Blum;1984;13;2021
1648;Gudrun;Kimmerle;1956;18;2021
1649;Kerry Charles;Cherki;1970;28;2021
1650;Kristina;Weidner;1988;24;2021
1651;Ronald;Härtlein;1980;140;2021
1652;Karl-Heinz;Hummitzsch;1948;141;2021
1653;Ralf Detlef;Kohl;1965;142;2021
1654;Martin;Bayer;1966;143;2021
1655;Siegbert Frank;Droese;1969;3;2021
1656;Jessica;Heller;1990;1;2021
1657;Sören;Pellmann;1977;5;2021
1658;Nadja;Sthamer;1990;2;2021
1659;Peter;Jess;1980;4;2021
1660;Paula Louise;Piechotta;1986;6;2021
1661;Thomas;Kumbernuß;1971;9;2021
1662;André;Soudah;1976;8;2021
1663;Thomas;Köhler;1957;12;2021
1664;Tobias;Kretschmer;1990;13;2021
1665;Philipp;Gäbel;1987;18;2021
1666;Matti;Rabold;1970;28;2021
1667;Jonas;Lehn;1990;24;2021
1668;Ulrika;Schöllner;1959;144;2021
1669;Edgar;Naujok;1960;3;2021
1670;Georg-Ludwig;Breitenbuch;1971;1;2021
1671;Julia Ulrike;Schramm;1985;5;2021
1672;Franziska;Mascheck;1979;2;2021
1673;Olaf Christian;Winne;1969;4;2021
1674;Matthias;Vialon;1958;6;2021
1675;Sabine;Küchler;1987;9;2021
1676;Denise Corinna;Wendt;1994;8;2021
1677;Harald Harry Bernhard;Vauk;1957;13;2021
1678;Christian;Toloczyki;1953;28;2021
1679;Daniel;Zimmet;1986;145;2021
1680;Barbara;Lenk;1982;3;2021
1681;Sebastian;Fischer;1981;1;2021
1682;Markus;Pohle;1991;5;2021
1683;Stephanie;Dzeyk;1991;2;2021
1684;Johannes;Schmidt Ramos;1991;4;2021
1685;Karin;Beese;1981;6;2021
1686;Theresa;Bergmann;1989;9;2021
1687;André;Langerfeld;1971;8;2021
1688;Steffen Frank;Förster;1964;13;2021
1689;Maik;Hoppe;1968;28;2021
1690;Uwe;Enge;1962;34;2021
1691;Karsten;Hilse;1964;3;2021
1692;Roland Albert;Ermer;1964;1;2021
1693;Caren Nicole;Lay;1972;5;2021
1694;Susanne Kathrin;Michel;1963;2;2021
1695;Dietrich Matthias;Schniebel;1973;4;2021
1696;Lukas;Mosler;1997;6;2021
1697;Steffi;Thomas;1984;9;2021
1698;Dirk;Nasdala;1966;8;2021
1699;Daniela;Trittmacher;1964;28;2021
1700;Maik Harald;Lehmann;1968;34;2021
1701;Tino;Chrupalla;1975;3;2021
1702;Florian;Oest;1987;1;2021
1703;Marko;Schmidt;1989;5;2021
1704;Harald Holger;Prause-Kosubek;1971;2;2021
1705;Hans Rudolf;Grüner;1955;4;2021
1706;Annett;Jagiela;1977;6;2021
1707;Siegmund;Hänchen;1970;8;2021
1708;Stefan;Heinke;1978;28;2021
1709;Bernhard Hubert;Blickle;1958;146;2021
1710;Harald Siegfried;Twupack;1962;34;2021
1711;Steffen;Janich;1971;3;2021
1712;Corinna;Franke-Wöller;1973;1;2021
1713;André;Hahn;1963;5;2021
1714;Fabian;Funke;1997;2;2021
1715;Dirk;Jahn;1966;4;2021
1716;Nino;Haustein;1989;6;2021
1717;Christoph;Fröse;1954;8;2021
1718;Dirk Matthias;Zimmermann;1967;13;2021
1719;Roberto;Mauksch;1980;28;2021
1720;Klaus;Brähmig;1957;147;2021
1721;Helga;Queck;1959;148;2021
1722;Jens;Maier;1962;3;2021
1723;Markus;Reichel;1968;1;2021
1724;Katja;Kipping;1978;5;2021
1725;Rasha;Nasr;1992;2;2021
1726;Torsten;Herbst;1973;4;2021
1727;Kassem Taher;Saleh;1993;6;2021
1728;Robert;Küttner;1988;9;2021
1729;Stephanie;Henkel;1992;12;2021
1730;Markus Peter;Taubert;1996;13;2021
1731;Andrea;Ebert;1957;18;2021
1732;Constanze;Grottker;1962;28;2021
1733;Janko;Vieweg;1975;29;2021
1734;Robert;Ritter;2001;24;2021
1735;Marcus;Fuchs;1983;149;2021
1736;Lothar;Häupl;1949;150;2021
1737;Andreas;Harlaß;1961;3;2021
1738;Lars;Rohwer;1972;1;2021
1739;Silvio;Lang;1983;5;2021
1740;Stephan;Schumann;1988;2;2021
1741;Silke;Müller;1970;4;2021
1742;Merle;Spellerberg;1996;6;2021
1743;Charlotte;Brock;1994;9;2021
1744;Korvin;Lemke;1990;8;2021
1745;Anne;Herpertz;1998;12;2021
1746;Florian;Busch;1984;13;2021
1747;Günter;Slave;1955;18;2021
1748;Anke;Althoff;1963;28;2021
1749;Andreas;Kabus;1973;19;2021
1750;Michael;Gründler;1958;23;2021
1751;Frank;Hannig;1970;151;2021
1752;Carolin;Bachmann;1988;3;2021
1753;Veronika Maria;Bellmann;1960;1;2021
1754;Stefan;Hartmann;1968;5;2021
1755;Alexander;Geißler;1990;2;2021
1756;Philipp;Hartewig;1994;4;2021
1757;Lea Ursula;Fränzle;1997;6;2021
1758;Marcus;Lieder;1983;13;2021
1759;Thomas;Linke;1972;28;2021
1760;Michael;Klonovsky;1962;3;2021
1761;Frank;Heinrich;1964;1;2021
1762;Tim;Detzner;1979;5;2021
1763;Detlef;Müller;1964;2;2021
1764;Frank;Müller-Rosentritt;1982;4;2021
1765;Karola;Köpferl;1990;6;2021
1766;Paul Thomas;Vogel;1991;9;2021
1767;Bert;Rohne;1974;13;2021
1768;Thomas;Lörinczy;1970;14;2021
1769;Normen;Lienow;1975;28;2021
1770;Daniel;Richter;1982;152;2021
1771;Jörg Alexander;Weidemann;1968;153;2021
1772;Hans Sieghard;Röhder;1962;154;2021
1773;Mike;Moncsek;1964;3;2021
1774;Marco;Wanderwitz;1975;1;2021
1775;Sebastian;Bernhardt;1986;5;2021
1776;Carlos;Kasper;1994;2;2021
1777;Monique;Woiton;1973;4;2021
1778;Bernhard;Herrmann;1966;6;2021
1779;André;Hofmann;1988;9;2021
1780;Moritz;Schüller;1996;8;2021
1781;Sebastian;Högen;1986;13;2021
1782;Jürgen;Dreher;1959;28;2021
1783;Thomas;Dietz;1967;3;2021
1784;Alexander;Krauß;1975;1;2021
1785;Clara Anne;Bünger;1986;5;2021
1786;Silvio;Heider;1987;2;2021
1787;Ulrike;Harzer;1968;4;2021
1788;Sebastian;Walter;1989;6;2021
1789;Carsten;Staat;1980;9;2021
1790;Andreas;Schmiedel;1955;8;2021
1791;Jennifer Sophie;Schilling;1999;14;2021
1792;Grit;Weiß;1965;28;2021
1793;Simon;Haustein;1995;29;2021
1794;Sandro;Reichel;1978;155;2021
1795;Matthias;Moosdorf;1965;3;2021
1796;Carsten;Körber;1979;1;2021
1797;Sabine;Zimmermann;1960;5;2021
1798;Gundula;Schubert;1981;2;2021
1799;Nico;Tippelt;1967;4;2021
1800;Wolfgang;Wetzel;1968;6;2021
1801;Christiane;Drechsel;1963;8;2021
1802;Daniel;Micklisch;1983;13;2021
1803;Christoph;Heinritz-Bechtel;1968;28;2021
1804;Thomas;Krajak;1962;156;2021
1805;Mathias;Weiser;1986;3;2021
1806;Yvonne;Magwas;1979;1;2021
1807;Johannes;Höfer;1988;5;2021
1808;Kay;Burmeister;1975;2;2021
1809;André;Ludwig;1976;4;2021
1810;Olaf;Horlbeck;1965;6;2021
1811;Dietmar Günter;Eichhorn;1954;13;2021
1812;Mario;Falcke;1962;28;2021
1813;Udo;Sieghart;1957;31;2021
1814;Claus Joachim;Gerisch;1959;157;2021
1815;David;Drechsel;2003;34;2021
1816;Armin;Schwarz;1968;1;2021
1817;Esther;Dilcher;1965;2;2021
1818;Jan Ralf;Nolte;1988;3;2021
1819;Jochen Helmut;Rube;1984;4;2021
1820;Peter;Koswig;1960;6;2021
1821;Regina;Preysing;1965;5;2021
1822;Kira;Hauser;1976;8;2021
1823;Daniele;Saracino;1985;28;2021
1824;Barbara;Meyer;1978;158;2021
1825;Gerd Erwin;Müller;1961;159;2021
1826;Michael;Aufenanger;1976;1;2021
1827;Timon;Gremmels;1976;2;2021
1828;Inge Sibylle Beate;Johst;1946;3;2021
1829;Matthias;Nölke;1980;4;2021
1830;Boris;Mijatović;1974;6;2021
1831;Stephanie Gerda;Schury;1987;5;2021
1832;Franz Gregor;Czisch;1964;9;2021
1833;Michael;Scheffler;1960;8;2021
1834;Klaus Rüdiger Hans;Bremer;1952;18;2021
1835;Stefan Maria;Fydrich;1954;28;2021
1836;Wolfgang Alfred;Peuckert;1938;29;2021
1837;Stephan;Mascher;1971;160;2021
1838;Cornelius Sayyed;El-Fayoumy;2002;161;2021
1839;Wilhelm;Gebhard;1976;1;2021
1840;Michael;Roth;1970;2;2021
1841;Gerhard Friedrich Philipp;Schenk;1954;3;2021
1842;Jorias;Bach;1998;4;2021
1843;Awet;Tesfaiesus;1974;6;2021
1844;Sabine;Leidig;1961;5;2021
1845;Rainer;Janisch;1960;8;2021
1846;Beate Helga;Gerke;1964;28;2021
1847;Berthold Karl;Hartmann;1952;32;2021
1848;Heidi Johanna Klara;Schmidt;1950;162;2021
1849;Anna-Maria;Bischof;1989;1;2021
1850;Edgar Konrad Hartmut;Franke;1960;2;2021
1851;Albrecht Heinz Erhard;Glaser;1942;3;2021
1852;Bastian Alexander;Belz;1990;4;2021
1853;Bettina Martha Lieselotte;Hoffmann;1960;6;2021
1854;Heidemarie Elfriede;Scheuch-Paschkewitz;1959;5;2021
1855;Clara Luisa;Baumann;1989;9;2021
1856;Markus Rainer;Lappe;1973;8;2021
1857;Hermann-Theodor;Ploppa;1953;28;2021
1858;Alfred;Härtzsch;1951;29;2021
1859;Alexander Gerhard Richard;Klement;1975;163;2021
1860;Stefan;Heck;1982;1;2021
1861;Sören;Bartol;1974;2;2021
1862;Julian;Schmidt;1989;3;2021
1863;Niklas;Hannott;1995;4;2021
1864;Stephanie;Theiss;1988;6;2021
1865;Maximilian Philipp;Peter;1992;5;2021
1866;Gökhan;Özdemir;1995;8;2021
1867;Rüdiger;Schapner;1971;28;2021
1868;Karin Ursula;Marinello;1951;164;2021
1869;Simon;Carstensen;1983;165;2021
1870;Hans-Jürgen;Irmer;1952;1;2021
1871;Dagmar;Schmidt;1973;2;2021
1872;Willi Karl;Wagner;1951;3;2021
1873;Carsten;Seelmeyer;1969;4;2021
1874;Caroline;Krohn;1980;6;2021
1875;Christiane;Ohnacker;1970;5;2021
1876;Niklas;Hartmann;2000;9;2021
1877;Karsten;Stahl;1972;8;2021
1878;Heiko;Schuster;1978;28;2021
1879;Helge Reinhold;Braun;1972;1;2021
1880;Felix Maximilian;Döring;1991;2;2021
1881;Uwe;Schulz;1961;3;2021
1882;Dennis;Pucher;1979;4;2021
1883;Behzad;Borhani;1984;6;2021
1884;Ali Abass Yahya;Al-Dailami;1981;5;2021
1885;Darwin;Walter;1994;9;2021
1886;Diego;Semmler;1986;8;2021
1887;Henning;Mächerle;1968;21;2021
1888;Stephan Erich Kurt;Krüdener;1962;28;2021
1889;Michael Karl;Brand;1973;1;2021
1890;Birgit;Kömpel;1967;2;2021
1891;Martin;Hohmann;1948;3;2021
1892;Jürgen;Lenders;1966;4;2021
1893;Gabriela Gianina;Zimmermann;1970;6;2021
1894;Nuha;Sharif-Ali;1992;5;2021
1895;Peter Ernst;Klug;1979;8;2021
1896;Petra;Herchenröder;1964;28;2021
1897;Peter;Schäfer-von Reetnitz;1949;29;2021
1898;Eva Maria;Hemm;1973;166;2021
1899;Johannes Thomas Maria;Wiegelmann;1993;1;2021
1900;Bettina;Müller;1959;2;2021
1901;Mariana Iris;Harder-Kühnel;1974;3;2021
1902;Andrea Klara;Rahn-Farr;1972;4;2021
1903;Maximilian Knut;Kiesel;1989;6;2021
1904;Stella Luise;Smith;2001;5;2021
1905;Carsten;Hildebrandt;1972;8;2021
1906;Brigitte;Meyer-Simon;1957;28;2021
1907;Markus Benjamin;Koob;1977;1;2021
1908;Alicia Maria;Bokler;1993;2;2021
1909;Henning Hans Ernst;Thöne;1978;3;2021
1910;Katja;Adler;1974;4;2021
1911;Christian;Tramnitz;1979;6;2021
1912;André;Pabst;1963;5;2021
1913;Hubert;Horn;1968;8;2021
1914;Carsten;Baums;1968;12;2021
1915;Thomas Johannes;Schumbert;1966;28;2021
1916;Armin;Häuser;1964;1;2021
1917;Natalie;Pawlik;1992;2;2021
1918;Andreas John;Lichert;1975;3;2021
1919;Peter;Heidt;1965;4;2021
1920;Michaela;Colletti;1964;6;2021
1921;Julian;Eder;1998;5;2021
1922;Cenk;Gönül;1970;8;2021
1923;Stephan;Flindt;1959;12;2021
1924;Eva Katharina;Rosen;1985;28;2021
1925;Klaus-Peter;Willsch;1961;1;2021
1926;Martin Hermann;Rabanus;1971;2;2021
1927;Marcus Angelus;Resch;1965;3;2021
1928;Alexander;Müller;1969;4;2021
1929;Anna Kristina;Lührmann;1983;6;2021
1930;Claus Valentin;Zill;1986;5;2021
1931;Bianka Karola Charlotte;Rößler;1977;8;2021
1932;Jens;Meyer;1969;28;2021
1933;Reinhard Bodo;Seiler;1952;29;2021
1934;Carsten;Schlossbauer;1981;167;2021
1935;Ingmar Ludwig;Jung;1978;1;2021
1936;Nadine;Ruf;1978;2;2021
1937;Erich Heinrich;Heidkamp;1948;3;2021
1938;Lucas;Schwalbach;1991;4;2021
1939;Uta;Brehm;1988;6;2021
1940;Daniel;Winter;1986;5;2021
1941;Lukas;Haker;1999;9;2021
1942;Andre Stephan;Wittmann;1982;8;2021
1943;Yasmin;Schulze;1996;12;2021
1944;Ulrike Maria Magdalena;Fröhlich;1964;28;2021
1945;Lucien Andreas;Peter;1979;34;2021
1946;Felicitas;Klings;1983;24;2021
1947;Samater;Liban;1972;40;2021
1948;Alexander;Hartmann;1961;23;2021
1949;Katja Isabel;Leikert;1975;1;2021
1950;Jan Lennard;Oehl;1993;2;2021
1951;Erich Willy;Albrecht;1950;3;2021
1952;Henrik Jan;Statz;1974;4;2021
1953;Marcus;Bocklet;1964;6;2021
1954;Alexander Peter Paul Dieter;Kuhne;1998;5;2021
1955;Christian;Clauß;1962;8;2021
1956;Ralf;Haußels;1969;28;2021
1957;Peter;Rehbein;1984;168;2021
1958;Norbert Maria;Altenkamp;1972;1;2021
1959;Ilja-Kristin;Seewald;1968;2;2021
1960;Gerhard Rudolf;Bergmann;1948;3;2021
1961;Bettina;Stark-Watzinger;1968;4;2021
1962;Kordula Anna Paula;Schulz-Asche;1956;6;2021
1963;Paul;Laslop;1965;5;2021
1964;Florian Antonius;Sauer;1983;9;2021
1965;Frank;Bergmann;1975;8;2021
1966;Axel;Kaufmann;1973;1;2021
1967;Armand;Zorn;1988;2;2021
1968;Patrick Rüdiger;Schenk;1968;3;2021
1969;Frank Michael;Maiwald;1981;4;2021
1970;Deborah Saskia;Düring;1994;6;2021
1971;Janine Natalie;Wißler;1981;5;2021
1972;Eric;Pärisch;1986;8;2021
1973;Karsten Ulrich;Wappelt;1953;18;2021
1974;Martin Karl Georg;Heipertz;1976;28;2021
1975;Maximilian;Zänker;1990;40;2021
1976;Bettina Margarethe;Wiesmann;1966;1;2021
1977;Kaweh;Mansoori;1988;2;2021
1978;Joana Eleonora;Cotar;1973;3;2021
1979;Thorsten Willibald;Lieb;1973;4;2021
1980;Omid;Nouripour;1975;6;2021
1981;Achim Dieter;Kessler;1964;5;2021
1982;Dieter;Breidt;1960;8;2021
1983;Tufan;Aydin;1988;18;2021
1984;Konstantinos;Marketakis;1966;28;2021
1985;Stefan;Sauer;1966;1;2021
1986;Melanie;Wegling;1990;2;2021
1987;Thorsten;Blümlein;1971;3;2021
1988;Stephan;Dehler;1984;4;2021
1989;Lars;Nitschke;1997;6;2021
1990;Jörg;Cezanne;1958;5;2021
1991;Daniel;Weber;1969;9;2021
1992;Achim;Weidner;1959;8;2021
1993;Johannes Matthias;Rücker;1947;18;2021
1994;Thomas Andreas;Unverzagt;1955;28;2021
1995;Björn Manuel;Simon;1981;1;2021
1996;Tuna;Firat;1981;2;2021
1997;Christin;Thüne;1962;3;2021
1998;Ernestos Andreas;Varvaroussis;1963;4;2021
1999;Wolfgang;Strengmann-Kuhn;1964;6;2021
2000;Christine;Buchholz;1971;5;2021
2001;Stephanie;Birkle;1980;9;2021
2002;Dennis;Lehmann;1988;8;2021
2003;Gregory;Engels;1976;12;2021
2004;Stefan;Billing;1962;28;2021
2005;Felix;Kautz;1996;40;2021
2006;Astrid;Mannes;1967;1;2021
2007;Andreas;Larem;1964;2;2021
2008;Meysam;Ehtemai;1980;3;2021
2009;Julia Caroline Susanne;Buttlar;1971;4;2021
2010;Daniela;Wagner;1957;6;2021
2011;Fırat;Turğut-Wenzel;1987;5;2021
2012;Mario;Pingel;1985;9;2021
2013;Harald Paul;Uhl;1958;8;2021
2014;Anna;Schupp;1983;18;2021
2015;Gerold;Hiemenz;1959;28;2021
2016;Mitja;Stachowiak;1993;169;2021
2017;Patricia;Lips;1963;1;2021
2018;Jens;Zimmermann;1981;2;2021
2019;Georg Rüdiger;Hashagen;1949;3;2021
2020;Mathias Gerald;Zeuner;1966;4;2021
2021;Philip;Krämer;1992;6;2021
2022;Marlene;Wenzl;2002;5;2021
2023;Laura Monika;Schulz;1994;8;2021
2024;Werner Erich;Krebs;1950;28;2021
2025;Kim Renée;Pfaff;1990;40;2021
2026;Dieter;Stein;1957;170;2021
2027;Michael Günther;Meister;1961;1;2021
2028;Sven;Wingerter;1980;2;2021
2029;Thomas Norbert;Fetsch;1969;3;2021
2030;Till Berthold;Mansmann;1968;4;2021
2031;Moritz;Müller;1992;6;2021
2032;Sascha;Bahl;1976;5;2021
2033;Kerstin;Buchner;1965;8;2021
2034;Ina;Rodewald;1966;28;2021
2035;Heike Ursula;Grammbitter;1955;171;2021
2036;Gabriele Hanne Dorothea;Ermen;1967;39;2021
2037;Manfred;Grund;1955;1;2021
2038;Jürgen Hans;Pohl;1964;3;2021
2039;Sigrid;Hupach;1968;5;2021
2040;Anne;Bressem;1982;2;2021
2041;Patrick;Kurth;1976;4;2021
2042;Heike Birgit;Möller;1965;6;2021
2043;Helmut Otto Karl Dieter;Günther;1952;8;2021
2044;Katja;Staffehl;1982;9;2021
2045;Marius;Braun;1986;13;2021
2046;Kurt-Peter;Kleffel;1953;18;2021
2047;Andreas;Schneider;1956;28;2021
2048;Christian;Hirte;1976;1;2021
2049;Klaus;Stöber;1961;3;2021
2050;Martina Erika;Renner;1967;5;2021
2051;Tina;Rudolph;1991;2;2021
2052;Leon Dustin;Bender;2002;4;2021
2053;Justus;Heuer;2000;6;2021
2054;Andreas;Böhme;1960;8;2021
2055;Stephan;Hinze;1987;9;2021
2056;Peter Alexander;Schneider;1961;13;2021
2057;Lea;Weinmann;1982;18;2021
2058;Andreas;Wolfschlag;1965;28;2021
2059;Wladislaw;Schel;1995;34;2021
2060;Mike;Mohring;1971;1;2021
2061;Torben;Braga;1991;3;2021
2062;Ralph;Lenkert;1967;5;2021
2063;Holger;Becker;1964;2;2021
2064;Tim;Wagner;1981;4;2021
2065;Heiko;Knopf;1989;6;2021
2066;Marion;Schneider;1956;8;2021
2067;Simon;Wagner;1982;9;2021
2068;Anatole Tobias;Braungart;1962;18;2021
2069;Karsten;Geschwandtner;1971;28;2021
2070;Frank;Wycislok;1970;34;2021
2071;Tankred;Schipanski;1976;1;2021
2072;Marcus;Bühl;1977;3;2021
2073;Cornelia;Wanderer;1962;5;2021
2074;Michael Christian;Müller;1977;2;2021
2075;Martin Hans Wilhelm;Mölders;1958;4;2021
2076;Stephan;Ostermann;1979;6;2021
2077;Sylke;Mönch;1970;8;2021
2078;Frank-Peter;Prüger;1970;9;2021
2079;Louisa Nadia Marie;Freytag-Löringhoff;1994;18;2021
2080;Sven-Jarno;Bien;1973;28;2021
2081;André;Pfannschmidt;1983;45;2021
2082;Timo;Pradel;1971;47;2021
2083;Antje;Tillmann;1964;1;2021
2084;Sascha;Schlösser;1974;3;2021
2085;Susanne Marianne;Hennig-Wellsow;1977;5;2021
2086;Carsten;Schneider;1976;2;2021
2087;Christian;Poloczek-Becher;1977;4;2021
2088;Katrin;Göring-Eckardt;1966;6;2021
2089;Sindy;Malsch;1986;9;2021
2090;Tassilo;Timm;1986;18;2021
2091;Ulrich Josef;Masuth;1957;28;2021
2092;Volkmar;Vogel;1959;1;2021
2093;Stephan Günther;Brandner;1966;3;2021
2094;Björn;Harras;1983;5;2021
2095;Elisabeth;Kaiser;1987;2;2021
2096;Marco;Thiele;1984;4;2021
2097;Doreen Susann;Rath;1969;6;2021
2098;Klaus-Dieter;Ilius;1948;18;2021
2099;Günther;Langer;1959;28;2021
2100;Bernd Ingo;Nebeler;1969;172;2021
2101;Gebhard;Berger;1961;173;2021
2102;Albert Helmut;Weiler;1965;1;2021
2103;Michael Heinz;Kaufmann;1964;3;2021
2104;Frank;Tempel;1969;5;2021
2105;Cordelius;Ilgmann;1980;2;2021
2106;Reginald Karl Heinz;Hanke;1956;4;2021
2107;Susanne Margarete Christa;Martin;1991;6;2021
2108;Torsten Wolfgang;Heilmann;1966;8;2021
2109;Gerry Max;Fiedler;1994;9;2021
2110;Michael;Gehrmann-Gacasa;1952;13;2021
2111;Janine;Walter-Rupprecht;1986;18;2021
2112;Saskia;Graupe;1976;28;2021
2113;Hans-Georg;Maaßen;1962;1;2021
2114;Heinz Jürgen;Treutler;1951;3;2021
2115;Sandro;Witt;1981;5;2021
