partei_id;wahlkreis_id;jahr;anzahl
1;1;2021;41721
2;1;2021;38927
4;1;2021;12299
6;1;2021;50231
3;1;2021;9768
5;1;2021;6544
9;1;2021;0
8;1;2021;2324
13;1;2021;0
18;1;2021;0
28;1;2021;3357
21;1;2021;0
26;1;2021;227
24;1;2021;0
10;1;2021;0
37;1;2021;13020
38;1;2021;0
40;1;2021;0
14;1;2021;0
1;2;2021;43745
2;2;2021;40026
4;2;2021;13958
6;2;2021;20611
3;2;2021;8274
5;2;2021;4060
9;2;2021;0
8;2;2021;1510
13;2;2021;0
18;2;2021;0
28;2;2021;2254
21;2;2021;0
26;2;2021;0
24;2;2021;0
10;2;2021;0
37;2;2021;9410
38;2;2021;0
40;2;2021;0
14;2;2021;0
1;3;2021;39431
2;3;2021;39379
4;3;2021;19315
6;3;2021;16686
3;3;2021;10429
5;3;2021;4339
9;3;2021;0
8;3;2021;2566
13;3;2021;0
18;3;2021;0
28;3;2021;2040
21;3;2021;0
26;3;2021;0
24;3;2021;0
10;3;2021;0
37;3;2021;0
38;3;2021;0
40;3;2021;0
14;3;2021;581
1;4;2021;47688
2;4;2021;49474
4;4;2021;12903
6;4;2021;23832
3;4;2021;10200
5;4;2021;4416
9;4;2021;2150
8;4;2021;1651
13;4;2021;0
18;4;2021;0
28;4;2021;2502
21;4;2021;0
26;4;2021;0
24;4;2021;0
10;4;2021;0
37;4;2021;5834
38;4;2021;0
40;4;2021;0
14;4;2021;0
1;5;2021;28416
2;5;2021;45709
4;5;2021;11445
6;5;2021;43532
3;5;2021;7147
5;5;2021;7275
9;5;2021;2944
8;5;2021;1144
13;5;2021;0
18;5;2021;76
28;5;2021;2009
21;5;2021;110
26;5;2021;202
24;5;2021;0
10;5;2021;0
37;5;2021;4141
38;5;2021;0
40;5;2021;666
14;5;2021;0
1;6;2021;36870
2;6;2021;41497
4;6;2021;12420
6;6;2021;20740
3;6;2021;9404
5;6;2021;3718
9;6;2021;2196
8;6;2021;2386
13;6;2021;0
18;6;2021;0
28;6;2021;2508
21;6;2021;0
26;6;2021;0
24;6;2021;0
10;6;2021;0
37;6;2021;0
38;6;2021;0
40;6;2021;0
14;6;2021;0
1;7;2021;49710
2;7;2021;59298
4;7;2021;20737
6;7;2021;32109
3;7;2021;12141
5;7;2021;5659
9;7;2021;2352
8;7;2021;2380
13;7;2021;0
18;7;2021;0
28;7;2021;2895
21;7;2021;0
26;7;2021;0
24;7;2021;0
10;7;2021;0
37;7;2021;2622
38;7;2021;0
40;7;2021;0
14;7;2021;0
1;8;2021;55265
2;8;2021;63369
4;8;2021;20575
6;8;2021;27109
3;8;2021;14040
5;8;2021;6202
9;8;2021;3299
8;8;2021;4670
13;8;2021;0
18;8;2021;0
28;8;2021;3389
21;8;2021;0
26;8;2021;0
24;8;2021;0
10;8;2021;0
37;8;2021;0
38;8;2021;0
40;8;2021;0
14;8;2021;0
1;9;2021;42991
2;9;2021;47714
4;9;2021;13289
6;9;2021;19025
3;9;2021;9647
5;9;2021;4122
9;9;2021;0
8;9;2021;2582
13;9;2021;0
18;9;2021;0
28;9;2021;2032
21;9;2021;0
26;9;2021;0
24;9;2021;0
10;9;2021;0
37;9;2021;0
38;9;2021;0
40;9;2021;0
14;9;2021;0
48;9;2021;389
1;10;2021;51872
2;10;2021;60593
4;10;2021;20550
6;10;2021;33949
3;10;2021;14053
5;10;2021;5168
9;10;2021;2956
8;10;2021;3517
13;10;2021;0
18;10;2021;0
28;10;2021;2544
21;10;2021;125
26;10;2021;0
24;10;2021;0
10;10;2021;0
37;10;2021;0
38;10;2021;0
40;10;2021;0
14;10;2021;0
1;11;2021;28266
2;11;2021;44315
4;11;2021;9700
6;11;2021;27809
3;11;2021;8538
5;11;2021;4020
9;11;2021;2193
8;11;2021;1788
13;11;2021;0
18;11;2021;189
28;11;2021;1594
21;11;2021;91
26;11;2021;298
24;11;2021;0
10;11;2021;0
37;11;2021;0
38;11;2021;0
40;11;2021;765
14;11;2021;0
49;11;2021;220
1;12;2021;31754
3;12;2021;25393
5;12;2021;17906
2;12;2021;45189
4;12;2021;11769
6;12;2021;12061
10;12;2021;0
9;12;2021;1910
8;12;2021;3552
18;12;2021;243
13;12;2021;0
28;12;2021;2417
21;12;2021;0
24;12;2021;0
12;12;2021;1414
38;12;2021;0
40;12;2021;0
1;13;2021;26208
3;13;2021;24760
5;13;2021;14949
2;13;2021;50736
4;13;2021;10322
6;13;2021;8163
10;13;2021;0
9;13;2021;0
8;13;2021;3531
18;13;2021;0
13;13;2021;0
28;13;2021;2796
21;13;2021;0
24;13;2021;0
12;13;2021;0
38;13;2021;0
40;13;2021;0
50;13;2021;2581
1;14;2021;27672
3;14;2021;19882
5;14;2021;29715
2;14;2021;43932
4;14;2021;12242
6;14;2021;16556
10;14;2021;4476
9;14;2021;0
8;14;2021;2131
18;14;2021;356
13;14;2021;0
28;14;2021;4744
21;14;2021;0
24;14;2021;0
12;14;2021;1304
38;14;2021;0
40;14;2021;0
1;15;2021;33903
3;15;2021;33025
5;15;2021;22767
2;15;2021;40429
4;15;2021;11005
6;15;2021;12199
10;15;2021;5083
9;15;2021;1782
8;15;2021;1835
18;15;2021;226
13;15;2021;0
28;15;2021;2805
21;15;2021;0
24;15;2021;0
12;15;2021;1094
38;15;2021;0
40;15;2021;0
1;16;2021;31182
3;16;2021;36597
5;16;2021;16202
2;16;2021;37392
4;16;2021;11165
6;16;2021;6112
10;16;2021;4765
9;16;2021;0
8;16;2021;2468
18;16;2021;0
13;16;2021;0
28;16;2021;3257
21;16;2021;0
24;16;2021;0
12;16;2021;0
38;16;2021;0
40;16;2021;0
51;16;2021;509
39;16;2021;1019
1;17;2021;29950
3;17;2021;30320
5;17;2021;14494
2;17;2021;43730
4;17;2021;9825
6;17;2021;7573
10;17;2021;0
9;17;2021;0
8;17;2021;4264
18;17;2021;445
13;17;2021;0
28;17;2021;0
21;17;2021;0
24;17;2021;0
12;17;2021;0
38;17;2021;0
40;17;2021;0
1;18;2021;23231
2;18;2021;59229
6;18;2021;46326
5;18;2021;16195
4;18;2021;14424
3;18;2021;8664
9;18;2021;4251
10;18;2021;0
8;18;2021;1340
13;18;2021;704
14;18;2021;0
18;18;2021;194
21;18;2021;0
28;18;2021;2940
32;18;2021;0
26;18;2021;0
24;18;2021;0
12;18;2021;0
38;18;2021;0
40;18;2021;0
52;18;2021;564
1;19;2021;25441
2;19;2021;43427
6;19;2021;45063
5;19;2021;14716
4;19;2021;12380
3;19;2021;5191
9;19;2021;0
10;19;2021;0
8;19;2021;756
13;19;2021;571
14;19;2021;0
18;19;2021;209
21;19;2021;0
28;19;2021;2619
32;19;2021;0
26;19;2021;0
24;19;2021;0
12;19;2021;1351
38;19;2021;0
40;19;2021;0
1;20;2021;27462
2;20;2021;47375
6;20;2021;47734
5;20;2021;11351
4;20;2021;12957
3;20;2021;5450
9;20;2021;2334
10;20;2021;0
8;20;2021;998
13;20;2021;450
14;20;2021;0
18;20;2021;137
21;20;2021;0
28;20;2021;2400
32;20;2021;0
26;20;2021;0
24;20;2021;0
12;20;2021;0
38;20;2021;0
40;20;2021;1391
1;21;2021;43870
2;21;2021;56594
6;21;2021;47375
5;21;2021;9095
4;21;2021;15786
3;21;2021;6259
9;21;2021;0
10;21;2021;0
8;21;2021;1540
13;21;2021;0
14;21;2021;0
18;21;2021;174
21;21;2021;0
28;21;2021;3258
32;21;2021;0
26;21;2021;0
24;21;2021;0
12;21;2021;0
38;21;2021;0
40;21;2021;0
1;22;2021;33085
2;22;2021;66616
6;22;2021;26599
5;22;2021;10629
4;22;2021;15755
3;22;2021;11490
9;22;2021;0
10;22;2021;0
8;22;2021;0
13;22;2021;880
14;22;2021;0
18;22;2021;117
21;22;2021;0
28;22;2021;3054
32;22;2021;0
26;22;2021;0
24;22;2021;0
12;22;2021;2068
38;22;2021;0
40;22;2021;1834
1;23;2021;26483
2;23;2021;61590
6;23;2021;24231
5;23;2021;10521
4;23;2021;13301
3;23;2021;12774
9;23;2021;0
10;23;2021;0
8;23;2021;2109
13;23;2021;1061
14;23;2021;0
18;23;2021;131
21;23;2021;0
28;23;2021;2988
32;23;2021;0
26;23;2021;0
24;23;2021;0
12;23;2021;0
38;23;2021;0
40;23;2021;1251
1;24;2021;24019
2;24;2021;71596
4;24;2021;11798
3;24;2021;0
6;24;2021;12652
5;24;2021;4861
9;24;2021;0
10;24;2021;4162
