vorname;nachname;geburtsjahr;Partei;wahlkreis_id;bundesland;listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Roman;Archner;1980;Die PARTEI;81;Berlin;68;;;;;2017
Kerstin;Arend-Langenbach;1971;CDU;-1;Rheinland-Pfalz;21;;;;;2017
Marianne;Arens;1952;SGP;182;-1;-1;;;;;2017
Udo Peter;Arenz;1964;ÖDP;-1;Hessen;2;;;;;2017
Henning;Aretz;1956;CDU;-1;Nordrhein-Westfalen;59;;;;;2017
Krenar;Arifi;1964;V-Partei³;-1;Bayern;32;;;;;2017
Ralf;Armbrüster;1970;FDP;-1;Saarland;10;;;;;2017
Hans;Arndt;1957;FREIE WÄHLER;207;Rheinland-Pfalz;9;;;;;2017
Klaus Joachim;Arndt;1966;ÖDP;-1;Niedersachsen;3;;;;;2017
Helena;Arndt;1982;Die PARTEI;-1;Niedersachsen;2;;;;;2017
Alfred Jakob;Arndt;1949;DKP;-1;Hessen;15;;;;;2017
Ingrid;Arndt-Brauer;1961;SPD;124;Nordrhein-Westfalen;14;;;;;2017
Dagmar;Arnecke;1951;MLPD;86;-1;-1;;;;;2017
Alexander;Arnold;1991;FDP;238;Bayern;46;;;;;2017
Bendrick;Arnold;1946;MLPD;247;Bayern;17;;;;;2017
Alexander;Arpaschi;1970;AfD;272;-1;-1;;;;;2017
Maximilian Bernd;Aschenbach;1985;Die PARTEI;-1;Sachsen;6;;;;;2017
Christine;Aschenberg-Dugnus;1959;FDP;4;Schleswig-Holstein;3;;;;;2017
Doris;Dr. Aschenbrenner;1985;SPD;238;Bayern;28;;;;;2017
Arnold;Aschenbrenner;1951;MLPD;216;-1;-1;;;;;2017
Adrian;Assenmacher;1989;FDP;203;Rheinland-Pfalz;14;;;;;2017
Mario;Aßmann;1964;AfD;-1;Sachsen;17;;;;;2017
Özden;Ates;1970;DIE LINKE;115;Nordrhein-Westfalen;21;;;;;2017
Zeki;Ates;1962;EB: Ates;282;-1;-1;;;;;2017
Kerstin;Auerbach;1969;DIE LINKE;67;-1;-1;;;;;2017
Martin;Auerbach;1976;DIE LINKE;261;-1;-1;;;;;2017
Artur;Auernhammer;1963;CSU;241;Bayern;38;;;;;2017
Helmut;Augspurger;1956;Die PARTEI;-1;Baden-Württemberg;21;;;;;2017
Dennis;Augustin;1970;AfD;12;Mecklenburg-Vorpommern;4;;;;;2017
Susanne;Aulenbacher;1958;MLPD;-1;Saarland;2;;;;;2017
Marcel;Aulila;1991;FDP;285;Baden-Württemberg;17;;;;;2017
Frank;Aumeier;1975;FREIE WÄHLER;234;Bayern;11;;;;;2017
Peter;Aumer;1976;CSU;233;-1;-1;;;;;2017
Jeannette;Auricht;1970;AfD;85;-1;-1;;;;;2017
Maik;Außendorf;1971;GRÜNE;100;Nordrhein-Westfalen;24;;;;;2017
Robert Paul;Aust;1962;AfD;-1;Bayern;28;;;;;2017
Hans Günter;Austria-Zink;1945;Volksabstimmung;-1;Nordrhein-Westfalen;7;;;;;2017
Christian Richard;Avenarius;1959;SPD;159;Sachsen;11;;;;;2017
Tufan;Aydin;1988;MLPD;113;-1;-1;;;;;2017
Urban;Aykal;1974;GRÜNE;79;-1;-1;;;;;2017
Sahin;Azbak;1968;MENSCHLICHE WELT;81;Berlin;1;;;;;2017
Maik;Babenhauserheide;1975;GRÜNE;133;-1;-1;;;;;2017
Safet;Babic;1981;NPD;203;-1;-1;;;;;2017
Jan-Peter;Babnik;1968;EB: Babnik;199;-1;-1;;;;;2017
Bela;Bach;1990;SPD;221;Bayern;20;;;;;2017
Sebastian Freimund;Bach;1982;DIE LINKE;-1;Thüringen;12;;;;;2017
Tobias;Bacherle;1994;GRÜNE;260;Baden-Württemberg;18;;;;;2017
Iris Margot;Bachmann;1947;GRÜNE;-1;Hessen;17;;;;;2017
Markus;Bäckel;1970;FREIE WÄHLER;-1;Hessen;29;;;;;2017
Jürgen Albert Richard;Bader;1960;MLPD;23;Hamburg;7;;;;;2017
Werner;Bader;1942;FREIE WÄHLER;96;-1;-1;;;;;2017
Susanne Mervat;Badra;1991;GRÜNE;110;-1;-1;;;;;2017
Bastian;Badran;1979;Die PARTEI;77;-1;-1;;;;;2017
Lisa Hildegard;Badum;1983;GRÜNE;236;Bayern;11;;;;;2017
Heike;Baehrens;1955;SPD;263;Baden-Württemberg;13;;;;;2017
Annalena;Baerbock;1980;GRÜNE;61;Brandenburg;1;;;;;2017
Sascha;Bahl;1976;DIE LINKE;188;-1;-1;;;;;2017
Ulrike;Bahr;1964;SPD;252;Bayern;4;;;;;2017
Bettina;Bähr-Losse;1967;SPD;98;Nordrhein-Westfalen;42;;;;;2017
Robert;Baier;1968;FREIE WÄHLER;152;-1;-1;;;;;2017
Notker Heinrich Dieter;Bakker;1965;Die Humanisten;-1;Nordrhein-Westfalen;6;;;;;2017
Fatma;Balci;1983;AD-DEMOKRATEN;-1;Nordrhein-Westfalen;9;;;;;2017
Franziska;Baldes;1969;MLPD;-1;Hamburg;6;;;;;2017
Torsten;Balg;1971;ÖDP;-1;Rheinland-Pfalz;17;;;;;2017
Ralf Peter;Balke;1963;Die PARTEI;55;Bremen;5;;;;;2017
Martin;Balleis;1959;BP;-1;Bayern;10;;;;;2017
Kay-Olaf;Ballerstädt;1980;FREIE WÄHLER;277;Baden-Württemberg;11;;;;;2017
August Wilhelm;Ballin;1951;DKP;-1;Bayern;4;;;;;2017
Tim;Ballschuh;1990;AfD;-1;Sachsen-Anhalt;13;;;;;2017
Manfred;Balzer;1962;Die PARTEI;-1;Niedersachsen;13;;;;;2017
Felix;Banaszak;1989;GRÜNE;116;-1;-1;;;;;2017
Sebastian;Bandt;1985;Die PARTEI;-1;Nordrhein-Westfalen;27;;;;;2017
Sabine Barbara;Dr. Bank;1954;FREIE WÄHLER;-1;Mecklenburg-Vorpommern;4;;;;;2017
Ralf Sebastian;Dr. von der Bank;1964;FREIE WÄHLER;62;-1;-1;;;;;2017
Knut;Bänsch;1961;PIRATEN;-1;Hessen;19;;;;;2017
Karl;Bär;1985;GRÜNE;223;Bayern;12;;;;;2017
Dorothee;Bär;1978;CSU;248;Bayern;3;;;;;2017
Nezahat;Baradari;1965;SPD;149;Nordrhein-Westfalen;18;;;;;2017
Robin;Baranski;1977;SPD;-1;Nordrhein-Westfalen;79;;;;;2017
Paul Emil;Barbig;1995;SPD;-1;Rheinland-Pfalz;21;;;;;2017
Thomas;Bareiß;1975;CDU;295;-1;-1;;;;;2017
