vorname;nachname;geburtsjahr;Partei;wahlkreis_id;bundesland;listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Saskia;Esken;1961;SPD;280;Baden-Württemberg;15;;;;;2017
Michael;Dr. Espendiller;1989;AfD;128;Nordrhein-Westfalen;10;;;;;2017
Bernd;Essler;1949;AfD;90;-1;-1;;;;;2017
Heiko;Evermann;1968;AfD;8;Schleswig-Holstein;7;;;;;2017
Andreas;Ewald;1988;GRÜNE;-1;Hessen;18;;;;;2017
Uwe Reiner;Ewen;1968;FDP;24;Niedersachsen;10;;;;;2017
Marcus;Dr. Faber;1984;FDP;66;Sachsen-Anhalt;2;;;;;2017
Bernd-Bernhard;Dr. Fabritius;1965;CSU;-1;Bayern;28;;;;;2017
Bernd Werner;Fachinger;1964;PIRATEN;-1;Hessen;23;;;;;2017
Hannelore;Fackler-Plump;1946;BüSo;252;Bayern;5;;;;;2017
Yasmin;Fahimi;1967;SPD;42;Niedersachsen;24;;;;;2017
Susanne;Fahlbusch;1966;SPD;-1;Niedersachsen;46;;;;;2017
Barbara;Fahncke;1959;SPD;-1;Niedersachsen;50;;;;;2017
Daniel;Fahr;1976;FDP;127;Nordrhein-Westfalen;24;;;;;2017
Sandra;Fahrendorff;1988;V-Partei³;-1;Sachsen;6;;;;;2017
Christoph Tobias Mzingisi;Faku;1988;BüSo;156;-1;-1;;;;;2017
Knut;Falkenberg;1959;FREIE WÄHLER;-1;Sachsen;10;;;;;2017
Jared;Falkenhagen;1987;Die PARTEI;-1;Baden-Württemberg;26;;;;;2017
Antonio;Falla;1966;FREIE WÄHLER;293;Baden-Württemberg;7;;;;;2017
Karlheinz;Faller;1954;FDP;253;Bayern;21;;;;;2017
Dennis;Falterbaum;1994;CDU;-1;Rheinland-Pfalz;31;;;;;2017
Ernst-Dietrich;Färber;1954;PIRATEN;-1;Thüringen;7;;;;;2017
Hermann;Färber;1963;CDU;263;-1;-1;;;;;2017
Monica;Farell;1959;FREIE WÄHLER;-1;Schleswig-Holstein;3;;;;;2017
Vera;Farrokh;1966;V-Partei³;-1;Nordrhein-Westfalen;22;;;;;2017
Daniel;Farrokh;1963;V-Partei³;-1;Nordrhein-Westfalen;9;;;;;2017
Aila;Fassl;1987;Tierschutzallianz;-1;Sachsen-Anhalt;4;;;;;2017
Josef;Fassl;1957;Tierschutzallianz;-1;Sachsen-Anhalt;1;;;;;2017
Bettina Cornelia;Fassl;1967;Tierschutzallianz;69;-1;-1;;;;;2017
Christoph Georg Bernhard;Fay;1955;CDU;-1;Hessen;30;;;;;2017
Leonardo;Fazio;1977;V-Partei³;-1;Hessen;1;;;;;2017
Johannes;Dr. Fechner;1972;SPD;283;Baden-Württemberg;10;;;;;2017
Gabriele;Fechtner;1977;MLPD;103;Nordrhein-Westfalen;1;;;;;2017
Ayse;Fehimli-Kuzu;1957;DIE LINKE;-1;Schleswig-Holstein;3;;;;;2017
Willi;Feilen;1948;FREIE WÄHLER;200;Rheinland-Pfalz;8;;;;;2017
Uwe Wolfgang Werner;Feiler;1965;CDU;58;Brandenburg;5;;;;;2017
Bernhard;Feilzer;1948;DIE LINKE;224;-1;-1;;;;;2017
Johann;Feirer;1960;GRÜNE;230;-1;-1;;;;;2017
Thomas;Dr. Feist;1965;CDU;153;Sachsen;6;;;;;2017
Astrid;zum Felde;1963;AfD;30;-1;-1;;;;;2017
Gregor;Felde-Bajerowitz;1968;EB: Felde-Bajerowitz;83;-1;-1;;;;;2017
Katrin;Feldmann;1968;GRÜNE;87;Nordrhein-Westfalen;29;;;;;2017
Solveig;Feldmeier;1961;BGE;-1;Sachsen-Anhalt;3;;;;;2017
Fritz;Dr. Felgentreu;1968;SPD;82;-1;-1;;;;;2017
Madeleine;Fellauer;1979;BüSo;152;Sachsen;6;;;;;2017
Nicole Susanne;Feller;1961;DM;-1;Saarland;3;;;;;2017
Peter;Felser;1969;AfD;256;Bayern;7;;;;;2017
Torsten;Felstehausen;1965;DIE LINKE;168;-1;-1;;;;;2017
Enak;Ferlemann;1963;CDU;29;Niedersachsen;3;;;;;2017
Oscar;Fernbacher;1945;DIE RECHTE;279;Baden-Württemberg;2;;;;;2017
Susanne;Ferschl;1973;DIE LINKE;257;Bayern;3;;;;;2017
Nicolaus;Dr. Fest;1962;AfD;80;Berlin;5;;;;;2017
Erwin;Feucht;1959;GRÜNE;295;Baden-Württemberg;40;;;;;2017
Thomas;Fick;1957;GRÜNE;267;-1;-1;;;;;2017
Joachim;Fiedler;1958;BGE;-1;Hamburg;3;;;;;2017
Jean-Christoph;Fiedler;1982;NPD;-1;Hessen;1;;;;;2017
Matthias;Fiedler;1987;NPD;-1;Thüringen;7;;;;;2017
Cristin Marth Roberta;Fiedler;1997;V-Partei³;-1;Thüringen;6;;;;;2017
Hendrik;Fiedler;1993;BGE;-1;Bremen;6;;;;;2017
Michael;Fielsch;1965;EB: Fielsch;75;-1;-1;;;;;2017
Thomas;Fietz;1966;BGE;-1;Thüringen;1;;;;;2017
Klaus;Fimmen;1956;BüSo;-1;Berlin;11;;;;;2017
Ute;Dr. Finckh-Krämer;1956;SPD;79;Berlin;7;;;;;2017
Annemarie;Fingert;1955;DIE LINKE;-1;Bayern;15;;;;;2017
Yasmin Dominique;Finkbohner;1986;ÖDP;-1;Hessen;3;;;;;2017
Ronald;Finke;1969;DM;-1;Brandenburg;11;;;;;2017
Victor Alexander;von Fintel;1971;GRÜNE;26;Niedersachsen;22;;;;;2017
Tuna;Firat;1981;SPD;185;Hessen;19;;;;;2017
Brigitte Susanne;Fischbacher;1966;AfD;213;-1;-1;;;;;2017
Martin;Fischer;1991;AfD;200;Rheinland-Pfalz;9;;;;;2017
Leonhard Georg;Fischer;1981;Die PARTEI;183;Hessen;9;;;;;2017
Maria Therese;Fischer;1962;FREIE WÄHLER;222;Bayern;20;;;;;2017
Michael;Fischer;1968;DiB;-1;Berlin;9;;;;;2017
Christian;Fischer;1979;PIRATEN;-1;Thüringen;4;;;;;2017
Tobias Peter;Fischer;1988;AfD;-1;Hessen;13;;;;;2017
Ursula;Fischer;1937;MLPD;-1;Thüringen;4;;;;;2017
Sabine;Fischer;1970;V-Partei³;-1;Niedersachsen;7;;;;;2017
Axel;Fischer;1966;CDU;272;-1;-1;;;;;2017
Lucia Maria;Fischer;1967;ÖDP;256;-1;-1;;;;;2017
Felix;Fischer;1991;FDP;283;-1;-1;;;;;2017
Werner;Fischer;1955;UNABHÄNGIGE;257;-1;-1;;;;;2017
Brit-Meike;Fischer-Pinz;1973;CDU;-1;Hamburg;10;;;;;2017
Lukas Rudolf Germut;Fitz;1995;Die PARTEI;-1;Bayern;16;;;;;2017
Florian;Fitzner;1984;BGE;-1;Mecklenburg-Vorpommern;4;;;;;2017
Maria Franziska;Dr. Flachsbarth;1963;CDU;47;Niedersachsen;4;;;;;2017
Uwe;Flachsmeyer;1967;GRÜNE;14;-1;-1;;;;;2017
Helmut;Dr. Fleck;1938;Volksabstimmung;97;Nordrhein-Westfalen;1;;;;;2017
Florian Alexander;Fleig;1981;CSU;-1;Bayern;56;;;;;2017
Franz Martin;Fleischer;1954;FDP;243;Bayern;35;;;;;2017
Helmut Paul;Fleischhauer;1947;EB: Fleischhauer;64;-1;-1;;;;;2017
Winfried Andreas;Fleischmann;1950;MLPD;-1;Bayern;6;;;;;2017
Petra;Flemming-Schmidt;1956;ÖDP;-1;Nordrhein-Westfalen;7;;;;;2017
Sebastian;Flick;1990;Die PARTEI;-1;Berlin;51;;;;;2017
Julius;Flinks;1996;GRÜNE;32;-1;-1;;;;;2017
Christian;Flisek;1974;SPD;229;Bayern;21;;;;;2017
Holger;Flöge;1956;FDP;45;Niedersachsen;8;;;;;2017
Rainer;Flohrschütz;1959;GRÜNE;171;Hessen;22;;;;;2017
Jonas;Flott;1995;FDP;257;Bayern;41;;;;;2017
Günter Walter;Flott;1968;Die PARTEI;-1;Hamburg;8;;;;;2017
Bernd;Dr. Föhr;1987;Die PARTEI;205;Rheinland-Pfalz;11;;;;;2017
Johannes;Foitzik;1960;SPD;232;Bayern;27;;;;;2017
László;Földesi;1987;BGE;-1;Hamburg;2;;;;;2017
Clemens;Fonk;1997;Die PARTEI;-1;Schleswig-Holstein;4;;;;;2017
Heiko;Förster;1981;Die PARTEI;-1;Rheinland-Pfalz;12;;;;;2017
Horst;Förster;1942;AfD;-1;Mecklenburg-Vorpommern;8;;;;;2017
Manuela;Forster;1972;ÖDP;244;-1;-1;;;;;2017
Isabelle;Fortagne-Dimitrova;1976;BGE;-1;Baden-Württemberg;7;;;;;2017
Daniel;Föst;1976;FDP;217;Bayern;1;;;;;2017
Verena;Föttinger;1956;ÖDP;285;Baden-Württemberg;1;;;;;2017
Detlef-Michael;Frahm;1944;FREIE WÄHLER;193;Thüringen;6;;;;;2017
Ralf;Frank;1981;SPD;-1;Saarland;13;;;;;2017
Christopher;Frank;1986;DM;-1;Saarland;1;;;;;2017
Muna;Frank;1997;Die Grauen;-1;Berlin;2;;;;;2017
Daniela;Frank;1978;Die Grauen;-1;Berlin;4;;;;;2017
Thomas;Frank;1964;Tierschutzpartei;-1;Bayern;5;;;;;2017
Jessica;Dr. Frank;1986;Tierschutzpartei;-1;Baden-Württemberg;2;;;;;2017
Bettina;Franke;1968;Die PARTEI;61;Brandenburg;7;;;;;2017
Edgar Konrad Hartmut;Dr. Franke;1960;SPD;170;Hessen;11;;;;;2017
Maxime-Kathrein Viktoria;Franke;1990;Die PARTEI;-1;Hessen;28;;;;;2017
Kenneth Justin Max;Franke;1993;Die PARTEI;-1;Brandenburg;10;;;;;2017
Eckhard;Franke;1952;MLPD;84;-1;-1;;;;;2017
Jobst-Egbert Dietrich Armin Friedrich Stefan;von Frankenberg und Proschlitz;1967;CDU;-1;Hamburg;8;;;;;2017
Angelika Renate Hildegard;Frankenberger;1942;Gesundheitsforschung;-1;Nordrhein-Westfalen;1;;;;;2017
Frank Willi;Franz;1978;NPD;296;Saarland;1;;;;;2017
Christiane Sabine;Franz;1969;BGE;-1;Hamburg;10;;;;;2017
Markus;Franz;1963;CDU;-1;Saarland;18;;;;;2017
Michael;Franz;1958;BüSo;-1;Berlin;9;;;;;2017
Torben;Franz;1994;DIE LINKE;40;-1;-1;;;;;2017
Nicole;Franzen;1985;FDP;-1;Rheinland-Pfalz;36;;;;;2017
Michaela Gertraud Anna;Frauendorfer;1965;CSU;-1;Bayern;45;;;;;2017
Thomas;Frech;1984;DM;-1;Baden-Württemberg;15;;;;;2017
Matthias Thomas;Frederking;1993;V-Partei³;-1;Bayern;16;;;;;2017
Ulrich Ronald;Freese;1951;SPD;64;Brandenburg;2;;;;;2017
Martin;Frei;1985;Die PARTEI;-1;Hessen;29;;;;;2017
Thorsten;Frei;1973;CDU;286;-1;-1;;;;;2017
Irmgard;Freihoffer;1961;DIE LINKE;233;Bayern;17;;;;;2017
Brigitte;Freihold;1955;DIE LINKE;210;Rheinland-Pfalz;3;;;;;2017
Dagmar;Freitag;1953;SPD;150;Nordrhein-Westfalen;6;;;;;2017
Harald Hermann;Frenzel;1961;EB: Frenzel;187;-1;-1;;;;;2017
Silas Rouven;Frerking;1987;Die PARTEI;-1;Bayern;7;;;;;2017
Paul;Fresdorf;1977;FDP;78;-1;-1;;;;;2017
Astrid;Dr. Freudenstein;1973;CSU;-1;Bayern;26;;;;;2017
Klaus;Freudigmann;1942;MLPD;83;Berlin;12;;;;;2017
Otto;Fricke;1965;FDP;110;Nordrhein-Westfalen;7;;;;;2017
Karla Annemarie;Frieben-Wischer;1962;GRÜNE;-1;Schleswig-Holstein;9;;;;;2017
Lisa-Marie;Friede;1992;GRÜNE;101;Nordrhein-Westfalen;17;;;;;2017
Lea Joy;Friedel;1993;Die PARTEI;75;Berlin;3;;;;;2017
Dietmar;Friedhoff;1966;AfD;43;Niedersachsen;5;;;;;2017
Hans-Peter;Dr. Friedrich;1957;CSU;239;Bayern;8;;;;;2017
Holm;Friedrich;1965;Die PARTEI;-1;Bremen;10;;;;;2017
Ralf;Friedrich;1966;NPD;-1;Thüringen;8;;;;;2017
Hans Ludwig;Friedrich;1952;Die PARTEI;-1;Rheinland-Pfalz;1;;;;;2017
Klaus-Jürgen Günther;Friedrich;1950;FDP;-1;Rheinland-Pfalz;29;;;;;2017
Lena;Friedrich;1993;V-Partei³;-1;Bremen;1;;;;;2017
Michael Johannes;Friedrichs;1961;DIE LINKE;186;-1;-1;;;;;2017
Beate;Friedrichs-Heinemann;1958;SPD;-1;Schleswig-Holstein;12;;;;;2017
Maika;Friemann-Jennert;1964;CDU;-1;Mecklenburg-Vorpommern;7;;;;;2017
Anton;Dr. Friesen;1985;AfD;-1;Thüringen;5;;;;;2017
Michael;Frieser;1964;CSU;245;Bayern;21;;;;;2017
Rüdiger;Frimmel;1971;V-Partei³;-1;Baden-Württemberg;14;;;;;2017
Patrick;Frisch;1989;FDP;-1;Thüringen;12;;;;;2017
Christine;Fritz;1977;NPD;-1;Hessen;5;;;;;2017
Susanne;Fritz;1966;BGE;-1;Schleswig-Holstein;2;;;;;2017
Patrick;Dr. Fröhlich;1981;CSU;-1;Bayern;61;;;;;2017
Markus;Frohnmaier;1991;AfD;260;Baden-Württemberg;4;;;;;2017
Günther;Frölich;1954;FREIE WÄHLER;265;Baden-Württemberg;3;;;;;2017
Madeline;Frömberg;1990;V-Partei³;-1;Sachsen;4;;;;;2017
Götz;Dr. Frömming;1968;AfD;-1;Berlin;3;;;;;2017
Jürgen;Frömmrich;1959;GRÜNE;167;Hessen;8;;;;;2017
Torsten;Frosina;1986;ÖDP;14;-1;-1;;;;;2017
Klaus;Fuchs;1954;MLPD;71;Sachsen-Anhalt;5;;;;;2017
Christiane;Fuchs;1961;FDP;67;Sachsen-Anhalt;5;;;;;2017
Lorenz;Fuchs;1965;FREIE WÄHLER;230;Bayern;30;;;;;2017
Norbert;Fuchs;1961;BGE;-1;Thüringen;7;;;;;2017
Andreas;Fuchs;1984;CDU;-1;Saarland;21;;;;;2017
David;Fuchs;1987;Die PARTEI;-1;Niedersachsen;8;;;;;2017
Hans-Joachim;Fuchtel;1952;CDU;280;-1;-1;;;;;2017
Sonja;Fucken-Kurzawa;1973;CDU;-1;Nordrhein-Westfalen;58;;;;;2017
Wolfgang;Fuhl;1960;AfD;282;-1;-1;;;;;2017
Helene Margarete;Füllgraf;1956;DIE LINKE;-1;Bayern;19;;;;;2017
Reinhard;Funk;1958;MLPD;138;Niedersachsen;2;;;;;2017
Maximilian Ludwig;Funke genannt Kaiser;1993;FDP;252;Bayern;16;;;;;2017
Angelika;Fürnrohr;1958;Tierschutzpartei;-1;Bayern;11;;;;;2017
Thorsten;Fürter;1970;GRÜNE;11;-1;-1;;;;;2017
Klaus-Wilhelm;Füßmann;1957;FDP;141;Nordrhein-Westfalen;30;;;;;2017
Timo;Gaarz;1977;CDU;-1;Schleswig-Holstein;13;;;;;2017
Klaus-Dieter;Gabbert;1959;FREIE WÄHLER;16;Mecklenburg-Vorpommern;2;;;;;2017
Robert;Gabel;1979;Tierschutzpartei;15;Mecklenburg-Vorpommern;2;;;;;2017
Philipp;Gäbel;1987;MLPD;-1;Sachsen;6;;;;;2017
Ute Elisabeth;Gabelmann;1981;PIRATEN;153;Sachsen;3;;;;;2017
Sylvia;Gabelmann;1958;DIE LINKE;148;Nordrhein-Westfalen;9;;;;;2017
Adrian Charles;Gabriel;1976;DIE LINKE;179;Hessen;8;;;;;2017
Sigmar Hartmut;Gabriel;1959;SPD;49;Niedersachsen;25;;;;;2017
Sandra;Gabriel;1972;Die PARTEI;-1;Saarland;1;;;;;2017
Ingo;Gädechens;1960;CDU;9;Schleswig-Holstein;3;;;;;2017
Dietmar;Gaisenkersting;1967;SGP;-1;Nordrhein-Westfalen;2;;;;;2017
Andreas;Galau;1967;AfD;-1;Brandenburg;7;;;;;2017
Korbinian Simon;Gall;1992;GRÜNE;222;Bayern;14;;;;;2017
Ronald;Galle;1957;BüSo;155;Sachsen;4;;;;;2017
Anna Gesche Lydia;Gallina;1983;GRÜNE;20;-1;-1;;;;;2017
Marc;Galwas;1970;DKP;-1;Niedersachsen;13;;;;;2017
Susanne;Gann;1964;Tierschutzpartei;-1;Baden-Württemberg;14;;;;;2017
Jürgen;Gansel;1974;NPD;-1;Sachsen;4;;;;;2017
Thomas;Ganskow;1967;PIRATEN;42;Niedersachsen;3;;;;;2017
Friedrich;Ganter;1962;Die PARTEI;-1;Hamburg;12;;;;;2017
Sofia Ofelia;Ganter;1989;GRÜNE;-1;Hessen;16;;;;;2017
Heinrich Theodor;Garbe;1955;AfD;142;-1;-1;;;;;2017
Irene;Garcia Garcia;1957;DIE VIOLETTEN;233;-1;-1;;;;;2017
Lisa Ursula;Gärtner;1986;MLPD;123;Mecklenburg-Vorpommern;1;;;;;2017
Heinz;Gärtner;1940;SPD;-1;Hessen;46;;;;;2017
Monika;Gärtner-Engel;1952;MLPD;-1;Baden-Württemberg;1;;;;;2017
Jürgen Maria;Gasper;1960;SPD;-1;Hessen;29;;;;;2017
Torsten;Gast;1974;FREIE WÄHLER;-1;Hessen;16;;;;;2017
Kurt Jürgen;Gast;1956;BGE;-1;Nordrhein-Westfalen;18;;;;;2017
Matthias;Gastel;1970;GRÜNE;262;Baden-Württemberg;10;;;;;2017
Cliff;Dr. Gatzweiler;1974;FDP;87;Nordrhein-Westfalen;45;;;;;2017
Eberhardt Alexander;Dr. Gauland;1941;AfD;63;Brandenburg;1;;;;;2017
Ellen;Gause;1966;GRÜNE;35;-1;-1;;;;;2017
Dirk;Gawlitza;1977;FDP;86;Berlin;9;;;;;2017
Carlos Alexander;Gebauer;1964;FDP;115;Nordrhein-Westfalen;34;;;;;2017
Bernhard;Gebauer;1964;BP;-1;Bayern;16;;;;;2017
Hermann;Gebauer;1943;PIRATEN;46;-1;-1;;;;;2017
Ludwig;Gebhard;1951;FREIE WÄHLER;220;Bayern;27;;;;;2017
Beatrice Ulrike Kathrin;Gebhardt;1963;CDU;-1;Thüringen;8;;;;;2017
Andreas;Gebhardt;1979;AfD;-1;Thüringen;7;;;;;2017
Herbert Alexander;Gebhardt;1944;ÖDP;276;-1;-1;;;;;2017
Thomas;Dr. Gebhart;1971;CDU;211;Rheinland-Pfalz;4;;;;;2017
Robin;Geddert;1979;PIRATEN;168;Hessen;4;;;;;2017
Dietmar;Gedig;1985;AfD;102;-1;-1;;;;;2017
Angelika;Geerligs;1953;Volksabstimmung;-1;Nordrhein-Westfalen;3;;;;;2017
Kai Boris;Gehring;1977;GRÜNE;120;Nordrhein-Westfalen;10;;;;;2017
Axel;Dr. Gehrke;1942;AfD;9;Schleswig-Holstein;2;;;;;2017
Marko;Gehrke;1974;Die PARTEI;-1;Berlin;44;;;;;2017
Peter;Dr. Gehrmann;1960;GRÜNE;108;-1;-1;;;;;2017
Dmitri;Geidel;1989;SPD;85;Berlin;14;;;;;2017
Jens;Geidel;1965;EB: Geidel;194;-1;-1;;;;;2017
Judith;Geier;1983;PIRATEN;-1;Hessen;18;;;;;2017
Monika;Geils;1964;GRÜNE;34;Niedersachsen;23;;;;;2017
Dennis;Geisbüsch;1981;DM;-1;Saarland;2;;;;;2017
Florian;Geisenfelder;1991;BP;228;Bayern;17;;;;;2017
Uwe Gerald;Geisler;1971;FDP;166;Sachsen;12;;;;;2017
Jonas Alexander Tecumseh;Geissler;1984;CSU;-1;Bayern;47;;;;;2017
Stefan;Gelbhaar;1976;GRÜNE;76;Berlin;2;;;;;2017
Manfred Ekkehard;Gemkow;1958;BGE;-1;Bayern;12;;;;;2017
Eva-Marie;Gent;1951;EB: Gent;168;-1;-1;;;;;2017
Eugen Rainer;Georg;1976;BGE;-1;Saarland;2;;;;;2017
Gabriele;Georgiou;1955;MLPD;128;-1;-1;;;;;2017
Rainer;Georgius;1985;DKP;-1;Brandenburg;6;;;;;2017
Michel Philippe;Gérard;1979;Die PARTEI;-1;Hamburg;13;;;;;2017
Stefan;Gerbig;1983;DIE LINKE;245;-1;-1;;;;;2017
Elisa;Gerbsch;1990;DIE LINKE;-1;Sachsen;13;;;;;2017
Michael;Gerdes;1960;SPD;125;Nordrhein-Westfalen;64;;;;;2017
Pascal;Gerdes;1994;Die PARTEI;-1;Niedersachsen;22;;;;;2017
Frank;Gerfelder-Jung;1964;DKP;-1;Hessen;17;;;;;2017
Arne;Gericke;1964;FREIE WÄHLER;14;Mecklenburg-Vorpommern;3;;;;;2017
Alois;Gerig;1956;CDU;276;-1;-1;;;;;2017
Uwe Peter;Gerkens;1959;DKP;-1;Niedersachsen;14;;;;;2017
Karsten;Gerlach;1971;SPD;-1;Nordrhein-Westfalen;81;;;;;2017
Carsten Wilhelm;Germer;1970;Die PARTEI;-1;Hamburg;15;;;;;2017
Martin;Gerster;1971;SPD;292;Baden-Württemberg;8;;;;;2017
Jan-Niclas;Gesenhues;1990;GRÜNE;128;Nordrhein-Westfalen;20;;;;;2017
Hans-Joachim;Geserick;1950;DKP;-1;Berlin;8;;;;;2017
Uwe;Gewiese;1969;AfD;73;Sachsen-Anhalt;5;;;;;2017
Frank Michael;Giebel;1966;EB: Giebel;23;-1;-1;;;;;2017
Christian Alexander;Gielow;1974;BGE;-1;Hamburg;4;;;;;2017
Eberhard;Gienger;1951;CDU;266;-1;-1;;;;;2017
Holger Rainer;Gier;1983;PIRATEN;-1;Saarland;4;;;;;2017
Glenn;Giera;1976;ÖDP;218;-1;-1;;;;;2017
Rita Maria;Giermann;1941;MLPD;-1;Hamburg;8;;;;;2017
Steven;Giermann;1998;CDU;-1;Mecklenburg-Vorpommern;9;;;;;2017
Patrick Sebastian;Ginsbach;1984;GRÜNE;296;Saarland;4;;;;;2017
Cemile;Giousouf;1978;CDU;138;Nordrhein-Westfalen;23;;;;;2017
Kole;Gjoka;1970;CDU;-1;Schleswig-Holstein;19;;;;;2017
Laura Amanda;Glanert;1993;BGE;-1;Hessen;3;;;;;2017
Sven;Gläsemann;1981;NPD;-1;Brandenburg;9;;;;;2017
Albrecht Heinz Erhard;Glaser;1942;AfD;170;Hessen;5;;;;;2017
Michael;Gläser;1984;SPD;-1;Brandenburg;18;;;;;2017
Stefan;Glaser;1964;V-Partei³;-1;Rheinland-Pfalz;8;;;;;2017
Maximilian Christoph;Glasneck;1989;DiB;-1;Bayern;2;;;;;2017
Eva-Maria;Glathe-Braun;1958;DIE LINKE;291;-1;-1;;;;;2017
Jens;Dr. Glatzer;1976;Die PARTEI;-1;Berlin;16;;;;;2017
Susanna;Glaubrecht;1967;V-Partei³;-1;Baden-Württemberg;17;;;;;2017
Stefan;Glause;1966;Die PARTEI;271;Baden-Württemberg;18;;;;;2017
Lukas Felix;Glemnitz;1999;Die PARTEI;-1;Niedersachsen;24;;;;;2017
Vera;Gleuel;1951;FREIE WÄHLER;167;Hessen;10;;;;;2017
Steffen;Globig;1973;SPD;71;Sachsen-Anhalt;7;;;;;2017
Florian;Glock;1984;FDP;199;Rheinland-Pfalz;5;;;;;2017
Angelika;Glöckner;1962;SPD;210;Rheinland-Pfalz;9;;;;;2017
Gottfried;Glöckner;1962;DM;-1;Hessen;1;;;;;2017
Sabrina;Gluch;1980;V-Partei³;-1;Hamburg;2;;;;;2017
Georg;Glück;1982;PIRATEN;-1;Baden-Württemberg;21;;;;;2017
Wolf;Glück;1943;EB: Glück;279;-1;-1;;;;;2017
Therese;Gmelch;1955;MLPD;236;Bayern;2;;;;;2017
Franziska;Gminder;1945;AfD;-1;Baden-Württemberg;11;;;;;2017
Eckhard;Gnodtke;1958;CDU;66;Sachsen-Anhalt;9;;;;;2017
Henner;Gnotke;1938;ÖDP;-1;Berlin;7;;;;;2017
Thomas;Göbel;1971;AfD;-1;Sachsen;13;;;;;2017
Maximilian;Göbel;1991;CDU;-1;Rheinland-Pfalz;32;;;;;2017
Thomas Marc;Göbel;1965;PIRATEN;-1;Rheinland-Pfalz;4;;;;;2017
Harald;Göbel;1967;DM;-1;Bayern;8;;;;;2017
Josef;Dr. Gochermann;1960;CDU;-1;Nordrhein-Westfalen;78;;;;;2017
Walter;Goda;1962;CDU;-1;Niedersachsen;54;;;;;2017
Andreas;Goebel;1964;MLPD;-1;Saarland;3;;;;;2017
Jakob;Goebel;1992;Die PARTEI;-1;Schleswig-Holstein;7;;;;;2017
Michael Horst;Goebel;1958;AfD;179;-1;-1;;;;;2017
Volker;Goerz;1967;GRÜNE;286;Baden-Württemberg;32;;;;;2017
Erik;Dr. Goetze;1956;CDU;-1;Rheinland-Pfalz;40;;;;;2017
Bernd;Goffart;1966;CDU;-1;Nordrhein-Westfalen;65;;;;;2017
Ute;Göggelmann;1959;ÖDP;-1;Baden-Württemberg;13;;;;;2017
Klaus;Göggelmann;1960;ÖDP;-1;Baden-Württemberg;19;;;;;2017
Victor;Gogröf;1993;Die PARTEI;278;Baden-Württemberg;22;;;;;2017
Sonnhild;Gogröf;1962;Die PARTEI;-1;Baden-Württemberg;23;;;;;2017
Christopher;Dr. Gohl;1974;FDP;290;Baden-Württemberg;13;;;;;2017
Nicole Stephanie;Gohlke;1975;DIE LINKE;219;Bayern;2;;;;;2017
Zeki;Gökhan;1956;DIE LINKE;91;Nordrhein-Westfalen;14;;;;;2017
Eva;Goldbach;1965;GRÜNE;173;Hessen;7;;;;;2017
Kai;Goldstein;1970;Die PARTEI;-1;Sachsen;10;;;;;2017
Matthias;Goliewski;1966;DM;-1;Nordrhein-Westfalen;9;;;;;2017
Jens Bruno;Golland;1966;PIRATEN;49;-1;-1;;;;;2017
Sabine;Gollombeck;1960;AfD;79;-1;-1;;;;;2017
Sonja;Gonschorek;1979;GRÜNE;-1;Thüringen;12;;;;;2017
Christel;Gontrum;1961;CDU;-1;Hessen;31;;;;;2017
Bernhard;Dr. Goodwin;1979;SPD;220;Bayern;43;;;;;2017
Detlev;Göpel;1953;V-Partei³;-1;Berlin;6;;;;;2017
Gabriele;Göpel;1950;V-Partei³;-1;Berlin;7;;;;;2017
Monika;Göpper;1967;GRÜNE;17;-1;-1;;;;;2017
Oliver;Gorden;1971;DM;-1;Niedersachsen;7;;;;;2017
Sven;Görgens;1980;FDP;143;-1;-1;;;;;2017
Katrin;Göring-Eckardt;1966;GRÜNE;193;Thüringen;1;;;;;2017
Günther;Görlich;1961;FREIE WÄHLER;219;Bayern;24;;;;;2017
Horst Günter;Görmann;1953;NPD;55;Bremen;1;;;;;2017
Thomas Axel;Gorr;1968;NPD;-1;Hessen;10;;;;;2017
Falko;Görres;1981;Die PARTEI;-1;Hessen;6;;;;;2017
Roland;Gorsleben;1961;Die PARTEI;16;-1;-1;;;;;2017
Volker;Görzel;1970;FDP;95;Nordrhein-Westfalen;40;;;;;2017
Wilhelm;von Gottberg;1940;AfD;-1;Niedersachsen;4;;;;;2017
Verena;Götte;1988;CDU;-1;Nordrhein-Westfalen;68;;;;;2017
Jörg;Gottesleben;1968;FREIE WÄHLER;-1;Thüringen;7;;;;;2017
Matthias;Gottfried;1987;Tierschutzpartei;259;Baden-Württemberg;6;;;;;2017
Tobias;Gotthardt;1977;FREIE WÄHLER;233;Bayern;25;;;;;2017
Kay;Gottschalk;1965;AfD;111;Nordrhein-Westfalen;4;;;;;2017
Johannes;Gottwald;1982;SPD;-1;Rheinland-Pfalz;17;;;;;2017
Inge Kerstin;Götze-Eismann;1955;CDU;-1;Thüringen;11;;;;;2017
Vanessa;Gotzhein;1989;BGE;-1;Bremen;4;;;;;2017
Eckard Hans Uwe;Graage;1954;CDU;22;Hamburg;6;;;;;2017
Karlheinz;Grabmann;1948;FREIE WÄHLER;183;Hessen;26;;;;;2017
Hannes Hartmut;Gräbner;1967;SPD;223;Bayern;44;;;;;2017
Rainer;Grabowski;1966;DKP;-1;Hessen;13;;;;;2017
