Wahlkreis_Nr;SVB_insgesamt;SVB_landw_fischerei;SVB_produz_gewerbe;SVB_handel_gast_verkehr;SVB_dienstleister;SVB_uebrige_dienstleister;Alter_unter_18;Alter_18_24;Alter_25_34;Alter_35_59;Alter_60_74;Alter_75_plus;ALQ_frauen;ALQ_15_24;ALQ_55_64;ALQ_insgesamt;ALQ_maenner;year
189;328.8;2.1;36.3;18.2;12.8;30.6;15.1;5;12;35.9;19.6;12.4;7;4.9;8.9;7.2;7.4;2017
190;369;2.1;38.2;18.3;13.3;28.1;15.1;4.8;11.8;36.6;18.9;12.7;6.6;6.3;8.8;6.8;7.1;2017
191;399.2;0;29.4;0;17.9;33.8;15.2;6.6;15;34.1;18.2;10.9;5.2;5.7;7.2;6;6.7;2017
192;352.3;1.6;40.3;21.4;12.3;24.4;14.6;5.3;12.4;35.8;19.6;12.3;5.9;6;7.8;6.2;6.5;2017
193;479.2;0;0;22.3;28.8;33.7;15.4;7.2;15.8;33.4;17.2;11;6;5.7;7.5;6.8;7.5;2017
194;322.9;1.9;31;21.6;14.3;31.1;13.4;4.2;10.6;35.3;21.6;14.8;7.8;8.2;9.7;8.6;9.2;2017
195;336.9;3.7;41;19;9.5;26.8;14.4;4.4;11.1;36.4;20.2;13.6;5.4;5.4;7.9;6.1;6.8;2017
196;352.8;0;0;0;12;28.9;13.6;4.7;11.6;36.4;20.4;13.3;4.3;4.8;5.7;4.7;5.1;2017
197;304.1;0.5;39.9;19.7;11.9;28;16.7;8;10.9;36.1;16.9;11.5;5.3;2.3;6.1;5.3;5.4;2017
198;285;0.9;31.8;25.2;12.2;29.8;15.8;7.6;10.8;36.5;17.4;11.9;3.6;2.1;4.6;4;4.3;2017
199;445;0.3;21.8;23.6;21.3;33;15.1;8.5;13.1;34.5;17;11.8;4.6;2.6;5;5;5.4;2017
200;337;1.2;34.3;24.3;11.3;28.8;15.7;7.4;10.7;36.4;17.7;12.2;4;1.9;5;4.1;4.3;2017
201;327.8;0.7;32;20.1;13.4;33.8;15.7;7.3;11;35.9;18;12.1;6.1;4.6;6.5;6.4;6.6;2017
202;311.6;1.3;39.3;22.1;9.3;28;16.4;7.9;11.3;36.4;16.6;11.4;3.6;1.9;4.5;3.9;4.2;2017
203;332.7;0.8;25.1;23.7;13;37.5;16.1;10;14.4;34.9;14.6;9.9;3.7;2.3;4.3;4.2;4.8;2017
204;311;0.5;39.6;21.4;14.2;24.3;16.8;7.7;11.2;37.3;16.5;10.6;3.5;1.4;4.1;3.6;3.8;2017
205;427.7;0.5;17.5;21.1;26.3;34.5;15.5;9.6;16;34.6;14.7;9.6;4.9;4.6;5.6;5.4;6;2017
206;284.1;2;30;25.7;15.9;26.4;17.3;7.8;11.4;37.7;16.4;9.5;5.1;4.3;4.9;5.2;5.3;2017
207;430.8;1.4;43.6;16;17.4;21.6;16.8;7.8;12.5;35.7;16;11.2;6.7;5.8;6.8;6.8;6.9;2017
208;300.7;2.4;23.2;23.8;17.6;33.1;15.8;7.2;10.8;36.9;17.7;11.6;4.3;3;5.1;4.7;5.1;2017
209;332.1;0;27.7;19.3;0;35.9;15.6;8.7;12.3;35.5;16.9;11;6.3;4.6;7.1;6.6;6.9;2017
210;279.9;0;31.7;23.6;0;32.7;15.1;7.5;11;35.7;17.9;12.8;6.1;4.7;7.1;6.6;7.1;2017
211;338.6;1.5;35.9;24;11.6;27;16.1;8.5;11.8;36.8;16.4;10.4;4.3;2.7;5.3;4.5;4.7;2017
212;382.5;0.9;46.9;18.3;10.4;23.5;17;8.1;11.7;36.4;16.2;10.5;3.5;2;4.6;3.9;4.3;2017
213;307.8;1.2;22;36.7;16.6;23.5;18.7;8.1;11.8;38.7;14.1;8.7;1.8;0.9;2.9;2;2.1;2017
214;393.7;0.6;28.2;38.8;14.6;17.9;17.7;8.8;13.7;37.8;13.8;8.3;2;1.5;3.1;2.2;2.3;2017
215;248.4;0.7;26.7;28.1;17.7;26.8;17.8;7.8;11.9;37.4;15.5;9.5;2.3;1.7;3.4;2.6;2.8;2017
216;508.6;0.3;47.7;15.4;18.8;17.8;17.6;8.3;14.5;36.1;14.2;9.4;2.4;1.9;3.1;2.5;2.5;2017
217;573.8;0.1;16;18.1;40.4;25.4;15.3;7.9;18.7;35.5;13.9;8.7;4.2;2.8;6.3;4.5;4.7;2017
218;575.3;0.1;16;18.1;40.4;25.4;15.3;7.9;18.7;35.5;13.9;8.7;4.2;2.8;6.3;4.5;4.7;2017
219;576.5;0.1;16;18.1;40.4;25.4;15.3;7.9;18.7;35.5;13.9;8.7;4.2;2.8;6.3;4.5;4.7;2017
220;574.4;0.1;16;18.1;40.4;25.4;15.3;7.9;18.7;35.5;13.9;8.7;4.2;2.8;6.3;4.5;4.7;2017
221;654.3;0.2;21.5;23.9;40.4;14;18.3;7.7;11.7;36.8;15.4;10.2;2.5;1;4;2.7;2.9;2017
222;364.5;0.6;30.3;24.1;14.7;30.3;17.2;8.2;12.1;36.1;16.4;10;2.7;1.7;4;3.1;3.5;2017
223;316.2;1.1;33.1;27.1;13.3;25.4;17;7.8;11.2;36.7;16.4;10.9;2.4;1.5;4.2;2.9;3.4;2017
224;323.5;0.7;30.1;22.4;20.4;26.4;17.9;7.6;10.6;36.9;16.5;10.6;2.6;1.7;4.2;2.9;3.3;2017
225;360;0.9;38.7;24.3;9.9;26.2;16.1;8.2;11.9;35;17.1;11.7;3.1;1.6;5.1;3.9;4.6;2017
226;339.4;0.7;35.1;23.7;10.4;30.1;16.7;8;11.1;35.7;17.2;11.5;2.7;1.6;4.3;3.3;3.8;2017
227;367.4;0.8;41.7;21;11.6;24.9;16.2;8.4;11.6;37.1;16.7;10;2.8;1.8;5.4;3.6;4.4;2017
228;360.4;0.9;37.6;19.2;16.8;25.5;17.2;8.4;12.5;37.3;15.2;9.3;2.9;2.2;4.2;3.2;3.5;2017
229;405.6;0.6;36.2;24;11.6;27.6;15.3;9;12.3;35.5;17.1;10.7;3.5;2.7;5.7;4.2;4.9;2017
230;411.6;1.5;51.1;18.4;12.3;16.7;16.7;8.4;12.2;36.6;15.8;10.2;2.7;1.9;4.3;3.1;3.5;2017
231;364;1.2;38.9;21.6;12.3;26;16.1;8;12;37.1;16.5;10.3;3.2;2.4;5.6;4.1;4.9;2017
232;367.9;0.4;43.7;19.1;11.8;25;16.6;8.3;11.8;37.1;15.7;10.5;2.6;1.7;4;3.1;3.5;2017
233;493;0.4;33.6;19.8;19.3;27;16.1;8.9;15;36.1;14.8;9.1;2.3;1.7;3.3;2.7;3.1;2017
234;383.7;0.8;46.3;19.6;12.6;20.7;16.1;8.1;11.9;37.1;16.2;10.5;2.5;1.9;4.8;3.5;4.3;2017
235;383;0.9;40.6;21;12.3;25.2;15.9;8.1;11.5;36.6;16.6;11.3;3.8;2.5;5.9;4.4;4.9;2017
236;404.6;0.5;37.4;20.9;14.9;26.4;16.3;8.7;13.9;36.5;15;9.8;3.1;2;4.5;3.4;3.7;2017
237;374.9;0.7;29.8;20.2;17.3;31.9;15;9.6;12.2;35.4;16.5;11.2;3.6;2.5;6;4.3;4.9;2017
238;443.1;0.5;44.5;16.6;18;20.4;14.9;7.4;11.2;36.7;17.3;12.5;3.5;2.2;5.1;3.7;3.9;2017
239;413.3;0.5;40.5;23.3;11.4;24.3;14.6;7.2;10.2;35.7;18.6;13.7;4;4.4;5.4;4.9;5.7;2017
240;341.6;0.6;41;24.1;10.4;24;15.8;7.5;10.7;37.7;16.9;11.3;3.3;2.3;5.1;3.6;3.7;2017
241;375.7;0.8;42.3;18.7;10.2;28;16.9;8.3;11.9;36.3;15.7;10.9;3.2;2;4.7;3.4;3.6;2017
242;577.3;0.2;39.7;13.3;22.7;24;16.7;8.8;14.3;35.4;15.2;9.6;2.8;2.3;4;3;3.2;2017
243;305.3;0.9;33.6;22.9;16.9;25.8;16.4;7.6;12.2;37.3;16.2;10.3;3.6;2.6;4.5;3.8;4;2017
244;590.9;0.4;20.7;23;32.8;23.1;15.4;8.6;15.7;34.5;15.2;10.6;6.1;5.7;7.3;6.3;6.5;2017
245;558.3;0.4;22;23;31.4;23.2;15.7;8.4;15.1;34.8;15.4;10.6;5.7;5.2;6.8;5.9;6.2;2017
246;309.1;0.4;40.5;22.9;10.5;25.6;16.5;7.6;10.9;37.5;16.8;10.7;2.4;1.4;3.6;2.6;2.8;2017
247;390.1;0.4;35;26.5;17.3;20.7;16;7.7;12.2;37.1;16.4;10.6;3.7;3.2;4.1;3.8;3.9;2017
248;340.2;0.8;42;18;9.3;29.9;16.3;7.7;11.1;36.4;16.9;11.6;3.1;1.6;4.8;3.3;3.5;2017
249;341.5;0.7;51.1;18.2;10.1;19.8;16.2;7.8;11;37.1;16.7;11.2;2.4;1.9;3.4;2.6;2.7;2017
250;426.3;0;42.3;21.9;0;24;16.2;8.1;12;35.8;16.4;11.4;3.4;2.1;4.1;3.6;3.7;2017
251;437;0.5;20.1;23;20.9;35.6;14.7;9.9;15;34;15.6;10.7;2.5;2.1;3.8;3;3.6;2017
252;480.3;0.1;25.8;19.9;22.3;31.9;15.2;9.3;16.2;34.1;15;10.3;5.3;4.4;6.6;5.4;5.5;2017
253;280.1;0.9;38.6;28.2;13.8;18.4;17.7;7.9;11.3;37.4;15.9;9.9;2.4;1.8;3.6;2.6;2.8;2017
254;395.1;1.3;45.8;20.8;12.2;19.9;17.6;8.3;11.9;36.8;15.3;9.9;2.2;1;3.3;2.2;2.1;2017
255;379.3;0.5;42.5;22.6;11.3;23.1;17.4;8.4;12.5;36.4;15.5;9.7;2.4;1;3.4;2.5;2.5;2017
256;395.2;0.9;34.5;27.5;15;22.1;16.4;8.1;11.8;35.5;17;11.3;2.8;1.5;4.5;3.1;3.3;2017
257;396.1;0;44.8;20.7;0;23.4;17.2;8.1;11.8;35.6;16.4;10.9;2.9;1.4;4.3;3;3.1;2017
258;649;0.1;20;15.2;37.6;27.1;15.3;8.7;18.6;34.5;13.4;9.5;4.6;2.3;5.6;5;5.2;2017
259;645.9;0.1;20;15.2;37.6;27.1;15.3;8.7;18.6;34.5;13.4;9.5;4.6;2.3;5.6;5;5.2;2017
260;463.5;0.2;41.7;17;25;16.2;17.8;7.6;12.8;36.3;15.2;10.2;3.1;1.3;3.9;3.1;3.2;2017
261;399.6;0.4;40.3;21.8;18.7;18.9;17.1;8;12.9;36.1;15.1;10.8;3.4;1.7;4.2;3.5;3.7;2017
262;403.9;0.4;40.4;21.5;19.1;18.7;17;8.1;12.3;36.7;15.7;10.2;3.3;1.6;4.2;3.5;3.7;2017
263;344.3;0.2;41.7;19.6;16.5;21.9;16.9;8;11.7;36;16.2;11.1;4;1.8;4.5;3.9;3.8;2017
264;345.7;0.5;39.5;20.5;16.2;23.3;17.1;7.9;11.8;36.5;15.8;10.9;3.2;1.4;4.1;3.4;3.7;2017
265;370.2;0.7;36.8;23.4;19.2;19.8;17.5;7.7;13.4;36.4;15;10.1;3.5;2;4.4;3.5;3.5;2017
266;378.3;0.7;40.6;21.8;18.3;18.5;17.5;7.8;12;37.3;15.6;9.8;3.5;1.7;4.4;3.5;3.5;2017
267;462.8;0.5;37.8;21.2;19.9;20.6;17.4;8.4;13.1;36.1;15;10;4.1;1.9;5;4.2;4.2;2017
268;445.8;0.7;46;22.3;13.2;17.7;17.7;8.4;12.6;36.3;15.2;9.8;3.1;1.4;4.5;3.1;3.1;2017
269;371.1;0.5;43.8;18.1;13.8;23.8;17.2;8.4;11.6;36.2;16;10.6;3.2;1.1;4.3;3.3;3.4;2017
270;389.7;0.4;46.8;17.1;13.4;22.4;17.6;8.4;12;35.4;15.6;11;4;1.4;5.2;4.1;4.1;2017
271;577.7;0.1;15.6;21.7;35;27.6;14.6;10.8;17.5;33.5;13.8;9.8;4.5;3;5.6;4.7;4.9;2017
272;342.5;0.4;36.3;20.8;23.1;19.4;16.5;7.6;11.2;36.9;16.8;11;3.1;1.7;4;3.3;3.4;2017
273;423.6;0.5;45.9;18.3;15.6;19.7;16;7.5;11.4;36.5;16.9;11.7;3.5;1.7;4.7;3.5;3.5;2017
274;440.2;0.2;21;17.6;25.5;35.7;15.1;10.4;16.1;33.7;14.8;9.9;3.8;2;5.3;4.3;4.8;2017
275;610.5;0.2;28.1;22.4;27.2;22.1;15.4;10;16.5;34.3;14.3;9.6;5.5;1.7;6.8;5.7;5.9;2017
276;361.8;0.6;44.6;17.3;10.5;27;16.4;8.1;11.3;36.2;16.7;11.2;3.5;1.8;4.9;3.6;3.7;2017
277;306.4;0.4;29.1;22.2;26.3;22;17.2;8;11.6;36.9;16.1;10.1;3.8;2.1;5.1;4.1;4.4;2017
278;327.9;0.4;33.5;21.4;24.3;20.4;16.7;7.6;12.3;37.2;16;10.2;3.4;1.8;4.5;3.6;3.8;2017
279;369;0.2;42.8;21.4;14.4;21.2;17.3;8.4;12.3;35.5;15.7;10.8;4.2;2;4.1;4.3;4.4;2017
280;334;0.4;40.7;23.1;10.3;25.5;17.5;8.3;11.4;36.4;15.8;10.7;3.4;1.3;4.6;3.4;3.5;2017
281;473.2;0.3;17.5;23.2;18.4;40.5;16.4;10.9;16.9;33.3;13.7;8.8;4.1;1.6;5.3;4.8;5.4;2017
282;335;0.8;38.2;25;12.7;23.3;17.5;7.9;11.8;36.3;15.7;10.7;2.9;1.2;3.7;3.3;3.7;2017
283;356.8;0.6;41.8;21;11.6;24.9;17.7;8;11.7;36.5;15.7;10.4;3.2;1;4;3.2;3.3;2017
284;412.4;0.5;39.3;22.9;12.7;24.6;17.1;8;11.8;36;16.2;11;3.6;1.1;4.4;3.5;3.4;2017
285;430.5;0.2;57.7;15.5;9.3;17.2;18.1;8.1;12;35.6;15.3;10.8;2.9;1.2;3.2;2.9;2.8;2017
286;407.4;0.2;43.6;19.5;12.8;23.9;16.8;8.2;12.2;34.7;16.3;11.8;3.3;1.8;4.1;3.4;3.5;2017
287;355.5;0.9;28;25.6;16.9;28.6;16.4;9.9;12.7;34.6;15.5;10.8;3.3;1.6;4.3;3.7;4.1;2017
288;317.1;0.7;37.1;26.6;10.7;24.8;17.8;8;11.5;35.5;16.3;11;2.7;1.3;3.7;3.4;4;2017
289;394.7;0.5;40;18.7;16.8;24;17.2;8.4;12.3;36.1;15.3;10.8;3.4;1.8;3.9;3.7;4;2017
290;350.3;0.2;30.7;18.1;13;37.9;17;10.8;14.5;34.6;14.1;9;2.7;1.3;3.5;3.1;3.5;2017
291;464.1;0.4;31.6;22.4;20.8;24.7;17.6;9.1;13.7;35.2;14.6;9.7;3.1;1.5;4.4;3.3;3.6;2017
292;414.5;0.7;52.5;16.2;10.7;19.8;18.9;8.5;12.3;36.3;14.6;9.5;2.4;1.2;3;2.6;2.7;2017
293;417;0.9;45.1;18.1;12.4;23.4;16.9;8;11.7;35.7;16.9;10.8;3.1;0.9;4;3.1;3.1;2017
294;404.5;0.7;36.3;19.7;14.7;28.7;17.8;8.8;12.5;35.7;15.3;9.8;2.6;0.9;3.4;3;3.4;2017
295;357.6;0.6;46.1;20.4;9.3;23.4;17.1;8.7;11.8;35.4;15.7;11.3;3.4;1;4.2;3.4;3.4;2017
296;459.7;0.1;24.7;19.7;25.6;29.8;14.4;8.5;13.7;34.4;17.5;11.5;8.5;6.2;8.3;9.4;10.2;2017
297;330.4;0.4;37.4;23.8;13.8;24.6;14.9;7.4;11.3;36.6;17.8;12;4.9;2.5;5.5;5.5;6;2017
298;317;0.3;35;20.5;14.4;29.9;14;7.2;10.8;36.9;18.4;12.6;5.6;4;5.9;6.1;6.5;2017
299;412.8;0.2;36.1;19.6;16.3;27.8;14.1;7.7;11.2;35.8;18.2;12.9;6.3;4.6;6.9;6.9;7.4;2017
