nachname;vorname;geburtsjahr;partei;wahlkreis;bundesland;landeslistePlatz;jahr
Greb;Eva-Luise;1989;SPD;;Rheinland-Pfalz;;2017
Greim;Oswald;1954;DIE LINKE;240;;;2017
Grein;Maria;1985;MLPD;;Rheinland-Pfalz;;2017
Gremmels;Timon;1976;SPD;168;Hessen;21;2017
Gremminger;Wolfgang Peter;1964;AfD;;Baden-Württemberg;;2017
Grenda;Frank Bodo;1967;PIRATEN;;Nordrhein-Westfalen;;2017
Grewers;Edna Gwendolyn Daphne;1995;Die PARTEI;;Hessen;;2017
Grey;Thomas;1975;NPD;;Sachsen-Anhalt;;2017
Grieger;Arno;1946;DKP;;Hessen;;2017
Gries;Hildegard;1950;CDU;;Saarland;;2017
Griesbaum;Joachim Robert Maria;1955;MLPD;;Hamburg;;2017
Griese;Kerstin;1966;SPD;105;Nordrhein-Westfalen;4;2017
Griewel;Fabian;1997;FDP;146;;;2017
Dr. Grimm;Benjamin Herbert;1984;SPD;58;Brandenburg;6;2017
Grimm;Christoph Herbert Walter;1957;AfD;13;Mecklenburg-Vorpommern;6;2017
Grimm;Andreas;1972;DKP;;Baden-Württemberg;;2017
Grimm;Belinda;1975;V-Partei³;;Berlin;;2017
Grimm;Ulrike Eleonore;1962;CSU;;Bayern;;2017
Grimmenstein-Balas;Marianne;1946;DiB;;Nordrhein-Westfalen;;2017
Grobert;Rhavin;1975;Die PARTEI;78;;;2017
Groden-Kranich;Ursula;1965;CDU;205;Rheinland-Pfalz;11;2017
Gröhe;Hermann;1961;CDU;108;Nordrhein-Westfalen;1;2017
Gröhler;Klaus-Dieter;1966;CDU;80;;;2017
Groll;Erna-Kathrein;1959;GRÜNE;256;Bayern;46;2017
Gröninger;Theresa Annalena;1993;CDU;;Bremen;;2017
Gros;Christian Philipp;1986;PIRATEN;;Saarland;;2017
Grosch;Katja;1970;FDP;194;Thüringen;10;2017
Groß;Michael Peter;1956;SPD;122;Nordrhein-Westfalen;39;2017
Groß;Reinhold;1961;DM;;Baden-Württemberg;;2017
Groß;Evelin Susanne;1958;CDU;;Thüringen;;2017
Groß;Arno;1950;AfD;185;;;2017
Große;Steffen;1967;FREIE WÄHLER;157;Sachsen;1;2017
Grosse-Brömer;Michael;1960;CDU;36;Niedersachsen;2;2017
Großklaus;Norbert;1959;GRÜNE;284;Baden-Württemberg;24;2017
Großkopf;Tristan;1999;MLPD;;Berlin;;2017
Dr. Großkurth;Gerhard Friedrich;1961;AfD;255;;;2017
Großöhmigen;Holger;1961;NPD;71;;;2017
Grote;André;1968;FDP;30;Niedersachsen;22;2017
Grotelüschen;Astrid Katharina Josefine;1964;CDU;28;Niedersachsen;10;2017
Groth;Klaus;1949;MLPD;;Berlin;;2017
Grötsch;Hans Martin;1979;FREIE WÄHLER;239;Bayern;15;2017
Grötsch;Uli;1975;SPD;235;Bayern;11;2017
Grötzsch;Stefan;1986;Die PARTEI;;Hessen;;2017
Grübel;Markus;1959;CDU;261;;;2017
Gruber;Thomas;1980;CDU;;Baden-Württemberg;;2017
Gruber;Andreas Friedrich;1946;BP;;Bayern;;2017
Gruber;Thomas;1966;AfD;;Baden-Württemberg;;2017
Grugelke;Claus;1956;AfD;48;;;2017
Grühl;Hedwig Ursula;1947;Tierschutzallianz;;Sachsen-Anhalt;;2017
Gruhn;Rosemarie;1958;SPD;;Saarland;;2017
Gruler;Barbara;1970;CDU;;Baden-Württemberg;;2017
Dr. Grumbach;Hans-Joachim;1967;FREIE WÄHLER;;Nordrhein-Westfalen;;2017
Grund;Manfred;1955;CDU;189;Thüringen;1;2017
Grundl;Erhard;1963;GRÜNE;231;Bayern;8;2017
Gründler;Birgitta;1961;BüSo;160;Sachsen;3;2017
Gründler;Michael;1958;BüSo;159;Sachsen;2;2017
Grundmann;Oliver Klaus;1971;CDU;30;Niedersachsen;21;2017
Gruner;Michael;1976;EB: Gruner 191; 191;;;2017
Grunert;Matthias;1979;SPD;;Brandenburg;;2017
Grünewald;Axel;1981;Die PARTEI;;Sachsen-Anhalt;;2017
Grüning;Rolf;1959;DIE LINKE;276;;;2017
Grunwald;Roja Katharina Maja;1982;Die Humanisten;;Nordrhein-Westfalen;;2017
Grünwald;Werner;1954;DKP;59;;;2017
Grupe;Alexander;1978;Die PARTEI;19;Hamburg;1;2017
Grupp;Heiko;1949;MLPD;110;;;2017
Grüß;Sebastian;1987;Die PARTEI;;Bremen;;2017
Grütte;Antje;1962;MLPD;;Brandenburg;;2017
Grütters;Monika;1962;CDU;85;Berlin;1;2017
Guderjahn;Marcel;1981;MG;69;;;2017
Dr. Gund;Madline;1987;CDU;;Baden-Württemberg;;2017
Dr. Gundelach;Herlind;1949;CDU;23;Hamburg;5;2017
Gundlach;Lutz Horst Uwe;1959;Die PARTEI;;Thüringen;;2017
Günther;Helmut;1952;FREIE WÄHLER;;Thüringen;;2017
Günther;Carsten;1966;AfD;192;;;2017
Günther;Johannes Erich Tino;1962;FDP;164;;;2017
Güntzler;Fritz;1966;CDU;53;Niedersachsen;9;2017
Gürcan;Ayse Nur;1990;ADD;;Nordrhein-Westfalen;;2017
Gürpinar;Ates;1984;DIE LINKE;217;;;2017
Gürtas-Yildirim;Cihane;1980;DIE LINKE;50;;;2017
Gürtler;Alexander;1965;Die PARTEI;179;Hessen;15;2017
Gürtler;Thomas;1989;NPD;;Brandenburg;;2017
Gürtler;Cara;1998;Die PARTEI;;Hessen;;2017
Gutbrod;Thomas;1969;Die PARTEI;;Bayern;;2017
Gutlederer;Karl Georg;1947;DM;;Baden-Württemberg;;2017
Guttau;Michel;1992;Die PARTEI;;Schleswig-Holstein;;2017
Gütte;Hans-Jörg;1953;V-Partei³;;Nordrhein-Westfalen;;2017
Gutting;Olav;1970;CDU;278;;;2017
Guzy;Joachim;1958;FREIE WÄHLER;;Sachsen;;2017
Dr. Gysi;Gregor;1948;DIE LINKE;84;;;2017
Haag;Roman;1985;V-Partei³;;Baden-Württemberg;;2017
Haag;Julia;1984;V-Partei³;;Baden-Württemberg;;2017
Haardt;Christian;1965;CDU;140;Nordrhein-Westfalen;37;2017
Haas;Klaus;1954;DKP;;Baden-Württemberg;;2017
Haas;Heide;1987;Die PARTEI;;Niedersachsen;;2017
Haas;Christian Andreas;1967;PIRATEN;;Bayern;;2017
Dr. Haase;Martin;1962;PIRATEN;;Berlin;;2017
Haase;Michael Werner;1961;DiB;;Bayern;;2017
Haase;Christian;1966;CDU;136;;;2017
Habel;Peter Markus;1963;FDP;299;Saarland;4;2017
Habel;Anna-Lena;1983;CDU;;Hessen;;2017
Habel;Anita;1989;BGE;;Sachsen;;2017
Haberland;Thomas;1970;NPD;;Brandenburg;;2017
Häberle;Axel;1956;CDU;;Baden-Württemberg;;2017
Haberle;John;1970;GRÜNE;150;;;2017
Hachmann;Christian;1984;PIRATEN;;Hessen;;2017
Hacker;Thomas;1967;FDP;237;Bayern;10;2017
Hacker;Hildegard;1953;ÖDP;;Nordrhein-Westfalen;;2017
Hadizadeh Kharazi;Rhaffi;1974;B*;;Berlin;;2017
Hadjimohamadvali;Laleh;1972;AfD;;Saarland;;2017
Haenschke;Gustav Walter;1948;NPD;69;Sachsen-Anhalt;2;2017
Haffner;Beate;1955;FREIE WÄHLER;;Baden-Württemberg;;2017
Haffner;Dominik;1983;Die PARTEI;96;;;2017
Hagedorn;Bettina;1955;SPD;9;Schleswig-Holstein;1;2017
Hagemann;Lasse;1996;Die PARTEI;;Niedersachsen;;2017
Hagemeister;Nicola Claudia;1992;FDP;137;Nordrhein-Westfalen;36;2017
Häger;Iris;1971;FREIE WÄHLER;123;;;2017
Haggenmüller;Pascal;1988;GRÜNE;272;;;2017
Hagl-Kehl;Rita;1970;SPD;227;Bayern;16;2017
Hahl;Peter Bernd;1943;BGE;;Nordrhein-Westfalen;;2017
Hahn;Leander;1996;ÖDP;201;Rheinland-Pfalz;13;2017
Hahn;Leon;1991;SPD;293;Baden-Württemberg;28;2017
Dr. Hahn;André;1963;DIE LINKE;158;Sachsen;2;2017
Hahn;Florian Peter;1974;CSU;221;Bayern;37;2017
Hähnlein;René Jens;1971;DIE LINKE;238;;;2017
Hajduk;Anja Margarete Helene;1963;GRÜNE;21;Hamburg;1;2017
Hajek;Rainer;1945;CDU;;Niedersachsen;;2017
Hakverdi;Metin;1969;SPD;23;Hamburg;8;2017
Halbritter;Martin;1987;MLPD;281;;;2017
Halding-Hoppenheit;Laura;1942;DIE LINKE;285;;;2017
Halfmann;Volker;1966;ÖDP;;Bayern;;2017
Halili;Gabriele;1963;DIE LINKE;88;Nordrhein-Westfalen;15;2017
Haliti;Marcel;1983;NPD;;Nordrhein-Westfalen;;2017
Hall;Alexandra;1966;V-Partei³;;Niedersachsen;;2017
Haltaufderheide;Karen;1960;GRÜNE;138;Nordrhein-Westfalen;38;2017
Hamacher;Kai;1974;PIRATEN;63;;;2017
Hamann;David;1981;Die PARTEI;;Berlin;;2017
Dr. Hammerl;Tobias;1977;SPD;233;Bayern;33;2017
Hammerschmidt;Andreas;1987;SPD;;Niedersachsen;;2017
Hammitzsch;Gerhard;1958;FREIE WÄHLER;;Baden-Württemberg;;2017
Hampel;Armin-Paulus;1957;AfD;46;Niedersachsen;1;2017
Hampel;Ulrich;1964;SPD;127;Nordrhein-Westfalen;19;2017
Händelkes;Melanie;1977;NPD;;Nordrhein-Westfalen;;2017
Hander;Reiner;1963;BP;;Bayern;;2017
Handt;Andreas;1979;AfD;144;;;2017
Hane-Knoll;Beate;1961;DIE LINKE;101;;;2017
Dr. Hanel;Johannes;1958;BGE;;Thüringen;;2017
Hanf;Martina;1967;ÖDP;;Thüringen;;2017
Hanf;Thomas;1969;ÖDP;193;;;2017
Hangs;Christian;1995;MLPD;;Baden-Württemberg;;2017
Hanisch;Marcus;1990;Die PARTEI;;Berlin;;2017
Hanke;Reginald;1956;FDP;195;Thüringen;3;2017
Hanke;Martina;1958;V-Partei³;;Sachsen;;2017
Hanker;Mirco Karsten;1966;AfD;50;Niedersachsen;20;2017
Hänling;Ruth;1962;CDU;;Rheinland-Pfalz;;2017
Hanna;Nathalie;1989;DM;;Hessen;;2017
Hannemann;Lars;1978;Die PARTEI;272;;;2017
Hans;Volker;1954;FDP;;Rheinland-Pfalz;;2017
Hänsel;Heike;1966;DIE LINKE;290;Baden-Württemberg;2;2017
Hansel;Frank-Christian;1964;AfD;82;;;2017
Hansen;Florian;1989;V-Partei³;;Bremen;;2017
Hansen;Frank;1970;AfD;1;;;2017
Hanson;Cheyenne Charlotte;1998;V-Partei³;;Bayern;;2017
Hantke;Stefanie;1981;FDP;;Thüringen;;2017
Hantusch;Thassilo;1993;NPD;173;Hessen;3;2017
Hantusch;Thomas;1966;NPD;172;;;2017
Happe;Helmut;1965;DM;;Baden-Württemberg;;2017
Harapat;Dominic;1983;Die PARTEI;172;Hessen;25;2017
Dr. Harbarth;Stephan;1971;CDU;277;;;2017
Harder-Kühnel;Mariana Iris;1974;AfD;175;Hessen;1;2017
Hardt;Jürgen;1963;CDU;103;Nordrhein-Westfalen;22;2017
Härig-Dickersbach;Beate;1957;AfD;202;;;2017
Harle;Konrad;1958;V-Partei³;;Bayern;;2017
von Harlessem;Joachim;1958;V-Partei³;;Rheinland-Pfalz;;2017
Harling;Katharina;1985;Die PARTEI;;Berlin;;2017
Harm;Olaf;1961;DKP;;Hamburg;;2017
Harms;Daniel;1981;Die PARTEI;;Hamburg;;2017
Harrach;Tibor;1964;GRÜNE;;Berlin;;2017
Harter;Karl-Friedrich;1965;Gesundheitsforschung;;Nordrhein-Westfalen;;2017
Hartewig;Philipp;1994;FDP;161;Sachsen;4;2017
Härtl;Markus Erwin;1973;BGE;;Bayern;;2017
Hartle;Andreas Albrecht;1939;DKP;;Niedersachsen;;2017
Hartmann;Sebastian;1977;SPD;97;Nordrhein-Westfalen;15;2017
Hartmann;Verena;1974;AfD;;Sachsen;;2017
Hartmann;Harald Günter;1952;MG;;Sachsen-Anhalt;;2017
Hartmann;Alexander;1961;BüSo;;Hessen;;2017
Hartmann;Peter;1980;BGE;;Sachsen;;2017
Hartnick;René;1971;BGE;;Thüringen;;2017
Hartung;Stefan;1989;NPD;;Sachsen;;2017
Hartung;Gunhild Doris;1954;DKP;;Bayern;;2017
Hartung;Roland;1961;PIRATEN;;Rheinland-Pfalz;;2017
Hartweg;Heinz;1971;ÖDP;;Hessen;;2017
Dr. Hartwig;Roland;1954;AfD;100;Nordrhein-Westfalen;14;2017
Harzer;Steffen Martin;1960;DIE LINKE;196;Thüringen;6;2017
Harzmann;Florian Werner;1973;V-Partei³;;Bayern;;2017
Haschke;Mathias;1982;Die PARTEI;153;;;2017
Hasel;Thomas;1969;EB: Hasel 83; 83;;;2017
Hasenjäger;Agnes Elisabeth;1950;DIE LINKE;35;;;2017
Hass;Helen;1955;DiB;;Baden-Württemberg;;2017
Hasse;Malte;1972;Die PARTEI;;Berlin;;2017
Hassel;Jens;1975;FREIE WÄHLER;184;Hessen;38;2017
Hassel;Dagmar;1958;CDU;;Rheinland-Pfalz;;2017
Dr. Haßelberg-Weyandt;Wilfried;1951;ÖDP;;Sachsen;;2017
Haßelmann;Britta;1961;GRÜNE;132;Nordrhein-Westfalen;1;2017
Hasso;Djengizkhan;1961;CDU;;Berlin;;2017
Haube;Stephan;1966;DM;;Berlin;;2017
Hauber;Wolfgang;1959;FREIE WÄHLER;246;Bayern;29;2017
Hauck;Marc René;1978;FDP;;Rheinland-Pfalz;;2017
Hauer;Matthias;1977;CDU;120;Nordrhein-Westfalen;13;2017
Hauer;Heidi;1963;ÖDP;;Rheinland-Pfalz;;2017
Haug;Jochen;1973;AfD;94;Nordrhein-Westfalen;2;2017
Haugg;Friedrich Maximilian Franz;1969;FDP;223;Bayern;18;2017
Hauner;Philipp;1984;BGE;;Bayern;;2017
Haupt;Niklas;1986;DIE LINKE;243;;;2017
Hauptmann;Mark;1984;CDU;196;;;2017
Hauptmann;Rafael;1989;AfD;254;;;2017
Hauschild;Sebastian Walter;1981;V-Partei³;;Sachsen;;2017
Hauser;Patricia;1972;V-Partei³;;Niedersachsen;;2017
Haußdörfer;Ellen;1980;SPD;;Berlin;;2017
Havekost;Frauke Andrea;1968;GRÜNE;;Brandenburg;;2017
Haydt;Claudia;1966;DIE LINKE;293;Baden-Württemberg;7;2017
Hebner;Martin;1959;AfD;224;Bayern;1;2017
Hecht;Christian;1971;AfD;;Sachsen-Anhalt;;2017
Dr. Heck;Stefan;1982;CDU;171;Hessen;7;2017
Heck;Bernhard;1962;EB: Heck 205; 205;;;2017
Heger;Eva-Maria;1958;ÖDP;;Baden-Württemberg;;2017
Heger;Klaus;1955;AfD;149;;;2017
Hegewald;Reinhard;1964;CDU;24;Niedersachsen;15;2017
Hehl;Thorsten;1986;FDP;204;Rheinland-Pfalz;12;2017
Heib;Marilyn;1978;DIE LINKE;297;Saarland;3;2017
Dr. Heide;Manuel;1955;CDU;;Berlin;;2017
Heidenblut;Dirk;1961;SPD;119;Nordrhein-Westfalen;57;2017
Heidenreich;Ernesto Jospeh;1998;MLPD;;Nordrhein-Westfalen;;2017
Heidenreich;Ralph;1957;DIE LINKE;292;;;2017
Dr. Heider;Matthias;1966;CDU;149;Nordrhein-Westfalen;45;2017
Heider;Stephan;1966;ÖDP;;Baden-Württemberg;;2017
Heidl;Thomas;1971;V-Partei³;;Berlin;;2017
Heidl;Stefanie;1978;V-Partei³;;Berlin;;2017
Heidrich;Annette Mathilde;1967;SPD;212;Bayern;30;2017
Heidt;Peter;1965;FDP;177;Hessen;7;2017
Heil;Hubertus;1972;SPD;45;Niedersachsen;5;2017
Heil;Mechthild;1961;CDU;198;Rheinland-Pfalz;5;2017
Heilig;Martin;1975;GRÜNE;251;Bayern;20;2017
Heilmann;Thomas;1964;CDU;79;Berlin;4;2017
Heilmann;Christian;1965;GRÜNE;227;Bayern;47;2017
Heilrath;Peter;1969;GRÜNE;219;Bayern;21;2017
Heim;Elmar Lorenz;1952;DIE LINKE;255;;;2017
Heimbeck;Jörg;1969;FDP;;Bayern;;2017
Heine;Andreas Peter;1955;DKP;;Hessen;;2017
Heine;Tilmann;1971;BGE;;Niedersachsen;;2017
Heinen;Alexandra;1971;CDU;;Saarland;;2017
Heinen;Jürgen;1961;GRÜNE;111;;;2017
Heinkele;Julian;1990;Die PARTEI;258;Baden-Württemberg;7;2017
Heinle;Paul;1964;FREIE WÄHLER;;Bayern;;2017
Heinrich;Gabriela;1963;SPD;244;Bayern;18;2017
Heinrich;Frank;1964;CDU;162;Sachsen;9;2017
Heinrich;Ronald Achim;1976;BGE;;Bayern;;2017
Heinrichs;Felix Wolfgang;1989;SPD;;Nordrhein-Westfalen;;2017
Heintze;Stephan;1977;FREIE WÄHLER;112;Nordrhein-Westfalen;4;2017
Heise;Thorsten;1969;NPD;;Thüringen;;2017
Heitmann;Sonja;1974;V-Partei³;;Nordrhein-Westfalen;;2017
Helbig;Kaja;1967;V-Partei³;;Baden-Württemberg;;2017
Helbing;Steffen;1970;CDU;;Berlin;;2017
Helbing;Peter;1960;SPD;;Nordrhein-Westfalen;;2017
Held;Marcus;1977;SPD;206;Rheinland-Pfalz;4;2017
Held;Jörg;1969;EB: Held 164; 164;;;2017
Helferich;Matthias;1988;AfD;143;;;2017
Helfrich;Mark;1978;CDU;3;Schleswig-Holstein;7;2017
Helgath;Gisela;1959;GRÜNE;235;Bayern;40;2017
Helge;Ingo Rüdiger;1976;NPD;;Hessen;;2017
Helle;Robert;1998;DIE LINKE;146;;;2017
Helling-Plahr;Katrin;1986;FDP;138;Nordrhein-Westfalen;17;2017
Hellmann;Tilo;1983;DIE LINKE;155;Sachsen;10;2017
Hellmich;Wolfgang;1958;SPD;146;Nordrhein-Westfalen;3;2017
Hellmuth;Boris;1979;V-Partei³;;Baden-Württemberg;;2017
Helvaci-Menge;Sylvia Ilona Inge;1962;Tierschutzpartei;;Bayern;;2017
Hemmelgarn;Udo Theodor;1959;AfD;131;Nordrhein-Westfalen;8;2017
Hencker;Philipp;1990;Die PARTEI;;Sachsen;;2017
Dr. Hendricks;Barbara;1952;SPD;112;Nordrhein-Westfalen;2;2017
Hendricks;Knud;1980;SPD;;Niedersachsen;;2017
Henfling;Madeleine;1983;GRÜNE;;Thüringen;;2017
Henke;Rudolf;1954;CDU;87;Nordrhein-Westfalen;30;2017
Henke;Christina;1984;CDU;;Berlin;;2017
Henkel;Sandra;1990;SPD;;Saarland;;2017
Henkel;Frank;1963;CDU;75;;;2017
Henkelmann;Sevim;1964;MENSCHLICHE WELT;;Berlin;;2017
Henneberg;Ralf;1964;Tierschutzallianz;;Baden-Württemberg;;2017
Hennig;Martin;1970;BüSo;217;Bayern;7;2017
Hennig;Sebastian;1988;Die PARTEI;;Sachsen;;2017
Hennig;Mario;1966;SPD;;Sachsen-Anhalt;;2017
Hennig;Philipp Herbert Axel;1986;Die PARTEI;;Brandenburg;;2017
Henning;Nicole Kathrin;1981;V-Partei³;;Thüringen;;2017
Hennrich;Michael;1965;CDU;262;;;2017
Henrichmann;Marc;1976;CDU;127;;;2017
Henseler;Ursula Marianne;1959;CSU;;Bayern;;2017
Hentz-Döring;Cornelia Elisabeth;1961;SPD;;Hessen;;2017
Henze;Ralf;1962;FDP;84;Berlin;8;2017
Henze;Eyk;1981;BGE;;Sachsen;;2017
Dr. Herbert;Ernst Albert;1952;MLPD;101;Nordrhein-Westfalen;28;2017
Herbert;Michael;1956;BP;250;;;2017
Herbrand;Markus;1971;FDP;92;Nordrhein-Westfalen;11;2017
Herbst;Torsten;1973;FDP;156;Sachsen;1;2017
Herdan;Marion;1958;CDU;;Schleswig-Holstein;;2017
Herden;Andreas;1967;GRÜNE;225;Bayern;37;2017
Herdt;Waldemar;1962;AfD;38;Niedersachsen;7;2017
Herfort;Sarah Ellen;1981;Die PARTEI;;Niedersachsen;;2017
Dr. von Herget;Harald;1963;FREIE WÄHLER;224;Bayern;42;2017
Dr. Hermann;Lutz;1963;FDP;280;Baden-Württemberg;36;2017
Hermann;Harald;1959;PIRATEN;259;;;2017
Hermann-Lersch;Gabriele;1956;CDU;;Rheinland-Pfalz;;2017
Herms;Wolfgang Uwe Werner;1951;BGE;;Hessen;;2017
Herold;Volker;1971;GRÜNE;155;;;2017
Herr;Jürgen Willi;1958;ÖDP;;Nordrhein-Westfalen;;2017
Herrlinger;Siegmar;1952;MLPD;266;;;2017
Herrmann;Frank;1961;PIRATEN;105;Nordrhein-Westfalen;14;2017
Herrmann;Klaus;1960;AfD;177;Hessen;8;2017
Herrmann;Lukas;1997;Die PARTEI;95;Nordrhein-Westfalen;23;2017
Herrmann;Klaus Lars;1977;AfD;154;Sachsen;10;2017
Herrmann;Friedrich;1944;FREIE WÄHLER;186;Hessen;30;2017
Herrmann;Clemens;1998;FREIE WÄHLER;76;Berlin;3;2017
Herrmann;Joachim Franz Johannes;1956;CSU;;Bayern;;2017
Hertel;Frank;1971;DIE LINKE;248;;;2017
Dr. Herzberger-Fofana;Pierrette Gabrielle;1949;GRÜNE;;Bayern;;2017
Herzog;Gustav;1958;SPD;209;Rheinland-Pfalz;2;2017
Herzog;Steffen;1975;NPD;;Thüringen;;2017
Hess;Martin Alexander;1971;AfD;265;Baden-Württemberg;7;2017
Heß;Petra;1959;SPD;192;Thüringen;4;2017
Hess;Willi Siegfried;1951;ÖDP;;Mecklenburg-Vorpommern;;2017
Heß;Dieter;1965;BGE;;Baden-Württemberg;;2017
Heß;Bernhard Ernst;1946;DKP;;Hessen;;2017
Hessel;Katja;1972;FDP;244;Bayern;3;2017
Prof. Dr. Heßenkemper;Heiko;1956;AfD;161;Sachsen;6;2017
Heufken-Jaekel;Meinolf;1955;BGE;;Nordrhein-Westfalen;;2017
Heuschkel;Björn;1985;V-Partei³;;Thüringen;;2017
Heut;Ingrid Christine Maria;1989;CSU;;Bayern;;2017
van Heuvel;Susanne;1962;V-Partei³;;Hamburg;;2017
Heveling;Ansgar;1972;CDU;110;;;2017
Hexgen;Holger Heinz;1972;AfD;109;;;2017
Hey;Petra;1970;SPD;;Brandenburg;;2017
Heyer-Stuffer;Till-Christian;1959;GRÜNE;60;;;2017
Hierl-Schulze;Heidi Michaela;1959;Tierschutzpartei;;Bayern;;2017
Hießerich-Peter;Angelika;1964;FDP;;Saarland;;2017
Hilbert;Marvin;1994;Die PARTEI;;Berlin;;2017
Hildebrandt;Matthias;1983;Die PARTEI;;Schleswig-Holstein;;2017
Hildner;Karolin;1987;ÖDP;250;;;2017
Hill;Hans-Kurt;1950;DIE LINKE;;Saarland;;2017
Hill;Alexander;1996;Die PARTEI;;Brandenburg;;2017
Hille;Yvonne;1982;CDU;;Niedersachsen;;2017
Hillebrand;Raphael;1982;du.;;Berlin;;2017
Hillebrecht;Pierre;1983;AfD;53;;;2017
Dr. Hillen;Sonja;1983;SPD;;Niedersachsen;;2017
Hiller-Ohm;Gabriele;1953;SPD;11;Schleswig-Holstein;5;2017
Hilse;Karsten;1964;AfD;156;Sachsen;8;2017
Dr. Hilz;Hauke;1977;FDP;55;Bremen;2;2017
Hinck;Uwe;1967;FREIE WÄHLER;;Bremen;;2017
Hinsch;Mirjam;1972;V-Partei³;;Niedersachsen;;2017
Hintermayr;Frederik;1992;DIE LINKE;252;Bayern;10;2017
Hintner;Thomas Johann;1960;Die PARTEI;;Hessen;;2017
Hintzsche;Hinrich Hans Ernst;1953;Die PARTEI;;Niedersachsen;;2017
Hinze;Sina Marie;1994;FREIE WÄHLER;;Hessen;;2017
Hinze;Stephan;1987;Die PARTEI;;Thüringen;;2017
Hinze;Sören Tobias;1992;Die PARTEI;159;;;2017
Hirkow;Monika;1943;NPD;;Thüringen;;2017
Hirsch;Carl Christian;1985;CDU;;Baden-Württemberg;;2017
Hirschbach;Malte;1992;Die PARTEI;72;Sachsen-Anhalt;12;2017
Hirschel;Anja;1982;PIRATEN;291;Baden-Württemberg;1;2017
Hirschel;Falk-Peter;1967;PIRATEN;;Baden-Württemberg;;2017
Hirsch-Sternberg;Susanne;1968;EB: Hirsch-Sternberg 34; 34;;;2017
Hirt;Wolfram;1962;AfD;289;Baden-Württemberg;16;2017
Prof. Dr. Hirte;Heribert;1958;CDU;94;Nordrhein-Westfalen;54;2017
Hirte;Christian;1976;CDU;190;Thüringen;4;2017
Hiß-Petrowitz;Sylvia;1962;ÖDP;293;;;2017
Hitschler;Thomas;1982;SPD;211;Rheinland-Pfalz;6;2017
Hobeck;Wolfgang;1950;DM;;Berlin;;2017
Höchst;Nicole;1970;AfD;201;Rheinland-Pfalz;4;2017
Hochstein;Stephan;1983;BüSo;162;;;2017
Hock;Georg Josef;1950;AfD;240;Bayern;27;2017
Dr. Hocker;Gero Clemens;1975;FDP;34;Niedersachsen;4;2017
Höcker;Annegret;1954;MLPD;;Berlin;;2017
Hofer;Frank;1970;EB: Hofer 19; 19;;;2017
Höferlin;Manuel;1973;FDP;206;Rheinland-Pfalz;1;2017
Hoffacker;Marcel;1976;DM;;Nordrhein-Westfalen;;2017
Dr. Hoffmann;Christoph;1957;FDP;282;Baden-Württemberg;10;2017
Hoffmann;Jonas;1985;SPD;282;Baden-Württemberg;37;2017
Dr. Hoffmann;Bettina;1960;GRÜNE;170;Hessen;5;2017
Hoffmann;Reimond;1987;AfD;285;Baden-Württemberg;25;2017
Hoffmann;Thorsten;1961;CDU;142;Nordrhein-Westfalen;51;2017
Hoffmann;Elisabeth Dorothea;1955;GRÜNE;;Bayern;;2017
Hoffmann;Philip;1988;CDU;;Saarland;;2017
Hoffmann;Frank Robert;1972;CDU;;Rheinland-Pfalz;;2017
Hoffmann;Jürgen;1978;FDP;;Rheinland-Pfalz;;2017
Hoffmann;Alexander;1975;CSU;249;;;2017
Hoffmann;Andreas Gerd;1963;FDP;56;;;2017
Hoffmanns;Robert;1964;SPD;;Thüringen;;2017
Hofmann;Erik;1986;ÖDP;202;Rheinland-Pfalz;9;2017
Hofmann;Friedrich Christoph;1954;MLPD;190;Thüringen;6;2017
Hofmann;Martin;1982;FDP;235;Bayern;54;2017
Hofmann;Malvina;1969;Die Humanisten;;Nordrhein-Westfalen;;2017
Hofmann;Uwe;1966;CDU;;Sachsen;;2017
Hofmann;Michael;1953;BP;;Bayern;;2017
Hofmann;Thomas;1983;Die PARTEI;;Nordrhein-Westfalen;;2017
Hofmann-Domke;Anke;1962;DIE LINKE;192;Thüringen;7;2017
Dr. Hofreiter;Anton;1970;GRÜNE;221;Bayern;2;2017
Högen;Sebastian Andreas;1986;ÖDP;160;Sachsen;3;2017
Hogh;Annette;1976;CDU;;Hessen;;2017
Dr. Högl;Eva;1969;SPD;75;Berlin;1;2017
Höh;Philipp Florian;1979;BGE;;Mecklenburg-Vorpommern;;2017
Hoheisel;Florian Peter;1988;CSU;;Bayern;;2017
Hohenadler;Michael;1984;DiB;;Nordrhein-Westfalen;;2017
Hohmann;Martin;1948;AfD;174;Hessen;6;2017
Hohmann;Gerald;1959;AfD;;Schleswig-Holstein;;2017
Höhn;Matthias;1975;DIE LINKE;66;Sachsen-Anhalt;4;2017
Hohn;Christian;1945;GRÜNE;149;;;2017
Höhne;Andreas Franz Emil;1957;NPD;;Hessen;;2017
Hohoff;Susanne;1960;DM;;Nordrhein-Westfalen;;2017
Holbein;Susanne Anita;1970;EB: Holbein 168; 168;;;2017
Hollack;Karin;1940;NPD;;Niedersachsen;;2017
Dr. Hollnagel;Bruno;1948;AfD;10;Schleswig-Holstein;1;2017
Hollweg;Andrea;1965;BGE;;Hessen;;2017
Holm;Leif-Erik;1970;AfD;15;Mecklenburg-Vorpommern;1;2017
Holmeier;Karl;1956;CSU;234;;;2017
Holsten;Johann Dieter;1950;FREIE WÄHLER;28;Niedersachsen;4;2017
