Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Barbara Kristine;Müller;1958;DKP;Kiel;-1;-1;;;Kosel;Honorarkraft Grundschule;2021
Paula Bianka;Abramik;1996;du.;Kiel;-1;-1;;;Kiel;arbeitslos;2021
Frank Marcel;Schmidt;1964;SSW;Kiel;-1;-1;;;Kiel;Pressesprecher;2021
Simon Martin;Wadehn;1999;Volt;Kiel;-1;-1;;;Kiel;Student;2021
Melanie;Bernstein;1976;CDU;Plön – Neumünster;-1;-1;;;Wahlstedt;MdB, Kulturwissenschaftlerin;2021
Kristian;Klinck;1979;SPD;Plön – Neumünster;-1;-1;Dr.;;Preetz;Studienrat;2021
Gunnar;Schulz;1976;FDP;Plön – Neumünster;-1;-1;;;Heikendorf;Betriebswirt;2021
Martin;Drees;1964;GRÜNE;Plön – Neumünster;-1;-1;;;Wahlstorf;Dipl.-Sozialpädagoge;2021
Alexis Leonard;Giersch;1963;AfD;Plön – Neumünster;-1;-1;;;Preetz;Nautiker, Dipl.-Ingenieur (FH);2021
Gabriele Maria Margareta;Gschwind-Wiese;1962;DIE LINKE;Plön – Neumünster;-1;-1;;;Blekendorf;Sachbearbeiterin;2021
Jana;Käding;1989;Die PARTEI;Plön – Neumünster;-1;-1;;;Kiel;tiermed. Fachangestellte;2021
Manfred;Koch;1959;FREIE WÄHLER;Plön – Neumünster;-1;-1;;;Giekau;Landwirtschaftsmeister, Bürgermeister;2021
Karina;Reiß;1974;dieBasis;Plön – Neumünster;-1;-1;;;Martensrade;Universitätsprofessorin;2021
Jürgen;Joost;1956;LKR;Plön – Neumünster;-1;-1;;;Neumünster;Geschäftsführer;2021
Ernst Michael;Abercron;1952;CDU;Pinneberg;-1;-1;Dr.;von;Pinneberg;MdB, Dipl.-Agraringenieur;2021
Ralf;Stegner;1959;SPD;Pinneberg;-1;-1;Dr.;;Bordesholm;Politikwissenschaftler, Minister a. D.;2021
Philipp;Rösch;1978;FDP;Pinneberg;-1;-1;;;Klein Offenseth-Sparrieshoop;Dipl.-Kaufmann;2021
Jens;Herrndorff;1969;GRÜNE;Pinneberg;-1;-1;;;Barmstedt;Musikmanager;2021
Joachim Rudi;Schneider;1972;AfD;Pinneberg;-1;-1;;;Elmshorn;IT-Systemadministrator;2021
Cornelia;Möhring;1960;DIE LINKE;Pinneberg;-1;-1;;;Giekau;Sozialökonomin;2021
Erkan;Inak;1987;Die PARTEI;Pinneberg;-1;-1;;;Wedel;Kundenbetreuer;2021
Kathrin;Arbeck;1969;FREIE WÄHLER;Pinneberg;-1;-1;;;Norderstedt;Flugbegleiterin;2021
Beate Sabine;Lehmann;1959;dieBasis;Pinneberg;-1;-1;;;Wedel;Unternehmerin;2021
Rainer;Urban;1942;LKR;Pinneberg;-1;-1;;;Halstenbek;Unternehmer;2021
Claudia;Edmund;1959;SSW;Pinneberg;-1;-1;;;Helgoland;Geschäftsinhaberin;2021
Gero;Storjohann;1958;CDU;Segeberg – Stormarn-Mitte;-1;-1;;;Seth;MdB, Dipl.-Betriebswirt (FH);2021
Bengt Axel;Bergt;1982;SPD;Segeberg – Stormarn-Mitte;-1;-1;;;Norderstedt;Redakteur;2021
Jan;Schupp;1973;FDP;Segeberg – Stormarn-Mitte;-1;-1;;;Henstedt-Ulzburg;Security Client Executive;2021
Nils;Bollenbach;2000;GRÜNE;Segeberg – Stormarn-Mitte;-1;-1;;;Bargteheide;Filmschaffender, Künstler;2021
Sven;Wendorf;1972;AfD;Segeberg – Stormarn-Mitte;-1;-1;;;Norderstedt;Verwaltungsfachangestellter;2021
Malin;Schultz;1995;DIE LINKE;Segeberg – Stormarn-Mitte;-1;-1;;;Norderstedt;Studentin;2021
Beate;Schreiber;1979;Die PARTEI;Segeberg – Stormarn-Mitte;-1;-1;;;Norderstedt;Dipl.-Rechtspflegerin (FH);2021
Julia;Glagau;1983;FREIE WÄHLER;Segeberg – Stormarn-Mitte;-1;-1;;;Norderstedt;Gesundheits- und Krankenpflegerin;2021
Claudia;Westphal;1973;dieBasis;Segeberg – Stormarn-Mitte;-1;-1;;;Kaltenkirchen;Bankkauffrau;2021
Ingo Adolf August;Gädechens;1960;CDU;Ostholstein – Stormarn-Nord;-1;-1;;;Fehmarn;MdB, Berufssoldat a. D.;2021
Bettina;Hagedorn;1955;SPD;Ostholstein – Stormarn-Nord;-1;-1;;;Kasseedorf;MdB, Goldschmiedin;2021
Jörg;Hansen;1964;FDP;Ostholstein – Stormarn-Nord;-1;-1;;;Stockelsdorf;Polizeibeamter;2021
Jakob;Brunken;1987;GRÜNE;Ostholstein – Stormarn-Nord;-1;-1;;;Kasseedorf;Zimmerermeister;2021
Uwe;Witt;1959;AfD;Ostholstein – Stormarn-Nord;-1;-1;;;Berlin;MdB, Betriebswirt;2021
Susanne;Spethmann;1979;DIE LINKE;Ostholstein – Stormarn-Nord;-1;-1;;;Kasseedorf;Krankenschwester;2021
David Frederic;Gutzeit;2001;FREIE WÄHLER;Ostholstein – Stormarn-Nord;-1;-1;;;Eutin;Student;2021
Michael;Metzig;1964;dieBasis;Ostholstein – Stormarn-Nord;-1;-1;;;Oldenburg in Holstein;selbst. Veranstalter;2021
Mergim René;Schlüter;1995;EB: Schlüter;Ostholstein – Stormarn-Nord;-1;-1;;;Neustadt in Holstein;Gesundheits- und Krankenpfleger;2021
Thomas;Peters;1975;CDU;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;Dr.;;Wentorf bei Hamburg;Jurist;2021
Nina;Scheer;1971;SPD;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;Dr.;;Geesthacht;Juristin, Politikwissenschaftlerin, Musikerin;2021
Martin;Turowski;1973;FDP;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;;;Ziethen;Unternehmer;2021
Konstantin;Notz;1971;GRÜNE;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;Dr.;von;Mölln;Volljurist;2021
Wiebke;Neumann;1974;AfD;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;;;Trittau;kaufm. Angestellte;2021
Christoph Ulrich;Hinrichs;1967;DIE LINKE;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;;;Geesthacht;Industriekaufmann;2021
Arne;Schönfelder;1970;Die PARTEI;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;;;Großhansdorf;Zimmerermeister;2021
Christian;Runge;1978;FREIE WÄHLER;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;;;Schwarzenbek;Medientechniker;2021
Matthias;Micklich;1963;dieBasis;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;;;Geesthacht;Klavierlehrer;2021
Peter Johannes;Schlüter;1955;DKP;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;;;Ahrensburg;Mediengestalter;2021
Claudia;Schmidtke;1966;CDU;Lübeck;-1;-1;Dr.;;Lübeck;Ärztin, Professorin;2021
Tim;Klüssendorf;1991;SPD;Lübeck;-1;-1;;;Lübeck;Volks- und Betriebswirt;2021
Heike Margit;Stegemann;1964;FDP;Lübeck;-1;-1;;;Lübeck;Bilanzbuchhalterin;2021
Bruno;Hönel;1996;GRÜNE;Lübeck;-1;-1;;;Lübeck;Psychologie, Student;2021
David;Jenniches;1977;AfD;Lübeck;-1;-1;;;Lübeck;Dipl.-Volkswirt;2021
Emil;Tankacheyev;2002;DIE LINKE;Lübeck;-1;-1;;;Lübeck;Schüler;2021
Alexander Sebastian;Schacht;1982;Die PARTEI;Lübeck;-1;-1;;;Lübeck;Softwareentwickler;2021
Gregor;Voht;1990;FREIE WÄHLER;Lübeck;-1;-1;;;Lübeck;Unternehmer;2021
Lüder Paul Wilhelm;Möller;1949;MLPD;Lübeck;-1;-1;;;Lübeck;Maschinenschlosser;2021
Uta;Kemper;1960;dieBasis;Lübeck;-1;-1;;;Seedorf;Verwaltungsangestellte;2021
Wilfried Emil;Link;1944;DKP;Lübeck;-1;-1;;;Lübeck;staatl. geprüfter Landwirt;2021
Jennifer;Wobusa;1992;du.;Lübeck;-1;-1;;;Lübeck;Erzieherin;2021
Lutz Artur Heinz;Nielsen;1958;LKR;Lübeck;-1;-1;;;Lübeck;Kaufmann;2021
Fabio;Sánchez Copano;1996;Volt;Lübeck;-1;-1;;;Lübeck;Notfallsanitäter;2021
Thorsten;Kerkhoff;1969;EB: Kerkhoff;Lübeck;-1;-1;;;Dassow;Immobilienmakler;2021
Dietrich;Monstadt;1957;CDU;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;;;Schwerin;MdB, Rechtsanwalt;2021
