Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Edmund Ernst;Müller;1969;EB: Müller;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;-1;-1;;;Werder (Havel);Dipl.-Ingenieur Maschinenbau (TU);2021
Antje;Grütte;1962;EB: Grütte;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;-1;-1;;;Potsdam;Dipl.-Ökonomin;2021
Ingo;Charnow;1971;EB: Charnow;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;-1;-1;;;Potsdam;Bereichsleiter;2021
Jana;Schimke;1979;CDU;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Rangsdorf;Dipl.-Politologin, Politikwissenschaftlerin;2021
Steffen;Kotré;1971;AfD;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Dallgow-Döberitz;Berater;2021
Sylvia;Lehmann;1954;SPD;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Märkische Heide;Mitglied des Deutschen Bundestages;2021
Carsten;Preuß;1962;DIE LINKE;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Zossen;Dipl.-Agraringenieur;2021
Lars;Hartfelder;1977;FDP;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Luckau;Angestellter, Projektmanager;2021
Gerhard;Kalinka;1962;GRÜNE;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Blankenfelde-Mahlow;Ingenieur;2021
Christiane Sabine;Müller-Schmolt;1960;Tierschutzpartei;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Eichwalde;Sozialversicherungsfachangestellte;2021
Uwe Frank;Tanneberger;1968;FREIE WÄHLER;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Heidesee;Elektroingenieur;2021
Susanne;Steinhardt;1955;DKP;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Königs Wusterhausen;Rentnerin;2021
Ralf;Nobel;1967;ÖDP;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Rangsdorf;IT-Koordinator;2021
Torsten;Bartels;1967;dieBasis;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Blankenfelde-Mahlow;IT-Systemadministrator;2021
Guido;Körber;1965;PIRATEN;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Schönefeld;selbstständig;2021
Michael;Gabler;1972;EB: Gabler;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Niederer Fläming;Tierpfleger;2021
Roald;Hitzer;1967;EB: Hitzer;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Königs Wusterhausen;Schmied, Stahlbauer;2021
Volker Matthias Uwe;Commentz;1967;EB: Commentz;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Schönefeld;Disponent;2021
Andreas;Beer;1984;FAMILIE;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;-1;-1;;;Heidesee;Notfallsanitäter;2021
Daniel;Rosentreter;1982;CDU;Frankfurt (Oder) – Oder-Spree;-1;-1;Dr.;;Erkner;Richter;2021
Wilko;Möller;1966;AfD;Frankfurt (Oder) – Oder-Spree;-1;-1;;;Frankfurt (Oder);Polizeibeamter;2021
Mathias;Papendieck;1982;SPD;Frankfurt (Oder) – Oder-Spree;-1;-1;;;Schöneiche bei Berlin;Informatiker;2021
Stefan;Kunath;1989;DIE LINKE;Frankfurt (Oder) – Oder-Spree;-1;-1;;;Frankfurt (Oder);Sozialwissenschaftler;2021
Jasmin;Stüwe;1990;FDP;Frankfurt (Oder) – Oder-Spree;-1;-1;;;Erkner;Lehrerin;2021
Marcus;Winter;1970;GRÜNE;Frankfurt (Oder) – Oder-Spree;-1;-1;Dr.;;Frankfurt (Oder);Arzt;2021
Cindy;Rosenkranz;1989;Die PARTEI;Frankfurt (Oder) – Oder-Spree;-1;-1;;;Frankfurt (Oder);Veranstaltungskauffrau;2021
Kai;Hamacher;1974;FREIE WÄHLER;Frankfurt (Oder) – Oder-Spree;-1;-1;;;Fürstenwalde/Spree;Referent Politik;2021
Norman;Heß;1989;ÖDP;Frankfurt (Oder) – Oder-Spree;-1;-1;;;Dresden;Student Ökologie;2021
Dieter Kurt Alfred;Weihrauch;1954;MLPD;Frankfurt (Oder) – Oder-Spree;-1;-1;;;Eisenhüttenstadt;Rentner;2021
Thomas;Wötzel;1970;dieBasis;Frankfurt (Oder) – Oder-Spree;-1;-1;;;Grünheide (Mark);Geschäftsführer;2021
Ralf Karl;Kaun;1962;EB: Kaun;Frankfurt (Oder) – Oder-Spree;-1;-1;;;Friedland;Informatikkaufmann;2021
Manuela;Marquardt;1963;EB: Marquardt;Frankfurt (Oder) – Oder-Spree;-1;-1;;;Eisenhüttenstadt;Dipl.-Wirtschaftsingenieurin;2021
Markus;Niggemann;1978;CDU;Cottbus – Spree-Neiße;-1;-1;Dr.;;Cottbus;Beigeordneter;2021
Daniel;Münschke;1980;AfD;Cottbus – Spree-Neiße;-1;-1;;;Guben;Mitglied des Landtages;2021
Maja Scarlett;Wallstein;1986;SPD;Cottbus – Spree-Neiße;-1;-1;;;Cottbus;Wissenschaftsmanagerin;2021
Christian;Görke;1962;DIE LINKE;Cottbus – Spree-Neiße;-1;-1;;;Cottbus;Mitglied des Landtages;2021
Laura;Schieritz;1998;FDP;Cottbus – Spree-Neiße;-1;-1;;;Forst (Lausitz);Pressereferentin;2021
Heide;Schinowsky;1975;GRÜNE;Cottbus – Spree-Neiße;-1;-1;;;Cottbus;Referentin;2021
Michael;Matschke;1990;Die PARTEI;Cottbus – Spree-Neiße;-1;-1;;;Cottbus;Gesundheits- und Krankenpfleger;2021
Andreas;Richter;1957;FREIE WÄHLER;Cottbus – Spree-Neiße;-1;-1;;;Elsterwerda;Berufskraftfahrer;2021
Gisela Renate;Vierrath;1951;DKP;Cottbus – Spree-Neiße;-1;-1;;;Cottbus;Rentnerin;2021
Lysann Nadine;Kobbe;1980;dieBasis;Cottbus – Spree-Neiße;-1;-1;;;Ahrensfelde;stellv. Pflegedienstleitung;2021
Ingo;Weidelt;1979;UNABHÄNGIGE;Cottbus – Spree-Neiße;-1;-1;;;Lindenau;Energieberater;2021
Knut Friedrich Alexander;Abraham;1966;CDU;Elbe-Elster – Oberspreewald-Lausitz II;-1;-1;;;Schönewalde;Diplomat;2021
Silvio;Wolf;1971;AfD;Elbe-Elster – Oberspreewald-Lausitz II;-1;-1;;;Senftenberg;Kraftfahrer;2021
Hannes Artur Gerhard;Walter;1984;SPD;Elbe-Elster – Oberspreewald-Lausitz II;-1;-1;;;Massen-Niederlausitz;Betriebswirt;2021
Yvonne Margret;Mahlo;1980;DIE LINKE;Elbe-Elster – Oberspreewald-Lausitz II;-1;-1;;;Doberlug-Kirchhain;Betriebswirtin;2021
Fritz Walter Martin;Neumann;1956;FDP;Elbe-Elster – Oberspreewald-Lausitz II;-1;-1;Prof. Dr.-Ing.;;Vetschau/Spreewald;beratender Ingenieur, Hochschullehrer;2021
Paul-Philipp;Neumann;1987;GRÜNE;Elbe-Elster – Oberspreewald-Lausitz II;-1;-1;;;Großräschen;Projektleiter;2021
Bianca;Schröder;1970;Die PARTEI;Elbe-Elster – Oberspreewald-Lausitz II;-1;-1;;;Neupetershain;Dipl.-Ingenieurin Maschinenbau;2021
Roxana Erna;Trasper;1981;FREIE WÄHLER;Elbe-Elster – Oberspreewald-Lausitz II;-1;-1;;;Senftenberg;selbstständig;2021
Kay-Uwe;Blietz;1966;dieBasis;Elbe-Elster – Oberspreewald-Lausitz II;-1;-1;;;Bad Liebenwerda;Dipl.-Kaufmann;2021
Marcel;Respa;1977;UNABHÄNGIGE;Elbe-Elster – Oberspreewald-Lausitz II;-1;-1;;;Schwarzheide;Unternehmer;2021
Ilona Brigitte;Janda;1959;EB: Janda;Elbe-Elster – Oberspreewald-Lausitz II;-1;-1;;;Halle (Saale);Erzieherin;2021
Uwe;Harms;1963;CDU;Altmark;-1;-1;;;Klötze;selbstständig;2021
Arno;Bausemer;1982;AfD;Altmark;-1;-1;;;Stendal;Angestellter, Landwirt;2021
Matthias;Höhn;1975;DIE LINKE;Altmark;-1;-1;;;Magdeburg;Mitglied des Deutschen Bundestages;2021
Herbert;Wollmann;1951;SPD;Altmark;-1;-1;Dr.;;Stendal;Arzt;2021
Marcus;Faber;1984;FDP;Altmark;-1;-1;Dr.;;Stendal;Dipl.-Politikwissenschaftler;2021
Gregor Thomas;Laukert;1998;GRÜNE;Altmark;-1;-1;;;Stendal;Student;2021
Nils Rainer;Krümmel;1964;FREIE WÄHLER;Altmark;-1;-1;;;Salzwedel;Gastwirt;2021
Martin Friedrich;Schwab;1967;dieBasis;Altmark;-1;-1;Prof. Dr.;;Bielefeld;Jurist;2021
Danny;Bibiella;1975;EB: Bibiella;Altmark;-1;-1;;;Obergünzburg;Dipl.-Informatiker;2021
Heiko;Janowski;1973;EB: Janowski;Altmark;-1;-1;;;Stendal;selbstständig;2021
Gerry;Weber;1969;CDU;Börde – Jerichower Land;-1;-1;;;Burg;Kaufmann;2021
Jan Wenzel;Schmidt;1991;AfD;Börde – Jerichower Land;-1;-1;;;Wanzleben-Börde;Mitglied des Landtages;2021
David;Schliesing;1983;DIE LINKE;Börde – Jerichower Land;-1;-1;;;Angern;Dramaturg;2021
Franziska;Kersten;1968;SPD;Börde – Jerichower Land;-1;-1;Dr.;;Altmärkische Höhe;Tierärztin;2021
Mathias;Schulte;1980;FDP;Börde – Jerichower Land;-1;-1;;;Oschersleben (Bode);Pressesprecher;2021
Thomas Josef;Schlenker;1963;GRÜNE;Börde – Jerichower Land;-1;-1;;;Wolmirstedt;Dipl.-Ing. Architekt (FH);2021
Marcel;Nakoinz;1987;Tierschutzallianz;Börde – Jerichower Land;-1;-1;;;Hohe Börde;Polizeibeamter;2021
André;Futh;1980;FREIE WÄHLER;Börde – Jerichower Land;-1;-1;;;Magdeburg;Finanzdienstleister;2021
Bettina;Graf;1968;dieBasis;Börde – Jerichower Land;-1;-1;;;Sommersdorf;Betreuerin;2021
Carina;Hansen;1960;Tierschutzpartei;Börde – Jerichower Land;-1;-1;;;Möser;Dipl.-Bauingenieurin;2021
Heike Martina;Brehmer;1962;CDU;Harz;-1;-1;;;Wernigerode;MdB, Dipl.-Betriebswirtin (FH);2021
Sören;Stefanowicz;1974;AfD;Harz;-1;-1;;;Wernigerode;Glasgraveur, DJ;2021
Karsten;Lippmann;1978;DIE LINKE;Harz;-1;-1;Dr.;;Halberstadt;Historiker;2021
Maik;Berger;1973;SPD;Harz;-1;-1;;;Huy;Gebietsleiter;2021
Denise;Köcke;1998;FDP;Harz;-1;-1;;;Halberstadt;Studentin;2021
Wolfgang;Strauhs;1964;GRÜNE;Harz;-1;-1;;;Wernigerode;Koch;2021
Carlo;Gottschalk;1962;FREIE WÄHLER;Harz;-1;-1;;;Thale;Geschäftsführer Autohaus;2021
Uwe;Rohrbeck;1976;dieBasis;Harz;-1;-1;;;Wegeleben;Angestellter ö. D.;2021
Thomas;Barth;1956;EB: Barth;Harz;-1;-1;;;Witten;Techniker;2021
Tino;Sorge;1975;CDU;Magdeburg;-1;-1;;;Magdeburg;MdB, Rechtsanwalt;2021
Frank;Pasemann;1960;AfD;Magdeburg;-1;-1;;;Magdeburg;selbstständig;2021
Chris;Scheunchen;1990;DIE LINKE;Magdeburg;-1;-1;;;Magdeburg;Student;2021
Martin;Kröber;1992;SPD;Magdeburg;-1;-1;;;Magdeburg;Geschäftsstellenleiter;2021
Fabian;Horn;1985;FDP;Magdeburg;-1;-1;Dr.;;Magdeburg;Volkswirt;2021
Urs Justus Jasper Gregor;Liebau;1994;GRÜNE;Magdeburg;-1;-1;;;Magdeburg;Wirtschaftsingenieur;2021
Aila;Fassl;1987;Tierschutzallianz;Magdeburg;-1;-1;;;Magdeburg;Polizeibeamtin;2021
Eckhard Horst;Schröder;1955;FREIE WÄHLER;Magdeburg;-1;-1;;;Magdeburg;selbstständig;2021
Luisa;Graviat;2001;Die PARTEI;Magdeburg;-1;-1;;;Magdeburg;Auszubildende;2021
Roland;Zander;1965;Gartenpartei;Magdeburg;-1;-1;;;Magdeburg;selbstständig;2021
Daniel Alexander;Wiegenstein;1958;MLPD;Magdeburg;-1;-1;;;Magdeburg;Anlagenfahrer;2021
Reiner;Füllmich;1958;dieBasis;Magdeburg;-1;-1;Dr.;;Göttingen;Rechtsanwalt;2021
Peter;Pokrzywnicki;1967;ÖDP;Magdeburg;-1;-1;;von;Magdeburg;Dipl.-Ing., selbstständig;2021
Franka;Kretschmer;1981;#TeamFranka;Magdeburg;-1;-1;Dr.;;Magdeburg;Dr.-Ing. Energietechnik;2021
Sepp;Müller;1989;CDU;Dessau – Wittenberg;-1;-1;;;Gräfenhainichen;Mitglied des Deutschen Bundestages;2021
Andreas;Mrosek;1958;AfD;Dessau – Wittenberg;-1;-1;;;Dessau-Roßlau;Mitglied des Deutschen Bundestages;2021
Johannes;Hüthel;1998;DIE LINKE;Dessau – Wittenberg;-1;-1;;;Dessau-Roßlau;Auszubildender Verwaltungsfachangestellter;2021
Leonard;Schneider;2001;SPD;Dessau – Wittenberg;-1;-1;;;Wittenberg;Student;2021
Alexander Martin;Oppelt;1979;FDP;Dessau – Wittenberg;-1;-1;;;Dessau-Roßlau;Unternehmer;2021
Steffi;Lemke;1968;GRÜNE;Dessau – Wittenberg;-1;-1;;;Berlin;Dipl.-Agraringenieurin;2021
Steven;Slavicek;1989;FREIE WÄHLER;Dessau – Wittenberg;-1;-1;;;Wittenberg;Restaurantfachmann;2021
Ernst;Wolff;1950;dieBasis;Dessau – Wittenberg;-1;-1;;;Berlin;Journalist;2021
Mario;Rohne;1983;EB: Rohne;Dessau – Wittenberg;-1;-1;;;Jessen (Elster);Dipl.-Kaufmann;2021
Günther;Wassenaar;1947;EB: Wassenaar;Dessau – Wittenberg;-1;-1;;;Wittenberg;Rentner;2021
Frank;Wyszkowski;1987;CDU;Anhalt;-1;-1;;;Bernburg (Saale);Hoteldirektor;2021
Kay-Uwe;Ziegler;1963;AfD;Anhalt;-1;-1;;;Bitterfeld-Wolfen;Kaufmann, Geschäftsführer;2021
Jan;Korte;1977;DIE LINKE;Anhalt;-1;-1;;;Berlin;MdB, Politikwissenschaftler (M. A.);2021
Anne;Stamm;1985;SPD;Anhalt;-1;-1;;;Bitterfeld-Wolfen;Gebietsverkaufsleiterin;2021
Thorben;Fiedler;1996;FDP;Anhalt;-1;-1;;;Bitterfeld-Wolfen;Sozialversicherungsangestellter;2021
Hans Jakob Charles;Schweizer;1977;GRÜNE;Anhalt;-1;-1;Dr.;;Berlin;Physiker;2021
Ronny;Schneider;1982;FREIE WÄHLER;Anhalt;-1;-1;;;Zörbig;Angestellter;2021
Alkje;Fontes;1978;dieBasis;Anhalt;-1;-1;;;Hohenberg-Krusemark;Fotografin;2021
Johanna;Zimmermann;1950;EB: Zimmermann;Anhalt;-1;-1;;;Bitterfeld-Wolfen;Pädagogin;2021
Christoph;Bernstiel;1984;CDU;Halle;-1;-1;;;Halle (Saale);Politikwissenschaftler, Kommunikationsberater;2021
Alexander;Raue;1973;AfD;Halle;-1;-1;;;Halle (Saale);Dipl.-Ing. Bauwesen (FH);2021
Petra;Sitte;1960;DIE LINKE;Halle;-1;-1;Dr.;;Halle (Saale);MdB, Dipl.-Ökonomin;2021
Karamba;Diaby;1961;SPD;Halle;-1;-1;Dr.;;Halle (Saale);MdB, Dipl.-Chemiker;2021
Yana;Mark;1989;FDP;Halle;-1;-1;;;Halle (Saale);Rechtsanwältin;2021
Inés;Brock;1964;GRÜNE;Halle;-1;-1;Dr.;;Halle (Saale);Kinder- und Jugendlichenpsychotherapeutin;2021
Andrea;Menke;1969;FREIE WÄHLER;Halle;-1;-1;;;Halle (Saale);Unternehmerin;2021
Jakob;Brand;1996;Die PARTEI;Halle;-1;-1;;;Halle (Saale);Student;2021
Adrian Manuel;Mauson;1992;MLPD;Halle;-1;-1;;;Halle (Saale);Logistik-Arbeiter;2021
Stephan;Kohn;1962;dieBasis;Halle;-1;-1;;;Berlin;Politologe;2021
Dieter;Stier;1964;CDU;Burgenland – Saalekreis;-1;-1;;;Weißenfels;MdB, Dipl.-Agraringenieur;2021
Martin;Reichardt;1969;AfD;Burgenland – Saalekreis;-1;-1;;;Hohe Börde;Dipl.-Pädagoge;2021
Birke;Bull-Bischoff;1963;DIE LINKE;Burgenland – Saalekreis;-1;-1;Dr.;;Halle (Saale);MdB, Soziologin;2021
Jens;Wojtyschak;1987;SPD;Burgenland – Saalekreis;-1;-1;;;Lützen;Dipl.-Ingenieur (B. A.);2021
Carsten;Sonntag;1979;FDP;Burgenland – Saalekreis;-1;-1;;;Elsteraue;Energiewirtschaftsmanager;2021
Martina;Hoffmann;1979;GRÜNE;Burgenland – Saalekreis;-1;-1;;;Schkopau;Angestellte;2021
Jens;Jahr;1967;dieBasis;Burgenland – Saalekreis;-1;-1;;;Teuchern;Kraftfahrer;2021
Torsten;Schweiger;1968;CDU;Mansfeld;-1;-1;;;Sangerhausen;Dipl.-Ingenieur;2021
Robert;Farle;1950;AfD;Mansfeld;-1;-1;;;Seegebiet Mansfelder Land;Rechtsanwalt, Steuerberater;2021
Daniel;Feuerberg;1986;DIE LINKE;Mansfeld;-1;-1;;;Mansfeld;IT-Systemkaufmann;2021
Katrin;Budde;1965;SPD;Mansfeld;-1;-1;;;Magdeburg;Dipl.-Ing. Arbeitsgestaltung;2021
Ingo;Bodtke;1965;FDP;Mansfeld;-1;-1;;;Wimmelburg;Ingenieur Fleischwirtschaft;2021
Mika-Sören;Erdmann;2000;GRÜNE;Mansfeld;-1;-1;;;Schkopau;Auszubildender;2021
Sarah Katharina;Biedermann;1997;FREIE WÄHLER;Mansfeld;-1;-1;;;Magdeburg;Personalsachbearbeiterin;2021
Pierre;Kynast;1973;dieBasis;Mansfeld;-1;-1;;;Merseburg;Philosoph, Unternehmer;2021
Ottilie Paola;Klein;1984;CDU;Berlin-Mitte;-1;-1;Dr.;;Berlin;Abteilungsdirektorin;2021
Martin;Neise;1988;DIE LINKE;Berlin-Mitte;-1;-1;;;Berlin;polit. Bildner;2021
Annika Gisela;Klose;1992;SPD;Berlin-Mitte;-1;-1;;;Berlin;Sozialwissenschaftlerin;2021
Hanna;Steinmüller;1993;GRÜNE;Berlin-Mitte;-1;-1;;;Berlin;wiss. Mitarbeiterin;2021
Beatrix;Storch;1971;AfD;Berlin-Mitte;-1;-1;;von;Berlin;MdB, Rechtsanwältin;2021
Anna;Kryszan;1995;FDP;Berlin-Mitte;-1;-1;;;Berlin;Lehramtsanwärterin, Referendarin;2021
Martin Gregor;Pohlmann;1973;Die PARTEI;Berlin-Mitte;-1;-1;;;Berlin;Wirt;2021
Georg Daniel;Tsambasis;1989;Tierschutzpartei;Berlin-Mitte;-1;-1;;;Berlin;Student;2021
Torsten;Schwald;1974;PIRATEN;Berlin-Mitte;-1;-1;;;Berlin;EDV-Fachmann;2021
Richard;Borrmann;1982;ÖDP;Berlin-Mitte;-1;-1;;;Nuthetal;Bauleitung Spezialtiefbau;2021
Annegret;Höcker;1954;MLPD;Berlin-Mitte;-1;-1;;;Berlin;Lehrerin;2021
Rudolf;Fritz;1959;LKR;Berlin-Mitte;-1;-1;;;Berlin;Betriebswirt;2021
Juliane;Mörsel;1989;Die Humanisten;Berlin-Mitte;-1;-1;;;Berlin;Studentin der Physik;2021
Valerie Susanne Magdalena;Sternberg-Mottaghi Irvani;1991;Volt;Berlin-Mitte;-1;-1;;;Berlin;Kommunikationsberaterin;2021
Ulrike Viviane;Fischer;1970;dieBasis;Berlin-Mitte;-1;-1;;;Berlin;Rechtsanwältin;2021
Michael;Fielsch;1965;EB: Fielsch;Berlin-Mitte;-1;-1;;;Lübtheen;Rentner;2021
Ayman;Zebian;1965;EB: Zebian;Berlin-Mitte;-1;-1;;;Berlin;arbeitssuchend;2021
Manuela;Anders-Granitzki;1978;CDU;Berlin-Pankow;-1;-1;;;Berlin;Lehrerin;2021
Udo;Wolf;1962;DIE LINKE;Berlin-Pankow;-1;-1;;;Berlin;Mitglied des Berliner Abgeordnetenhauses;2021
Klaus;Mindrup;1964;SPD;Berlin-Pankow;-1;-1;;;Berlin;MdB, Dipl.-Biologe;2021
Stefan;Gelbhaar;1976;GRÜNE;Berlin-Pankow;-1;-1;;;Berlin;MdB, Rechtsanwalt;2021
Götz;Frömming;1968;AfD;Berlin-Pankow;-1;-1;Dr.;;Berlin;MdB, Gymnasiallehrer;2021
Daniela Kathrin;Kluckert;1980;FDP;Berlin-Pankow;-1;-1;;;Berlin;MdB, Dipl.-Volkswirtin;2021
Jannis;Kiesewalter;1989;Die PARTEI;Berlin-Pankow;-1;-1;;;Berlin;Erzieher;2021
Elke;Weihusen;1972;Tierschutzpartei;Berlin-Pankow;-1;-1;;;Berlin;Germanistin;2021
Marianne;Utz;1955;PIRATEN;Berlin-Pankow;-1;-1;;;Berlin;Übersetzerin, Rentnerin;2021
Ilja;Schwärsky-von Brünken;1979;FREIE WÄHLER;Berlin-Pankow;-1;-1;;;Berlin;Opernsänger;2021
Felix;Werth;1978;Gesundheitsforschung;Berlin-Pankow;-1;-1;;;Berlin;Biowissenschaftler;2021
Thomas Georg;Kuhn;1964;ÖDP;Berlin-Pankow;-1;-1;;;Berlin;Vermessungstechniker;2021
Paul Daniel;Seifert;1993;LKR;Berlin-Pankow;-1;-1;;;Berlin;Student;2021
Paul-Johann Georg;Loeper;1989;Volt;Berlin-Pankow;-1;-1;;von;Berlin;Politiker;2021
Monika;Grütters;1962;CDU;Berlin-Reinickendorf;-1;-1;;;Berlin;Kunsthistorikerin;2021
Hakan;Taş;1966;DIE LINKE;Berlin-Reinickendorf;-1;-1;;;Berlin;Mitglied des Berliner Abgeordnetenhauses;2021
Torsten;Einstmann;1965;SPD;Berlin-Reinickendorf;-1;-1;;;Berlin;Dipl.-Sozialwissenschaftler;2021
Bernd;Schwarz;1980;GRÜNE;Berlin-Reinickendorf;-1;-1;;;Berlin;wiss. Mitarbeiter;2021
Sebastian;Maack;1969;AfD;Berlin-Reinickendorf;-1;-1;;;Berlin;Beamter;2021
Friedrich Jan;Ohnesorge;1979;FDP;Berlin-Reinickendorf;-1;-1;;;Berlin;Rechtsanwalt;2021
Pauline;Klimas;1987;Die PARTEI;Berlin-Reinickendorf;-1;-1;;;Mühlenbecker Land;Beamtin;2021
Friederike;Nabrdalik;1994;Tierschutzpartei;Berlin-Reinickendorf;-1;-1;;;Berlin;Verpackungsingenieurin;2021
Michael;Schulz;1977;Die Grauen;Berlin-Reinickendorf;-1;-1;;;Berlin;Fahrlehrer;2021
Dirk;Steffel;1969;FREIE WÄHLER;Berlin-Reinickendorf;-1;-1;;;Berlin;Dipl.-Einkaufsexperte (BME), Produktmanager;2021
Andreas;Neumann;1990;ÖDP;Berlin-Reinickendorf;-1;-1;;;Berlin;techn. Revisor;2021
Manfred;Salzmann;1957;dieBasis;Berlin-Reinickendorf;-1;-1;Dr.;;Berlin;Dipl.-Physiker, Dipl.-Wirtschaftsingenieur;2021
Joe;Chialo;1970;CDU;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Berlin;Musikmanager;2021
Helin Evrim;Sommer;1971;DIE LINKE;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Berlin;Mitglied des Deutschen Bundestages;2021
Helmut;Kleebank;1964;SPD;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Berlin;Bezirksbürgermeister;2021
Steffen;Laube;1995;GRÜNE;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Berlin;Student;2021
Lukas;Garnis;1983;AfD;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Berlin;Kaufmann;2021
Dominik;Znanewitz;1993;FDP;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Berlin;Dipl.-Ingenieur Energie- und Umwelttechnik (B. A.);2021
Rhavin;Grobert;1975;Die PARTEI;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Berlin;Techniker, Musiker, Administrator;2021
Aida Paola;Spiegeler Castañeda;1994;Tierschutzpartei;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Berlin;Master of Laws (LL. M.);2021
Jens-Eberhard;Jahn;1967;ÖDP;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Leipzig;Lehrer;2021
Esther;Engel;1968;MLPD;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Gelsenkirchen;Mechanikerin;2021
Nicole;Jädicke;1981;LKR;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Berlin;geprüfte Schutz- und Sicherheitskraft;2021
Philipp;Zühlke;1951;dieBasis;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Berlin;Dipl.-Volkswirt, Dipl.-Kaufmann;2021
Michael;Dönicke;1968;BÜNDNIS21;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Berlin;selbstständig;2021
Lucia;Bunte;1963;EB: Bunte;Berlin-Spandau – Charlottenburg Nord;-1;-1;;;Berlin;Dipl.-Psychologin, Ministerialreferentin;2021
Thomas;Heilmann;1964;CDU;Berlin-Steglitz-Zehlendorf;-1;-1;;;Berlin;Jurist;2021
Marcus Dirk;Otto;1969;DIE LINKE;Berlin-Steglitz-Zehlendorf;-1;-1;;;Berlin;Betreuer;2021
Ruppert Fritz Johannes;Stüwe;1978;SPD;Berlin-Steglitz-Zehlendorf;-1;-1;;;Berlin;Dipl.-Volkswirt;2021
Nina;Stahr;1982;GRÜNE;Berlin-Steglitz-Zehlendorf;-1;-1;;;Berlin;Landesvorsitzende BÜNDNIS 90/DIE GRÜNEN;2021
Birgit Theresia;Malsack-Winkemann;1964;AfD;Berlin-Steglitz-Zehlendorf;-1;-1;Dr.;;Berlin;Richterin am Landgericht;2021
Hanns-Henning Kurt Reimer;Krumrey;1962;FDP;Berlin-Steglitz-Zehlendorf;-1;-1;;;Berlin;Journalist;2021
Erik Claus Nils;Westmann;1982;Die PARTEI;Berlin-Steglitz-Zehlendorf;-1;-1;;;Berlin;Veranstaltungstechniker;2021
Laura;Höll;1997;Tierschutzpartei;Berlin-Steglitz-Zehlendorf;-1;-1;;;Berlin;Informatikerin;2021
Georg;Boroviczény;1947;PIRATEN;Berlin-Steglitz-Zehlendorf;-1;-1;;;Berlin;Rentner;2021
Klaus-Peter;Lüdeke;1947;FREIE WÄHLER;Berlin-Steglitz-Zehlendorf;-1;-1;;von;Berlin;selbstständig;2021
Karl-Friedrich;Harter;1965;Gesundheitsforschung;Berlin-Steglitz-Zehlendorf;-1;-1;;;Berlin;Unternehmer;2021
Alina;Sahl;1992;ÖDP;Berlin-Steglitz-Zehlendorf;-1;-1;;;Berlin;Psychologin;2021
Carsten;Schanz;1967;LKR;Berlin-Steglitz-Zehlendorf;-1;-1;;;Berlin;Polizeibeamter a. D.;2021
Claus-Henning Christian;Hacker;1979;dieBasis;Berlin-Steglitz-Zehlendorf;-1;-1;;;Berlin;Rechtsanwalt;2021
Klaus-Dieter;Gröhler;1966;CDU;Berlin-Charlottenburg-Wilmersdorf;-1;-1;;;Berlin;MdB, Jurist;2021
Michael;Efler;1970;DIE LINKE;Berlin-Charlottenburg-Wilmersdorf;-1;-1;;;Berlin;Mitglied des Berliner Abgeordnetenhauses;2021
