Wahlkreis_Nr;SVB_insgesamt;SVB_landw_fischerei;SVB_produz_gewerbe;SVB_handel_gast_verkehr;SVB_dienstleister;SVB_uebrige_dienstleister;Alter_unter_18;Alter_18_24;Alter_25_34;Alter_35_59;Alter_60_74;Alter_75_plus;ALQ_frauen;ALQ_15_24;ALQ_55_64;ALQ_insgesamt;ALQ_maenner;year
1;345.0;1.7;19.3;27.0;15.4;36.7;16.6;8.4;12.0;33.6;17.6;11.9;6.2;5.9;7.6;7.0;7.7;2021
2;355.5;2.8;20.5;32.1;11.8;32.7;15.6;7.7;11.0;34.0;18.9;12.8;5.9;5.4;7.2;6.5;6.9;2021
3;313.4;3.0;27.7;22.3;15.1;32.0;16.3;7.2;10.5;35.7;18.2;12.2;6.1;7.0;6.4;6.4;6.8;2021
4;291.6;2.6;23.7;22.9;17.0;33.9;16.9;7.0;9.9;35.9;18.3;12.0;4.3;4.7;5.2;4.8;5.2;2021
5;490.7;0.2;16.4;19.7;24.8;38.9;14.9;10.6;17.2;32.1;14.6;10.5;7.4;5.1;8.4;8.4;9.2;2021
6;329.6;1.6;22.1;28.7;17.5;30.1;16.1;7.2;10.6;34.6;18.2;13.3;6.1;6.7;7.0;6.7;7.3;2021
7;295.0;2.2;29.0;29.0;14.5;25.4;17.1;7.1;10.8;36.4;16.5;12.1;5.4;5.3;6.1;5.9;6.3;2021
8;340.2;1.1;28.4;29.4;16.0;25.1;17.2;6.8;10.5;36.9;17.0;11.6;4.8;4.6;5.5;5.0;5.2;2021
9;312.3;1.4;21.3;31.2;12.7;33.4;14.7;6.3;9.3;35.1;20.3;14.3;5.6;5.4;7.4;6.1;6.5;2021
10;295.7;1.2;28.3;28.1;14.6;27.9;17.1;6.6;9.8;36.0;17.0;13.5;4.7;5.5;5.2;5.1;5.4;2021
11;445.3;0.2;23.7;23.9;20.8;31.5;15.4;8.1;13.3;33.9;16.7;12.6;7.7;7.5;8.7;8.5;9.3;2021
12;385.2;2.6;24.7;19.9;16.9;35.8;16.3;5.5;10.9;35.7;19.5;12.2;7.1;10.7;7.6;8.0;8.8;2021
13;308.0;4.3;31.4;23.4;11.1;29.8;15.3;4.9;9.5;35.6;21.6;13.1;6.2;8.3;7.3;6.8;7.4;2021
14;413.7;0.8;17.9;23.6;22.5;35.1;14.9;7.6;13.9;32.9;17.6;13.1;6.7;7.7;7.9;7.9;9.0;2021
15;332.1;2.8;17.0;28.8;13.7;37.6;14.7;6.2;11.3;34.2;20.3;13.3;10.1;11.8;12.2;11.0;11.9;2021
16;352.0;2.9;19.4;24.1;15.7;38.0;14.9;4.8;9.1;34.6;22.6;14.0;8.5;11.3;10.5;9.9;11.1;2021
17;342.0;3.5;22.1;26.8;14.1;33.6;15.4;4.5;9.1;35.8;21.4;13.8;7.4;10.8;8.8;8.5;9.5;2021
18;540.0;0.1;15.8;26.8;32.9;24.3;16.8;7.9;16.3;35.4;13.6;9.9;7.6;7.0;8.6;8.1;8.6;2021
19;540.0;0.1;15.8;26.8;32.9;24.3;16.8;7.9;16.3;35.4;13.6;9.9;7.6;7.0;8.6;8.1;8.6;2021
20;540.0;0.1;15.8;26.8;32.9;24.3;16.8;7.9;16.3;35.4;13.6;9.9;7.6;7.0;8.6;8.1;8.6;2021
21;540.0;0.1;15.8;26.8;32.9;24.3;16.8;7.9;16.3;35.4;13.6;9.9;7.6;7.0;8.6;8.1;8.6;2021
22;540.0;0.1;15.8;26.8;32.9;24.3;16.8;7.9;16.3;35.4;13.6;9.9;7.6;7.0;8.6;8.1;8.6;2021
23;540.0;0.1;15.8;26.8;32.9;24.3;16.8;7.9;16.3;35.4;13.6;9.9;7.6;7.0;8.6;8.1;8.6;2021
24;387.2;1.3;30.0;25.1;14.7;28.9;16.5;8.0;11.3;34.2;19.0;11.0;7.7;7.2;8.2;8.0;8.4;2021
25;354.5;1.9;33.4;22.9;14.3;27.5;17.7;8.1;12.3;35.1;17.0;9.8;4.9;4.5;5.5;5.0;5.0;2021
26;331.9;1.3;23.2;23.7;14.4;37.4;15.4;7.7;11.2;32.8;19.4;13.5;7.5;5.8;9.3;8.0;8.5;2021
27;443.8;2.1;18.0;24.3;22.7;32.9;16.2;8.8;13.9;33.9;16.5;10.8;5.4;5.4;6.6;6.2;7.0;2021
28;297.3;2.0;35.8;24.0;10.7;27.6;17.0;7.6;11.0;35.1;17.7;11.5;6.4;6.2;6.5;6.5;6.7;2021
29;257.9;3.6;26.3;25.3;11.8;33.0;16.4;6.7;10.0;34.4;19.7;12.7;6.0;6.2;6.8;6.4;6.7;2021
30;326.2;3.0;27.9;25.0;14.3;29.9;17.3;7.8;11.7;35.2;17.1;10.9;5.4;5.9;5.6;5.7;6.0;2021
31;409.1;1.8;38.7;21.4;13.1;25.0;18.0;7.9;12.0;34.9;17.0;10.2;3.2;2.9;3.7;3.2;3.3;2021
