Wahlkreis_Nr;SVB_insgesamt;SVB_landw_fischerei;SVB_produz_gewerbe;SVB_handel_gast_verkehr;SVB_dienstleister;SVB_uebrige_dienstleister;Alter_unter_18;Alter_18_24;Alter_25_34;Alter_35_59;Alter_60_74;Alter_75_plus;ALQ_frauen;ALQ_15_24;ALQ_55_64;ALQ_insgesamt;ALQ_maenner;year
32;452.1;3.6;42.3;20.8;12.0;21.3;20.0;9.3;13.3;34.7;14.5;8.3;4.6;3.9;5.4;4.6;4.7;2021
33;333.3;2.2;31.5;28.0;12.2;26.1;16.7;7.2;10.8;35.7;17.9;11.8;4.7;5.0;4.9;5.0;5.3;2021
34;303.4;2.2;28.6;28.0;13.1;28.2;17.2;7.0;10.2;35.4;18.3;11.8;3.8;4.1;4.4;3.9;4.1;2021
35;346.4;2.2;24.9;29.0;11.2;32.7;17.0;7.8;11.4;34.7;17.5;11.7;5.5;5.5;6.0;5.7;5.8;2021
36;265.7;2.1;20.9;36.2;15.3;25.6;17.3;7.0;10.0;36.7;17.1;12.0;4.4;4.8;5.6;4.8;5.2;2021
37;317.9;2.2;24.1;22.6;15.5;35.5;16.7;8.0;11.3;35.3;17.3;11.4;6.0;6.5;7.4;6.8;7.5;2021
38;366.5;1.7;38.0;22.5;15.0;22.9;18.2;7.9;11.4;35.1;16.7;10.7;3.5;3.2;4.2;3.7;3.8;2021
39;509.1;0.5;23.7;24.1;20.8;31.0;15.7;10.3;14.8;32.8;15.5;10.9;5.6;4.8;6.5;6.2;6.7;2021
40;308.5;1.3;30.9;22.6;11.7;33.5;16.2;7.4;10.4;34.8;18.3;12.8;5.3;6.7;6.2;5.9;6.5;2021
41;448.2;0.2;20.2;23.0;26.0;30.6;15.7;9.1;17.0;33.6;14.3;10.2;7.4;7.7;7.7;8.2;8.8;2021
42;448.2;0.2;20.2;23.0;26.0;30.6;15.7;9.1;17.0;33.6;14.3;10.2;7.4;7.7;7.7;8.2;8.8;2021
43;448.2;0.2;20.2;23.0;26.0;30.6;17.3;7.2;10.4;35.2;17.1;12.9;7.4;7.7;7.7;8.2;8.8;2021
44;325.6;1.9;27.7;21.0;11.0;38.4;16.5;7.1;10.8;34.1;18.6;12.9;5.5;7.2;6.2;6.4;7.1;2021
45;244.4;1.2;27.8;22.5;17.5;31.0;17.9;7.2;10.9;36.0;17.1;10.9;5.0;5.5;4.7;5.1;5.2;2021
46;341.0;1.2;34.0;18.6;14.2;32.0;15.6;7.0;10.3;33.7;19.2;14.3;6.3;6.3;6.4;7.0;7.7;2021
47;448.2;0.2;20.2;23.0;26.0;30.6;17.3;7.0;10.3;35.2;17.6;12.7;7.4;7.7;7.7;8.2;8.8;2021
48;336.3;0.4;30.4;20.4;13.5;35.2;15.7;8.2;11.4;34.2;17.9;12.6;5.9;6.1;6.7;6.8;7.6;2021
49;329.6;0.7;41.4;18.3;10.8;28.9;16.5;7.6;10.8;34.2;18.3;12.7;7.1;7.5;6.5;7.5;7.7;2021
50;526.8;0.1;21.1;19.1;31.6;28.2;14.7;8.8;16.4;33.1;15.3;11.7;5.3;4.0;6.2;5.7;6.0;2021
51;622.5;0.4;54.4;11.9;16.4;16.9;16.5;6.7;12.6;34.9;17.1;12.2;5.7;6.6;5.4;5.9;6.1;2021
52;345.2;2.3;30.4;21.4;12.3;33.5;14.2;7.3;10.4;33.6;20.1;14.4;5.8;6.9;6.3;6.6;7.3;2021
53;399.4;0.5;23.2;19.0;18.3;39.0;15.3;9.7;13.8;32.4;17.2;11.6;5.6;5.3;5.9;6.3;6.9;2021
54;494.4;0.0;22.7;25.2;24.7;27.4;16.1;8.7;14.7;33.5;15.8;11.3;10.3;10.2;9.5;11.2;11.9;2021
55;481.2;0.0;21.6;27.4;22.4;28.6;16.5;8.6;14.0;33.1;16.4;11.3;11.2;10.7;10.4;12.1;12.8;2021
56;344.2;4.7;27.7;21.2;11.0;35.3;14.7;4.9;9.5;35.5;21.4;14.0;6.6;9.7;7.4;7.3;8.0;2021
57;302.7;3.4;24.9;23.8;11.8;36.1;15.1;4.9;9.1;35.2;21.2;14.4;8.0;11.1;8.9;8.8;9.6;2021
58;272.1;1.8;28.9;27.0;12.7;29.6;17.0;5.6;9.0;38.6;17.9;12.0;5.1;7.8;6.0;5.8;6.5;2021
59;263.5;2.5;22.2;25.8;14.0;35.6;16.3;4.5;9.0;37.9;19.7;12.4;5.4;8.6;6.8;6.3;7.2;2021
60;326.5;1.8;24.3;25.8;16.2;31.9;15.3;4.8;10.0;35.4;20.1;14.4;5.1;7.0;6.1;5.8;6.5;2021
61;411.7;0.9;12.8;19.8;28.9;37.7;18.0;6.7;12.5;36.2;15.3;11.3;4.8;5.8;5.8;5.7;6.5;2021
62;364.0;2.8;26.9;32.8;13.5;24.0;16.1;5.3;9.9;37.2;18.4;13.1;4.6;4.7;5.9;5.1;5.5;2021
63;356.0;1.6;23.5;21.5;14.9;38.5;15.1;5.3;9.3;34.9;20.8;14.6;6.5;9.1;7.7;7.3;8.1;2021
64;387.6;1.2;26.5;20.5;16.1;35.8;14.4;5.2;10.1;34.4;21.1;14.8;6.7;6.3;8.3;7.7;8.6;2021
65;343.0;3.3;33.2;19.6;12.9;31.0;14.2;4.2;8.7;35.3;21.9;15.7;7.2;5.7;9.6;7.7;8.2;2021
66;316.3;4.9;28.3;20.6;10.5;35.6;15.2;5.0;9.6;35.6;21.2;13.4;7.8;9.5;8.8;8.7;9.6;2021
67;341.5;3.2;35.4;26.0;9.1;26.2;15.4;4.6;9.5;36.9;21.0;12.6;5.8;8.1;7.2;6.5;7.2;2021
68;334.8;1.8;31.9;22.2;10.3;33.8;14.0;5.1;9.3;34.6;21.9;15.1;6.3;8.2;7.2;7.1;7.9;2021
69;430.9;0.3;18.2;19.0;24.3;38.1;15.0;7.6;13.5;31.8;17.9;14.1;8.4;8.5;9.8;9.2;9.9;2021
70;371.8;2.1;32.2;19.1;14.4;32.2;13.8;4.5;9.1;33.9;22.1;16.6;7.1;10.4;8.2;8.1;9.0;2021
71;343.1;2.0;34.9;21.0;12.6;29.5;13.9;4.9;9.2;35.3;21.8;14.9;7.7;9.4;8.7;8.4;9.1;2021
72;406.4;0.2;14.1;20.7;25.0;40.0;15.8;8.7;13.5;31.6;17.3;13.1;8.0;9.8;8.6;9.5;10.8;2021
73;334.7;1.9;32.6;24.1;12.2;29.1;14.5;4.6;9.5;35.1;21.2;15.1;6.8;9.4;7.5;7.4;7.9;2021
74;335.3;2.0;32.3;25.7;11.6;28.4;14.3;4.6;8.8;34.7;22.6;15.0;8.3;12.8;8.8;9.1;9.8;2021
75;419.5;0.1;13.2;20.8;32.0;33.9;16.5;7.2;16.7;34.8;14.4;10.3;9.7;11.5;9.9;10.6;11.4;2021
76;419.5;0.1;13.2;20.8;32.0;33.9;16.5;7.2;16.7;34.8;14.4;10.3;9.7;11.5;9.9;10.6;11.4;2021
77;419.5;0.1;13.2;20.8;32.0;33.9;16.5;7.2;16.7;34.8;14.4;10.3;9.7;11.5;9.9;10.6;11.4;2021
78;419.5;0.1;13.2;20.8;32.0;33.9;16.5;7.2;16.7;34.8;14.4;10.3;9.7;11.5;9.9;10.6;11.4;2021
79;419.5;0.1;13.2;20.8;32.0;33.9;16.5;7.2;16.7;34.8;14.4;10.3;9.7;11.5;9.9;10.6;11.4;2021
80;419.5;0.1;13.2;20.8;32.0;33.9;16.5;7.2;16.7;34.8;14.4;10.3;9.7;11.5;9.9;10.6;11.4;2021
81;419.5;0.1;13.2;20.8;32.0;33.9;16.5;7.2;16.7;34.8;14.4;10.3;9.7;11.5;9.9;10.6;11.4;2021
82;419.5;0.1;13.2;20.8;32.0;33.9;16.5;7.2;16.7;34.8;14.4;10.3;9.7;11.5;9.9;10.6;11.4;2021
83;419.5;0.1;13.2;20.8;32.0;33.9;16.5;7.2;16.7;34.8;14.4;10.3;9.7;11.5;9.9;10.6;11.4;2021
84;419.5;0.1;13.2;20.8;32.0;33.9;16.5;7.2;16.7;34.8;14.4;10.3;9.7;11.5;9.9;10.6;11.4;2021
85;419.5;0.1;13.2;20.8;32.0;33.9;16.5;7.2;16.7;34.8;14.4;10.3;9.7;11.5;9.9;10.6;11.4;2021
86;419.5;0.1;13.2;20.8;32.0;33.9;16.5;7.2;16.7;34.8;14.4;10.3;9.7;11.5;9.9;10.6;11.4;2021
87;391.0;0.2;22.2;19.7;22.6;35.3;13.8;15.1;18.8;28.5;14.0;9.8;7.8;5.4;9.0;8.2;8.5;2021
88;391.0;0.2;22.2;19.7;22.6;35.3;16.9;7.5;11.3;35.0;18.0;11.4;7.8;5.4;9.0;8.2;8.5;2021
89;289.9;0.9;29.4;24.0;14.3;31.5;16.9;7.4;11.5;35.7;18.0;10.6;5.6;5.7;6.2;6.0;6.3;2021
90;324.1;0.9;30.1;17.1;22.9;29.1;16.8;7.8;12.0;34.6;18.1;10.7;6.9;7.2;6.3;7.3;7.6;2021
91;309.3;0.7;25.4;30.4;18.6;24.9;17.6;7.4;11.4;35.8;17.2;10.6;7.2;6.4;7.9;7.4;7.5;2021
92;302.7;0.8;26.6;27.5;14.9;30.1;16.7;7.2;11.0;35.5;18.1;11.5;6.4;5.7;7.3;6.7;7.0;2021
93;532.8;0.0;14.0;22.3;37.0;26.7;16.1;8.5;17.1;35.5;13.6;9.2;9.1;7.1;10.8;9.8;10.5;2021
94;532.8;0.0;14.0;22.3;37.0;26.7;16.1;8.5;17.1;35.5;13.6;9.2;9.1;7.1;10.8;9.8;10.5;2021
95;532.8;0.0;14.0;22.3;37.0;26.7;16.1;8.5;17.1;35.5;13.6;9.2;9.1;7.1;10.8;9.8;10.5;2021
96;545.7;0.1;7.3;15.3;31.8;45.6;17.3;10.0;15.7;33.2;13.9;9.8;7.2;5.2;8.8;8.1;8.9;2021
97;273.1;1.0;25.9;24.9;17.7;30.5;17.7;7.5;11.3;35.8;17.1;10.7;5.4;5.2;6.3;5.9;6.5;2021
98;273.1;1.0;25.9;24.9;17.7;30.5;17.4;7.4;10.6;35.0;17.5;12.1;5.4;5.2;6.3;5.9;6.5;2021
99;383.3;0.4;40.8;17.2;17.4;24.1;17.5;7.7;11.2;34.8;17.3;11.4;5.5;5.7;6.9;6.1;6.6;2021
100;265.4;0.4;25.5;22.1;18.4;33.5;16.8;6.8;10.0;35.8;17.6;13.0;5.9;5.7;7.2;6.5;7.0;2021
101;459.4;0.1;23.1;20.7;29.0;27.1;16.7;7.8;14.5;35.4;14.8;10.8;8.5;7.1;9.3;9.2;9.7;2021
102;355.8;0.0;25.3;20.9;21.7;32.1;17.3;8.3;13.5;33.7;16.0;11.3;9.5;10.0;8.8;10.3;11.0;2021
103;363.7;0.1;37.1;18.9;16.3;27.6;17.0;7.5;12.2;34.9;16.5;11.9;7.8;8.3;7.9;8.4;8.9;2021
104;399.7;0.2;29.1;28.5;20.7;21.5;16.7;6.6;10.5;35.0;17.7;13.5;6.6;5.8;7.8;7.2;7.7;2021
105;399.7;0.2;29.1;28.5;20.7;21.5;16.8;6.9;10.4;35.3;17.5;13.1;6.6;5.8;7.8;7.2;7.7;2021
106;690.7;0.1;11.9;22.5;40.7;24.9;16.1;7.1;16.4;35.5;14.4;10.5;7.8;6.6;9.8;8.4;9.1;2021
107;690.7;0.1;11.9;22.5;40.7;24.9;16.1;7.1;16.4;35.5;14.4;10.5;7.8;6.6;9.8;8.4;9.1;2021
108;332.5;0.8;27.7;30.0;17.0;24.5;17.5;7.2;11.5;35.8;16.9;11.1;5.9;4.8;6.2;6.2;6.5;2021
109;386.4;0.2;21.5;27.6;20.6;30.1;16.7;7.8;13.3;34.2;17.2;10.8;10.5;11.3;9.8;10.9;11.3;2021
110;368.8;0.6;29.2;27.1;16.9;26.1;16.8;6.7;10.8;35.6;17.7;12.4;8.1;6.3;8.2;8.5;8.9;2021
111;315.3;2.1;28.1;27.1;15.4;27.3;16.2;7.0;10.8;36.2;18.1;11.7;5.9;4.7;7.2;6.3;6.8;2021
112;332.5;4.8;24.5;24.7;14.6;31.5;16.6;7.9;12.2;35.3;17.7;10.3;5.6;4.6;6.2;5.8;5.9;2021
113;302.9;0.7;26.4;26.0;15.0;31.9;16.0;6.8;10.9;35.2;19.2;12.0;6.5;6.2;6.6;6.9;7.3;2021
114;356.2;0.6;28.8;24.9;16.0;29.7;16.2;7.0;11.9;34.5;18.2;12.1;8.6;7.1;8.6;9.1;9.6;2021
115;350.2;0.1;25.8;24.3;21.6;28.3;17.2;8.2;13.7;34.0;16.0;11.0;13.0;9.2;11.6;12.8;12.6;2021
116;350.2;0.1;25.8;24.3;21.6;28.3;17.2;8.2;13.7;34.0;16.0;11.0;13.0;9.2;11.6;12.8;12.6;2021
117;312.7;0.2;25.4;24.7;19.9;29.8;15.9;7.1;12.5;34.6;18.4;11.6;9.5;7.6;9.2;10.0;10.4;2021
118;373.6;0.1;23.9;21.5;26.2;28.2;16.3;7.2;12.7;33.8;17.3;12.6;9.3;6.9;9.8;9.8;10.3;2021
119;436.1;0.1;17.5;20.9;30.2;31.4;16.3;7.7;14.3;33.4;16.6;11.7;10.9;10.3;9.2;11.5;12.0;2021
120;436.1;0.1;17.5;20.9;30.2;31.4;16.3;7.7;14.3;33.4;16.6;11.7;10.9;10.3;9.2;11.5;12.0;2021
121;279.1;0.5;25.2;23.1;14.2;37.1;16.0;7.0;11.2;34.9;19.3;11.7;8.6;7.3;9.0;9.2;9.7;2021
122;279.1;0.5;25.2;23.1;14.2;37.1;16.0;7.2;11.0;35.0;18.8;12.0;8.6;7.3;9.0;9.2;9.7;2021
123;315.4;0.1;21.7;20.8;22.5;34.9;17.9;8.0;12.9;33.7;16.9;10.6;15.5;13.4;13.1;15.8;16.1;2021
124;379.8;1.1;36.2;24.3;13.0;25.4;18.6;8.5;12.2;35.1;15.8;9.9;4.3;3.7;4.8;4.3;4.4;2021
125;276.7;0.5;24.0;23.5;14.5;37.4;16.5;7.3;11.4;34.6;18.7;11.5;8.3;7.5;8.3;9.0;9.6;2021
126;403.8;1.2;40.7;21.2;13.0;23.8;17.9;7.7;11.9;35.6;16.7;10.2;4.0;3.2;5.0;4.0;4.0;2021
127;328.3;1.9;29.9;24.1;13.7;30.4;17.6;7.6;10.7;35.7;17.8;10.6;3.1;3.0;3.9;3.4;3.6;2021
128;363.7;1.0;32.9;26.6;13.0;26.6;17.9;7.9;11.4;35.6;16.7;10.4;4.4;4.1;4.8;4.5;4.6;2021
129;554.3;0.4;12.6;18.6;29.0;39.4;15.0;12.4;17.9;31.8;13.6;9.4;4.6;3.3;6.0;5.3;5.9;2021
130;337.2;1.5;39.8;19.1;13.6;26.0;17.7;7.7;11.0;35.2;17.3;11.1;5.0;4.3;5.6;5.1;5.2;2021
131;499.5;0.7;47.9;19.7;15.0;16.8;18.0;8.0;12.1;35.7;15.8;10.5;4.6;3.9;4.8;4.6;4.6;2021
132;476.3;0.2;22.1;22.5;20.8;34.4;17.2;9.2;14.3;33.1;15.1;11.1;8.4;7.0;9.1;8.9;9.3;2021
133;383.9;0.5;39.7;22.3;12.4;25.2;17.0;7.4;11.2;34.9;17.2;12.2;5.6;6.0;6.4;6.1;6.5;2021
134;417.4;0.5;34.3;20.2;14.5;30.6;17.7;7.7;11.3;34.0;17.5;11.8;5.3;6.3;5.3;5.9;6.4;2021
135;331.3;0.8;36.5;19.1;12.2;31.4;17.8;7.6;11.2;33.3;17.6;12.4;5.9;5.9;6.1;6.4;6.8;2021
136;343.5;1.0;37.2;21.3;11.5;29.1;17.3;7.6;10.9;34.4;17.9;11.8;4.4;4.5;5.5;4.9;5.3;2021
137;388.6;0.8;30.5;20.3;18.8;29.6;17.6;9.4;14.1;33.8;15.8;9.3;5.5;4.5;6.9;5.9;6.1;2021
138;359.5;0.1;29.7;23.3;14.9;32.0;17.0;7.5;11.9;33.9;17.4;12.2;9.8;8.9;9.5;10.5;11.1;2021
139;333.8;0.2;35.8;21.1;12.6;30.2;15.2;7.0;11.4;34.9;18.7;12.8;6.4;6.2;6.8;7.1;7.8;2021
140;375.8;0.0;17.3;22.7;22.0;37.9;14.7;8.8;14.7;32.8;17.2;11.7;8.9;6.9;10.4;9.8;10.6;2021
141;328.2;0.0;21.2;22.6;17.8;38.5;15.7;8.3;13.3;33.8;17.2;11.6;10.4;9.6;10.1;11.3;12.0;2021
142;419.6;0.1;17.6;23.7;26.7;32.0;16.4;8.5;14.4;33.8;16.0;10.9;11.6;10.1;10.7;12.1;12.6;2021
143;419.6;0.1;17.6;23.7;26.7;32.0;16.4;8.5;14.4;33.8;16.0;10.9;11.6;10.1;10.7;12.1;12.6;2021
144;331.8;0.3;26.9;28.9;16.7;27.2;16.2;7.2;10.8;35.1;18.6;12.1;7.3;6.2;7.7;8.0;8.6;2021
145;334.5;0.2;25.1;27.3;16.5;30.9;17.1;8.0;11.9;34.3;17.4;11.2;8.2;6.8;7.7;8.8;9.3;2021
146;369.8;1.3;38.1;20.3;12.0;28.3;17.0;7.5;11.4;35.2;17.5;11.3;5.6;4.8;7.1;6.0;6.3;2021
147;411.9;0.9;41.4;18.5;11.5;27.7;16.4;7.4;11.5;35.0;17.9;11.8;4.6;4.0;5.1;4.8;4.9;2021
148;421.3;0.2;40.8;20.4;12.9;25.7;16.4;8.5;12.8;33.5;17.5;11.3;5.5;5.7;6.4;6.0;6.3;2021
149;415.7;0.4;51.5;15.6;10.4;22.0;17.1;7.5;11.7;35.3;17.2;11.2;5.7;5.1;6.5;6.0;6.2;2021
150;390.9;0.3;49.5;16.3;10.6;23.3;16.6;7.4;11.3;35.1;17.7;12.0;7.1;6.5;7.7;7.5;7.9;2021
151;375.1;2.9;28.9;31.3;9.8;27.1;15.8;4.6;9.2;36.1;20.4;14.0;6.9;10.3;9.1;7.4;7.7;2021
152;462.0;0.1;15.5;21.5;32.8;30.1;16.0;8.8;17.9;31.7;13.7;11.8;7.5;7.7;9.0;8.3;9.1;2021
153;462.0;0.1;15.5;21.5;32.8;30.1;16.0;8.8;17.9;31.7;13.7;11.8;7.5;7.7;9.0;8.3;9.1;2021
154;305.7;2.0;32.3;24.4;10.6;30.8;16.1;4.4;8.6;36.1;20.5;14.3;5.4;7.7;6.9;6.1;6.8;2021
155;366.8;2.4;34.6;24.8;10.7;27.5;16.2;4.4;8.6;35.1;20.0;15.7;5.8;5.5;8.1;6.3;6.7;2021
156;377.7;1.6;35.9;20.5;12.5;29.5;15.8;4.3;8.4;34.7;21.2;15.6;5.1;5.8;7.7;5.7;6.2;2021
157;342.7;2.0;32.1;18.7;11.2;35.9;15.0;4.8;8.4;33.3;21.8;16.7;7.7;8.6;11.9;8.9;10.1;2021
158;323.9;2.0;35.7;20.0;9.0;33.3;16.8;4.6;8.9;34.6;19.7;15.4;4.8;6.7;6.9;5.6;6.2;2021
159;486.5;0.2;17.5;19.3;27.0;36.0;16.9;8.5;15.9;31.6;14.2;12.9;6.1;6.7;8.0;6.7;7.3;2021
160;469.4;0.3;19.8;19.5;25.2;35.1;17.1;7.9;14.8;32.3;14.9;13.1;5.9;6.6;7.9;6.6;7.1;2021
161;356.6;2.6;36.1;20.4;11.0;29.8;15.3;5.1;9.8;33.7;20.8;15.3;5.0;6.0;7.0;5.5;6.0;2021
162;471.5;0.2;22.1;19.5;25.9;32.3;15.2;6.5;13.0;30.9;18.8;15.6;7.1;9.6;9.2;7.9;8.5;2021
163;362.1;1.6;38.6;19.6;10.6;29.5;15.4;4.5;8.3;34.0;22.2;15.7;4.8;5.7;6.8;5.3;5.8;2021
164;338.7;1.4;42.0;18.2;7.8;30.6;15.3;4.7;8.2;33.2;23.4;15.1;4.6;5.9;6.6;5.3;5.9;2021
165;392.2;0.9;37.5;20.4;13.0;28.3;14.6;5.1;9.5;33.5;21.2;16.1;4.8;5.3;6.7;5.3;5.6;2021
166;358.1;1.6;36.9;20.0;11.0;30.5;14.4;4.7;8.7;33.6;22.1;16.5;5.1;7.6;6.7;6.1;7.0;2021
167;354.2;0.8;40.8;20.3;9.4;28.6;15.9;7.0;10.6;34.7;19.1;12.8;4.0;4.5;4.7;4.4;4.7;2021
168;471.8;0.2;26.0;21.1;19.3;33.4;15.9;8.9;14.5;32.9;16.5;11.4;6.6;6.2;7.0;7.3;7.9;2021
169;351.2;1.2;28.7;29.6;10.5;30.0;15.6;7.1;10.9;33.9;19.5;13.1;4.5;5.5;5.5;5.0;5.4;2021
170;335.8;0.8;33.5;24.3;11.2;30.3;15.9;7.0;10.9;35.3;19.0;12.0;4.0;4.5;4.3;4.4;4.7;2021
171;374.7;0.3;36.2;14.7;13.0;35.7;16.0;10.7;14.0;32.9;16.2;10.2;4.0;4.7;4.3;4.6;5.1;2021
172;372.2;0.2;39.0;20.1;13.7;26.9;16.5;7.4;11.6;34.9;18.0;11.7;5.2;5.0;5.9;5.7;6.2;2021
173;362.0;0.4;25.8;22.4;15.1;36.3;15.7;10.6;14.8;32.4;16.5;10.0;5.0;4.6;5.2;5.8;6.5;2021
174;400.9;0.5;30.3;23.8;17.5;27.9;16.6;8.0;12.0;34.4;17.4;11.7;3.4;3.5;3.8;3.8;4.1;2021
175;313.9;0.5;31.2;23.8;18.1;26.3;15.9;7.2;11.0;35.5;18.8;11.4;4.9;5.7;4.8;5.2;5.5;2021
176;383.2;0.3;21.9;21.7;30.2;25.9;17.5;6.8;10.1;36.5;17.2;11.9;4.9;5.9;5.3;5.1;5.4;2021
177;284.5;0.7;25.4;25.3;18.8;29.8;16.9;7.3;11.5;36.4;16.8;11.1;4.3;4.6;4.8;4.8;5.2;2021
178;272.1;0.8;28.5;23.4;15.6;31.7;16.5;7.3;10.8;35.8;18.0;11.7;4.6;4.8;4.9;5.1;5.4;2021
179;494.1;0.1;15.7;19.2;30.4;34.6;17.8;8.1;13.2;34.9;15.1;10.9;8.0;7.9;8.2;8.1;8.2;2021
180;326.5;0.4;33.1;23.6;18.5;24.5;17.5;7.5;12.1;35.6;16.6;10.7;5.3;6.2;4.9;5.5;5.7;2021
181;430.3;0.2;15.1;23.8;37.4;23.6;18.3;6.7;10.4;36.8;15.6;12.1;4.6;5.2;5.2;4.8;5.0;2021
182;788.9;0.0;10.2;26.6;44.2;18.9;16.9;7.6;18.1;36.8;12.7;7.9;6.9;7.1;8.1;7.3;7.6;2021
183;788.9;0.0;10.2;26.6;44.2;18.9;16.9;7.6;18.1;36.8;12.7;7.9;6.9;7.1;8.1;7.3;7.6;2021
184;360.7;0.4;28.9;31.1;19.6;19.9;17.9;7.8;12.9;35.9;15.4;10.0;6.0;5.7;5.8;6.1;6.2;2021
185;358.3;0.2;22.8;27.5;27.3;22.3;18.2;7.6;13.6;35.2;15.1;10.2;8.0;8.2;8.0;7.7;7.5;2021
186;444.1;0.4;26.9;18.1;26.7;27.9;16.8;9.2;14.7;33.9;15.5;9.9;5.5;5.0;6.2;5.7;5.9;2021
