Wahlkreis_Nr;Population;year
1;291.3;2021
2;235.0;2021
3;221.0;2021
4;252.1;2021
5;268.8;2021
6;223.0;2021
7;316.1;2021
8;320.6;2021
9;220.6;2021
10;319.6;2021
11;235.6;2021
12;269.2;2021
13;249.3;2021
14;276.5;2021
15;294.4;2021
16;267.4;2021
17;251.3;2021
18;360.311;2021
19;267.9;2021
20;260.3;2021
21;289.2;2021
22;326.9;2021
23;342.7;2021
24;239.6;2021
25;321.3;2021
26;231.7;2021
27;293.9;2021
28;297.0;2021
29;234.9;2021
30;256.3;2021
31;313.5;2021
32;313.5;2021
33;247.9;2021
34;251.1;2021
35;215.8;2021
36;254.4;2021
37;232.6;2021
38;265.0;2021
39;258.3;2021
40;248.4;2021
41;260.1;2021
42;276.8;2021
43;306.4;2021
44;271.4;2021
45;284.8;2021
46;236.2;2021
47;313.8;2021
48;275.8;2021
49;266.2;2021
50;249.4;2021
51;242.2;2021
52;250.4;2021
53;284.7;2021
54;356.9;2021
55;324.3;2021
56;208.9;2021
57;220.6;2021
58;305.1;2021
59;279.4;2021
60;248.7;2021
61;302.7;2021
62;311.4;2021
63;236.6;2021
64;213.4;2021
65;195.2;2021
66;194.4;2021
67;260.5;2021
68;248.2;2021
69;292.4;2021
70;205.1;2021
71;257.9;2021
72;272.1;2021
73;225.7;2021
74;238.5;2021
75;377.4;2021
76;329.8;2021
77;260.2;2021
78;272.0;2021
79;293.9;2021
80;286.1;2021
81;343.6;2021
82;321.1;2021
83;354.0;2021
84;271.1;2021
85;270.2;2021
86;290.1;2021
87;249.0;2021
88;308.1;2021
89;255.6;2021
90;264.6;2021
91;340.1;2021
92;324.1;2021
93;297.6;2021
94;330.8;2021
95;309.7;2021
96;329.7;2021
97;314.9;2021
98;285.9;2021
99;272.1;2021
100;283.3;2021
101;313.5;2021
102;313.0;2021
103;312.7;2021
104;268.9;2021
105;216.7;2021
106;331.8;2021
107;290.1;2021
108;295.3;2021
109;261.0;2021
110;271.5;2021
111;298.9;2021
112;312.5;2021
113;261.5;2021
114;243.5;2021
115;245.6;2021
116;253.1;2021
117;278.1;2021
118;253.2;2021
119;246.6;2021
120;253.6;2021
121;214.1;2021
122;249.8;2021
123;259.6;2021
124;275.8;2021
125;267.9;2021
126;260.8;2021
127;247.3;2021
128;256.3;2021
129;315.3;2021
130;277.8;2021
131;326.9;2021
132;345.3;2021
133;299.2;2021
134;261.8;2021
135;293.2;2021
136;221.4;2021
137;307.8;2021
138;287.0;2021
139;225.8;2021
140;277.7;2021
141;244.4;2021
142;283.4;2021
143;304.8;2021
144;252.9;2021
145;321.9;2021
146;301.8;2021
147;259.8;2021
148;276.9;2021
149;276.1;2021
150;268.1;2021
151;197.7;2021
152;293.1;2021
153;300.0;2021
154;258.1;2021
155;241.7;2021
156;252.5;2021
157;252.7;2021
158;245.6;2021
159;302.1;2021
160;302.0;2021
161;240.3;2021
162;246.3;2021
163;214.2;2021
164;256.6;2021
165;243.0;2021
166;226.0;2021
167;234.2;2021
168;304.8;2021
169;221.3;2021
170;235.9;2021
171;247.1;2021
172;275.9;2021
173;293.6;2021
174;273.1;2021
175;233.9;2021
176;252.3;2021
177;243.0;2021
178;298.0;2021
179;278.5;2021
180;262.0;2021
181;284.2;2021
182;380.1;2021
183;383.2;2021
184;275.7;2021
185;367.1;2021
186;349.9;2021
187;323.5;2021
188;270.3;2021
189;257.6;2021
190;263.5;2021
191;256.4;2021
192;241.2;2021
193;285.7;2021
194;279.9;2021
195;266.5;2021
196;282.6;2021
197;311.6;2021
198;250.2;2021
199;259.8;2021
200;218.9;2021
201;239.3;2021
202;217.8;2021
203;260.9;2021
204;272.8;2021
205;353.6;2021
206;289.7;2021
207;324.2;2021
208;287.9;2021
209;298.2;2021
210;222.7;2021
211;286.4;2021
212;227.4;2021
213;281.8;2021
214;337.8;2021
215;333.8;2021
216;338.0;2021
217;372.8;2021
218;391.4;2021
219;340.2;2021
220;379.9;2021
221;350.5;2021
222;324.9;2021
223;227.9;2021
224;297.4;2021
225;283.2;2021
226;223.9;2021
227;211.6;2021
228;343.5;2021
229;231.7;2021
230;231.1;2021
231;226.3;2021
232;279.8;2021
233;340.2;2021
234;282.8;2021
235;209.2;2021
236;241.1;2021
237;206.6;2021
238;197.3;2021
239;210.6;2021
240;209.8;2021
241;321.1;2021
242;257.1;2021
243;340.1;2021
244;290.3;2021
245;269.0;2021
246;297.5;2021
247;245.2;2021
248;267.3;2021
249;254.9;2021
250;260.0;2021
251;290.2;2021
252;324.6;2021
253;331.3;2021
254;259.1;2021
255;337.5;2021
256;307.1;2021
257;339.8;2021
258;310.8;2021
259;325.1;2021
260;370.0;2021
261;251.6;2021
262;298.7;2021
263;258.1;2021
264;322.4;2021
265;330.4;2021
266;331.6;2021
267;362.0;2021
268;309.4;2021
269;246.2;2021
270;305.5;2021
271;312.1;2021
272;287.1;2021
273;286.6;2021
274;324.7;2021
275;310.7;2021
276;276.0;2021
277;271.1;2021
278;272.1;2021
279;325.5;2021
280;277.4;2021
281;320.8;2021
282;324.2;2021
283;298.2;2021
284;278.4;2021
285;280.6;2021
286;233.3;2021
287;286.3;2021
288;249.5;2021
289;287.0;2021
290;278.4;2021
291;323.9;2021
292;230.5;2021
293;239.1;2021
294;256.2;2021
295;248.8;2021
296;271.4;2021
297;262.4;2021
298;212.6;2021
299;240.5;2021
