Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;listenplatz;jahr
Gero;Storjohann;1958;CDU;Segeberg – Stormarn-Mitte;-1;-1;2021
Bengt Axel;Bergt;1982;SPD;Segeberg – Stormarn-Mitte;-1;-1;2021
Jan;Schupp;1973;FDP;Segeberg – Stormarn-Mitte;-1;-1;2021
Nils;Bollenbach;2000;GRÜNE;Segeberg – Stormarn-Mitte;-1;-1;2021
Sven;Wendorf;1972;AfD;Segeberg – Stormarn-Mitte;-1;-1;2021
Malin;Schultz;1995;DIE LINKE;Segeberg – Stormarn-Mitte;-1;-1;2021
Beate;Schreiber;1979;Die PARTEI;Segeberg – Stormarn-Mitte;-1;-1;2021
Julia;Glagau;1983;FREIE WÄHLER;Segeberg – Stormarn-Mitte;-1;-1;2021
Claudia;Westphal;1973;dieBasis;Segeberg – Stormarn-Mitte;-1;-1;2021
Ingo Adolf August;Gädechens;1960;CDU;Ostholstein – Stormarn-Nord;-1;-1;2021
Bettina;Hagedorn;1955;SPD;Ostholstein – Stormarn-Nord;-1;-1;2021
Jörg;Hansen;1964;FDP;Ostholstein – Stormarn-Nord;-1;-1;2021
Jakob;Brunken;1987;GRÜNE;Ostholstein – Stormarn-Nord;-1;-1;2021
Uwe;Witt;1959;AfD;Ostholstein – Stormarn-Nord;-1;-1;2021
Susanne;Spethmann;1979;DIE LINKE;Ostholstein – Stormarn-Nord;-1;-1;2021
David Frederic;Gutzeit;2001;FREIE WÄHLER;Ostholstein – Stormarn-Nord;-1;-1;2021
Michael;Metzig;1964;dieBasis;Ostholstein – Stormarn-Nord;-1;-1;2021
Mergim René;Schlüter;1995;EB: Schlüter;Ostholstein – Stormarn-Nord;-1;-1;2021
Thomas;Peters;1975;CDU;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;2021
Nina;Scheer;1971;SPD;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;2021
Martin;Turowski;1973;FDP;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;2021
Konstantin;Notz;1971;GRÜNE;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;2021
Wiebke;Neumann;1974;AfD;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;2021
Christoph Ulrich;Hinrichs;1967;DIE LINKE;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;2021
Arne;Schönfelder;1970;Die PARTEI;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;2021
Christian;Runge;1978;FREIE WÄHLER;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;2021
Matthias;Micklich;1963;dieBasis;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;2021
Peter Johannes;Schlüter;1955;DKP;Herzogtum Lauenburg – Stormarn-Süd;-1;-1;2021
Claudia;Schmidtke;1966;CDU;Lübeck;-1;-1;2021
Tim;Klüssendorf;1991;SPD;Lübeck;-1;-1;2021
Heike Margit;Stegemann;1964;FDP;Lübeck;-1;-1;2021
Bruno;Hönel;1996;GRÜNE;Lübeck;-1;-1;2021
David;Jenniches;1977;AfD;Lübeck;-1;-1;2021
Emil;Tankacheyev;2002;DIE LINKE;Lübeck;-1;-1;2021
Alexander Sebastian;Schacht;1982;Die PARTEI;Lübeck;-1;-1;2021
Gregor;Voht;1990;FREIE WÄHLER;Lübeck;-1;-1;2021
Lüder Paul Wilhelm;Möller;1949;MLPD;Lübeck;-1;-1;2021
Uta;Kemper;1960;dieBasis;Lübeck;-1;-1;2021
Wilfried Emil;Link;1944;DKP;Lübeck;-1;-1;2021
Jennifer;Wobusa;1992;du.;Lübeck;-1;-1;2021
Lutz Artur Heinz;Nielsen;1958;LKR;Lübeck;-1;-1;2021
Fabio;Sánchez Copano;1996;Volt;Lübeck;-1;-1;2021
Thorsten;Kerkhoff;1969;EB: Kerkhoff;Lübeck;-1;-1;2021
Dietrich;Monstadt;1957;CDU;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;2021
Steffen;Beckmann;1978;AfD;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;2021
Ina;Latendorf;1971;DIE LINKE;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;2021
Reem;Alabali-Radovan;1990;SPD;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;2021
Yannik;Meffert;1995;FDP;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;2021
Claudia;Tamm;1968;GRÜNE;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;2021
Alrik;Stoffers;1990;Die PARTEI;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;2021
Anja;Klähn;1982;FREIE WÄHLER;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;2021
Bert;Beckmann;1958;MLPD;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;2021
Fritz Wolfgang Eberhard;Gericke;1949;dieBasis;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;2021
Karsten Erich Theodor;Jagau;1956;PIRATEN;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;-1;-1;2021
Simone;Borchardt;1967;CDU;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;2021
Andreas-Michael;Mrachacz;1953;AfD;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;2021
Judith;Keller;1964;DIE LINKE;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;2021
Frank Michael;Junge;1967;SPD;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;2021
Daniel;Bohl;1972;FDP;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;2021
Martin;Mölau;1987;GRÜNE;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;2021
Torsten;Neitzel;1966;FREIE WÄHLER;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;2021
Stephanie Gisela Rosa;Zajonc;1978;dieBasis;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;2021
Rainer;Löwe;1953;EB: Löwe;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;-1;-1;2021
Peter;Stein;1968;CDU;Rostock – Landkreis Rostock II;-1;-1;2021
Tobias;Pontow;1987;AfD;Rostock – Landkreis Rostock II;-1;-1;2021
Dietmar Gerhard;Bartsch;1958;DIE LINKE;Rostock – Landkreis Rostock II;-1;-1;2021
Katrin;Zschau;1976;SPD;Rostock – Landkreis Rostock II;-1;-1;2021
Hagen;Reinhold;1978;FDP;Rostock – Landkreis Rostock II;-1;-1;2021
Andreas;Tesche;1958;GRÜNE;Rostock – Landkreis Rostock II;-1;-1;2021
Seraphine Antonia;Jörn;2001;Tierschutzpartei;Rostock – Landkreis Rostock II;-1;-1;2021
Christine;Dubberke;1980;FREIE WÄHLER;Rostock – Landkreis Rostock II;-1;-1;2021
Eric;Dunst;1995;MLPD;Rostock – Landkreis Rostock II;-1;-1;2021
Susanne Franziska Gertrud;Kreft;1964;dieBasis;Rostock – Landkreis Rostock II;-1;-1;2021
Jan-Peter;Rühmann;1967;PIRATEN;Rostock – Landkreis Rostock II;-1;-1;2021
Georg;Günther;1988;CDU;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;2021
Leif-Erik;Holm;1970;AfD;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;2021
Kerstin;Kassner;1958;DIE LINKE;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;2021
Anna Katharina;Kassautzki;1993;SPD;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;2021
Sebastian;Adler;1984;FDP;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;2021
Claudia Heike;Müller;1981;GRÜNE;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;2021
Robert;Gabel;1979;Tierschutzpartei;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;2021
Mark Peter;Pistor;1973;Die PARTEI;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;2021
Heidelind;Holthusen;1949;FREIE WÄHLER;Vorpommern-Rügen – Vorpommern-Greifswald I;-1;-1;2021
