Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;listenplatz;jahr
Thomas Josef;Schlenker;1963;GRÜNE;Börde – Jerichower Land;-1;-1;2021
Marcel;Nakoinz;1987;Tierschutzallianz;Börde – Jerichower Land;-1;-1;2021
André;Futh;1980;FREIE WÄHLER;Börde – Jerichower Land;-1;-1;2021
Bettina;Graf;1968;dieBasis;Börde – Jerichower Land;-1;-1;2021
Carina;Hansen;1960;Tierschutzpartei;Börde – Jerichower Land;-1;-1;2021
Heike Martina;Brehmer;1962;CDU;Harz;-1;-1;2021
Sören;Stefanowicz;1974;AfD;Harz;-1;-1;2021
Karsten;Lippmann;1978;DIE LINKE;Harz;-1;-1;2021
Maik;Berger;1973;SPD;Harz;-1;-1;2021
Denise;Köcke;1998;FDP;Harz;-1;-1;2021
Wolfgang;Strauhs;1964;GRÜNE;Harz;-1;-1;2021
Carlo;Gottschalk;1962;FREIE WÄHLER;Harz;-1;-1;2021
Uwe;Rohrbeck;1976;dieBasis;Harz;-1;-1;2021
Thomas;Barth;1956;EB: Barth;Harz;-1;-1;2021
Tino;Sorge;1975;CDU;Magdeburg;-1;-1;2021
Frank;Pasemann;1960;AfD;Magdeburg;-1;-1;2021
Chris;Scheunchen;1990;DIE LINKE;Magdeburg;-1;-1;2021
Martin;Kröber;1992;SPD;Magdeburg;-1;-1;2021
Fabian;Horn;1985;FDP;Magdeburg;-1;-1;2021
Urs Justus Jasper Gregor;Liebau;1994;GRÜNE;Magdeburg;-1;-1;2021
Aila;Fassl;1987;Tierschutzallianz;Magdeburg;-1;-1;2021
Eckhard Horst;Schröder;1955;FREIE WÄHLER;Magdeburg;-1;-1;2021
Luisa;Graviat;2001;Die PARTEI;Magdeburg;-1;-1;2021
Roland;Zander;1965;Gartenpartei;Magdeburg;-1;-1;2021
Daniel Alexander;Wiegenstein;1958;MLPD;Magdeburg;-1;-1;2021
Reiner;Füllmich;1958;dieBasis;Magdeburg;-1;-1;2021
Peter;Pokrzywnicki;1967;ÖDP;Magdeburg;-1;-1;2021
Franka;Kretschmer;1981;#TeamFranka;Magdeburg;-1;-1;2021
Sepp;Müller;1989;CDU;Dessau – Wittenberg;-1;-1;2021
Andreas;Mrosek;1958;AfD;Dessau – Wittenberg;-1;-1;2021
Johannes;Hüthel;1998;DIE LINKE;Dessau – Wittenberg;-1;-1;2021
Leonard;Schneider;2001;SPD;Dessau – Wittenberg;-1;-1;2021
Alexander Martin;Oppelt;1979;FDP;Dessau – Wittenberg;-1;-1;2021
Steffi;Lemke;1968;GRÜNE;Dessau – Wittenberg;-1;-1;2021
Steven;Slavicek;1989;FREIE WÄHLER;Dessau – Wittenberg;-1;-1;2021
Ernst;Wolff;1950;dieBasis;Dessau – Wittenberg;-1;-1;2021
Mario;Rohne;1983;EB: Rohne;Dessau – Wittenberg;-1;-1;2021
Günther;Wassenaar;1947;EB: Wassenaar;Dessau – Wittenberg;-1;-1;2021
Frank;Wyszkowski;1987;CDU;Anhalt;-1;-1;2021
Kay-Uwe;Ziegler;1963;AfD;Anhalt;-1;-1;2021
Jan;Korte;1977;DIE LINKE;Anhalt;-1;-1;2021
Anne;Stamm;1985;SPD;Anhalt;-1;-1;2021
Thorben;Fiedler;1996;FDP;Anhalt;-1;-1;2021
Hans Jakob Charles;Schweizer;1977;GRÜNE;Anhalt;-1;-1;2021
Ronny;Schneider;1982;FREIE WÄHLER;Anhalt;-1;-1;2021
Alkje;Fontes;1978;dieBasis;Anhalt;-1;-1;2021
Johanna;Zimmermann;1950;EB: Zimmermann;Anhalt;-1;-1;2021
Christoph;Bernstiel;1984;CDU;Halle;-1;-1;2021
Alexander;Raue;1973;AfD;Halle;-1;-1;2021
Petra;Sitte;1960;DIE LINKE;Halle;-1;-1;2021
Karamba;Diaby;1961;SPD;Halle;-1;-1;2021
Yana;Mark;1989;FDP;Halle;-1;-1;2021
Inés;Brock;1964;GRÜNE;Halle;-1;-1;2021
Andrea;Menke;1969;FREIE WÄHLER;Halle;-1;-1;2021
Jakob;Brand;1996;Die PARTEI;Halle;-1;-1;2021
Adrian Manuel;Mauson;1992;MLPD;Halle;-1;-1;2021
Stephan;Kohn;1962;dieBasis;Halle;-1;-1;2021
Dieter;Stier;1964;CDU;Burgenland – Saalekreis;-1;-1;2021
Martin;Reichardt;1969;AfD;Burgenland – Saalekreis;-1;-1;2021
Birke;Bull-Bischoff;1963;DIE LINKE;Burgenland – Saalekreis;-1;-1;2021
Jens;Wojtyschak;1987;SPD;Burgenland – Saalekreis;-1;-1;2021
Carsten;Sonntag;1979;FDP;Burgenland – Saalekreis;-1;-1;2021
Martina;Hoffmann;1979;GRÜNE;Burgenland – Saalekreis;-1;-1;2021
Jens;Jahr;1967;dieBasis;Burgenland – Saalekreis;-1;-1;2021
Torsten;Schweiger;1968;CDU;Mansfeld;-1;-1;2021
Robert;Farle;1950;AfD;Mansfeld;-1;-1;2021
Daniel;Feuerberg;1986;DIE LINKE;Mansfeld;-1;-1;2021
Katrin;Budde;1965;SPD;Mansfeld;-1;-1;2021
Ingo;Bodtke;1965;FDP;Mansfeld;-1;-1;2021
Mika-Sören;Erdmann;2000;GRÜNE;Mansfeld;-1;-1;2021
Sarah Katharina;Biedermann;1997;FREIE WÄHLER;Mansfeld;-1;-1;2021
Pierre;Kynast;1973;dieBasis;Mansfeld;-1;-1;2021
Ottilie Paola;Klein;1984;CDU;Berlin-Mitte;-1;-1;2021
Martin;Neise;1988;DIE LINKE;Berlin-Mitte;-1;-1;2021
Annika Gisela;Klose;1992;SPD;Berlin-Mitte;-1;-1;2021
Hanna;Steinmüller;1993;GRÜNE;Berlin-Mitte;-1;-1;2021
Beatrix;Storch;1971;AfD;Berlin-Mitte;-1;-1;2021
Anna;Kryszan;1995;FDP;Berlin-Mitte;-1;-1;2021
Martin Gregor;Pohlmann;1973;Die PARTEI;Berlin-Mitte;-1;-1;2021
Georg Daniel;Tsambasis;1989;Tierschutzpartei;Berlin-Mitte;-1;-1;2021
Torsten;Schwald;1974;PIRATEN;Berlin-Mitte;-1;-1;2021
Richard;Borrmann;1982;ÖDP;Berlin-Mitte;-1;-1;2021
Annegret;Höcker;1954;MLPD;Berlin-Mitte;-1;-1;2021
Rudolf;Fritz;1959;LKR;Berlin-Mitte;-1;-1;2021
Juliane;Mörsel;1989;Die Humanisten;Berlin-Mitte;-1;-1;2021
Valerie Susanne Magdalena;Sternberg-Mottaghi Irvani;1991;Volt;Berlin-Mitte;-1;-1;2021
Ulrike Viviane;Fischer;1970;dieBasis;Berlin-Mitte;-1;-1;2021
Michael;Fielsch;1965;EB: Fielsch;Berlin-Mitte;-1;-1;2021
Ayman;Zebian;1965;EB: Zebian;Berlin-Mitte;-1;-1;2021
Manuela;Anders-Granitzki;1978;CDU;Berlin-Pankow;-1;-1;2021
Udo;Wolf;1962;DIE LINKE;Berlin-Pankow;-1;-1;2021
Klaus;Mindrup;1964;SPD;Berlin-Pankow;-1;-1;2021
Stefan;Gelbhaar;1976;GRÜNE;Berlin-Pankow;-1;-1;2021
Götz;Frömming;1968;AfD;Berlin-Pankow;-1;-1;2021
Daniela Kathrin;Kluckert;1980;FDP;Berlin-Pankow;-1;-1;2021
Jannis;Kiesewalter;1989;Die PARTEI;Berlin-Pankow;-1;-1;2021
Elke;Weihusen;1972;Tierschutzpartei;Berlin-Pankow;-1;-1;2021
Marianne;Utz;1955;PIRATEN;Berlin-Pankow;-1;-1;2021
Ilja;Schwärsky-von Brünken;1979;FREIE WÄHLER;Berlin-Pankow;-1;-1;2021
Felix;Werth;1978;Gesundheitsforschung;Berlin-Pankow;-1;-1;2021
Thomas Georg;Kuhn;1964;ÖDP;Berlin-Pankow;-1;-1;2021
Paul Daniel;Seifert;1993;LKR;Berlin-Pankow;-1;-1;2021
Paul-Johann Georg;Loeper;1989;Volt;Berlin-Pankow;-1;-1;2021
Monika;Grütters;1962;CDU;Berlin-Reinickendorf;-1;-1;2021
Hakan;Taş;1966;DIE LINKE;Berlin-Reinickendorf;-1;-1;2021
Torsten;Einstmann;1965;SPD;Berlin-Reinickendorf;-1;-1;2021
Bernd;Schwarz;1980;GRÜNE;Berlin-Reinickendorf;-1;-1;2021
Sebastian;Maack;1969;AfD;Berlin-Reinickendorf;-1;-1;2021
Friedrich Jan;Ohnesorge;1979;FDP;Berlin-Reinickendorf;-1;-1;2021
Pauline;Klimas;1987;Die PARTEI;Berlin-Reinickendorf;-1;-1;2021
Friederike;Nabrdalik;1994;Tierschutzpartei;Berlin-Reinickendorf;-1;-1;2021
Michael;Schulz;1977;Die Grauen;Berlin-Reinickendorf;-1;-1;2021
Dirk;Steffel;1969;FREIE WÄHLER;Berlin-Reinickendorf;-1;-1;2021
Andreas;Neumann;1990;ÖDP;Berlin-Reinickendorf;-1;-1;2021
Manfred;Salzmann;1957;dieBasis;Berlin-Reinickendorf;-1;-1;2021
Joe;Chialo;1970;CDU;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Helin Evrim;Sommer;1971;DIE LINKE;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Helmut;Kleebank;1964;SPD;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Steffen;Laube;1995;GRÜNE;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Lukas;Garnis;1983;AfD;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Dominik;Znanewitz;1993;FDP;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Rhavin;Grobert;1975;Die PARTEI;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Aida Paola;Spiegeler Castañeda;1994;Tierschutzpartei;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Jens-Eberhard;Jahn;1967;ÖDP;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Esther;Engel;1968;MLPD;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Nicole;Jädicke;1981;LKR;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Philipp;Zühlke;1951;dieBasis;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Michael;Dönicke;1968;BÜNDNIS21;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Lucia;Bunte;1963;EB: Bunte;Berlin-Spandau – Charlottenburg Nord;-1;-1;2021
Thomas;Heilmann;1964;CDU;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Marcus Dirk;Otto;1969;DIE LINKE;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Ruppert Fritz Johannes;Stüwe;1978;SPD;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Nina;Stahr;1982;GRÜNE;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Birgit Theresia;Malsack-Winkemann;1964;AfD;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Hanns-Henning Kurt Reimer;Krumrey;1962;FDP;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Erik Claus Nils;Westmann;1982;Die PARTEI;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Laura;Höll;1997;Tierschutzpartei;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Georg;Boroviczény;1947;PIRATEN;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Klaus-Peter;Lüdeke;1947;FREIE WÄHLER;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Karl-Friedrich;Harter;1965;Gesundheitsforschung;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Alina;Sahl;1992;ÖDP;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Carsten;Schanz;1967;LKR;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Claus-Henning Christian;Hacker;1979;dieBasis;Berlin-Steglitz-Zehlendorf;-1;-1;2021
Klaus-Dieter;Gröhler;1966;CDU;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Michael;Efler;1970;DIE LINKE;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Rainer Michael;Müller;1964;SPD;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Elisabeth Maria;Paus;1968;GRÜNE;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Eva-Marie Anna;Doerfler;1986;AfD;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Christoph Werner;Meyer;1975;FDP;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Lennart Quirin;Schwertfeger;1994;Die PARTEI;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Henriette;Spiering;1975;Tierschutzpartei;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Therese;Lehnen;1963;PIRATEN;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Marcel;Luthe;1977;FREIE WÄHLER;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Lars Clemens;Arnold;1968;ÖDP;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Christian Andreas;Schmidt;1953;LKR;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Barend;Wolf;1987;Die Humanisten;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Carolin;Linge;1964;dieBasis;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Norbert Detlef;Voß;1951;EB: Voß;Berlin-Charlottenburg-Wilmersdorf;-1;-1;2021
Jan-Marco;Luczak;1975;CDU;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Alexander;King;1969;DIE LINKE;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Kevin;Kühnert;1989;SPD;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Renate Elly;Künast;1955;GRÜNE;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Frank-Christian;Hansel;1964;AfD;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Lars;Lindemann;1971;FDP;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Marie;Geissler;1993;Die PARTEI;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Martin Jürgen;Ullrich;1981;Tierschutzpartei;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Alexander;Spies;1955;PIRATEN;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Mario;Rhode;1958;FREIE WÄHLER;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Kirsten;Jäkel;1966;ÖDP;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Thomas Konstantin;Speich;1954;LKR;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Karsten Heiko;Wappler;1963;dieBasis;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Sahin;Azbak;1968;MENSCHLICHE WELT;Berlin-Tempelhof-Schöneberg;-1;-1;2021
Christina;Schwarzer;1976;CDU;Berlin-Neukölln;-1;-1;2021
Lucia;Schnell;1979;DIE LINKE;Berlin-Neukölln;-1;-1;2021
Hakan;Demir;1984;SPD;Berlin-Neukölln;-1;-1;2021
Andreas;Audretsch;1984;GRÜNE;Berlin-Neukölln;-1;-1;2021
Marcel;Goldammer;1987;AfD;Berlin-Neukölln;-1;-1;2021
Janine;Falkenberg;1988;FDP;Berlin-Neukölln;-1;-1;2021
Thomas;Tegtow;1981;Die PARTEI;Berlin-Neukölln;-1;-1;2021
Ishai;Rosenbaum;1977;Tierschutzpartei;Berlin-Neukölln;-1;-1;2021
Mohamad Rafic Mustapha;Tawil;1953;MLPD;Berlin-Neukölln;-1;-1;2021
Christian;Lieberam;1982;LKR;Berlin-Neukölln;-1;-1;2021
Havva;Öruc;1990;Team Todenhöfer;Berlin-Neukölln;-1;-1;2021
Wilfried Bernd;Meyer;1958;dieBasis;Berlin-Neukölln;-1;-1;2021
Ramona;Cole;1970;sonstige;Berlin-Neukölln;-1;-1;2021
Christian;Pape;1974;EB: Pape;Berlin-Neukölln;-1;-1;2021
Thomas;Lindlmair;1968;EB: Lindlmair;Berlin-Neukölln;-1;-1;2021
Kilian Leon;Moser;1984;EB: Moser;Berlin-Neukölln;-1;-1;2021
Kevin;Kratzsch;1982;CDU;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Pascal;Meiser;1975;DIE LINKE;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Cansel;Kiziltepe;1975;SPD;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Canan;Bayram;1966;GRÜNE;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Sibylle Christine;Schmidt;1961;AfD;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Ann Cathrin;Riedel;1987;FDP;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Martin;Sonneborn;1965;Die PARTEI;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Marie Charlotte;Motzkus;1995;Tierschutzpartei;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Franz Josef;Schmitt;1978;PIRATEN;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Hagen Gerwald;Albers;1982;ÖDP;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Nicole;Drakos;1971;du.;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Chaker Anis;Araki;1972;MLPD;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Stephan Johannes;Heym;1988;Die Humanisten;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Carola;Muysers;1960;dieBasis;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Zarah-Louise;Roth;1982;B*;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Frigga Maja;Wendt;1980;EB: Wendt;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Oliver;Snelinski;1980;EB: Snelinski;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;-1;-1;2021
Claudia;Pechstein;1972;CDU;Berlin-Treptow-Köpenick;-1;-1;2021
Gregor;Gysi;1948;DIE LINKE;Berlin-Treptow-Köpenick;-1;-1;2021
Ana-Maria;Trăsnea;1994;SPD;Berlin-Treptow-Köpenick;-1;-1;2021
Annkatrin;Esser;1997;GRÜNE;Berlin-Treptow-Köpenick;-1;-1;2021
Denis;Henkel;1975;AfD;Berlin-Treptow-Köpenick;-1;-1;2021
Carl Jean Marie;Grouwet;1965;FDP;Berlin-Treptow-Köpenick;-1;-1;2021
Daniel;Günther;1984;Die PARTEI;Berlin-Treptow-Köpenick;-1;-1;2021
Markus;Anhalt;1986;Tierschutzpartei;Berlin-Treptow-Köpenick;-1;-1;2021
Michael;Knape;1951;FREIE WÄHLER;Berlin-Treptow-Köpenick;-1;-1;2021
Steffen;Kadow;1988;ÖDP;Berlin-Treptow-Köpenick;-1;-1;2021
Claudius Wolfgang Hermann;Reich;1963;MLPD;Berlin-Treptow-Köpenick;-1;-1;2021
Randy;Witte;1976;LKR;Berlin-Treptow-Köpenick;-1;-1;2021
Maria Eva;Macheleidt;1983;dieBasis;Berlin-Treptow-Köpenick;-1;-1;2021
Mario;Czaja;1975;CDU;Berlin-Marzahn-Hellersdorf;-1;-1;2021
Petra Angelika;Pau;1963;DIE LINKE;Berlin-Marzahn-Hellersdorf;-1;-1;2021
Enrico;Bloch;1971;SPD;Berlin-Marzahn-Hellersdorf;-1;-1;2021
Anne Renate Helga;Thiel-Klein;1988;GRÜNE;Berlin-Marzahn-Hellersdorf;-1;-1;2021
Thomas;Braun;1956;AfD;Berlin-Marzahn-Hellersdorf;-1;-1;2021
Alice Katherine;Schmidt;1990;FDP;Berlin-Marzahn-Hellersdorf;-1;-1;2021
Andrea Simone;Schulteisz;1958;Die PARTEI;Berlin-Marzahn-Hellersdorf;-1;-1;2021
Ina;Seidel-Grothe;1962;Tierschutzpartei;Berlin-Marzahn-Hellersdorf;-1;-1;2021
Christa;Wolfer;1956;MLPD;Berlin-Marzahn-Hellersdorf;-1;-1;2021
Axel;Scherka;1967;LKR;Berlin-Marzahn-Hellersdorf;-1;-1;2021
Dietmar;Lucas;1962;dieBasis;Berlin-Marzahn-Hellersdorf;-1;-1;2021
Wilfried;Nünthel;1955;CDU;Berlin-Lichtenberg;-1;-1;2021
Gesine;Lötzsch;1961;DIE LINKE;Berlin-Lichtenberg;-1;-1;2021
Anja Sigrid;Ingenbleek;1971;SPD;Berlin-Lichtenberg;-1;-1;2021
Laura Sophie;Dornheim;1983;GRÜNE;Berlin-Lichtenberg;-1;-1;2021
Dietmar;Drewes;1955;AfD;Berlin-Lichtenberg;-1;-1;2021
Lina;Thiel;2003;FDP;Berlin-Lichtenberg;-1;-1;2021
Nora;Röhner;1981;Die PARTEI;Berlin-Lichtenberg;-1;-1;2021
Katja;Michel;1982;Tierschutzpartei;Berlin-Lichtenberg;-1;-1;2021
Tobias;Bauer;1982;FREIE WÄHLER;Berlin-Lichtenberg;-1;-1;2021
Lisa;Stemmer;1990;ÖDP;Berlin-Lichtenberg;-1;-1;2021
Dagmar;Arnecke;1951;MLPD;Berlin-Lichtenberg;-1;-1;2021
Matthias;Bruse;1977;LKR;Berlin-Lichtenberg;-1;-1;2021
Ulrich;Klieboldt;1968;dieBasis;Berlin-Lichtenberg;-1;-1;2021
Rudolf Paul Maria;Henke;1954;CDU;Aachen I;-1;-1;2021
Ye-One;Rhie;1987;SPD;Aachen I;-1;-1;2021
Katharina;Willkomm;1987;FDP;Aachen I;-1;-1;2021
Roger Henricus Katharina;Lebien;1974;AfD;Aachen I;-1;-1;2021
Oliver;Krischer;1969;GRÜNE;Aachen I;-1;-1;2021
Andrej Konstantin;Hunko;1963;DIE LINKE;Aachen I;-1;-1;2021
Elke;Zobel;1963;Die PARTEI;Aachen I;-1;-1;2021
Hans-Jürgen;Fink;1967;FREIE WÄHLER;Aachen I;-1;-1;2021
Stephan;Korupp;1963;dieBasis;Aachen I;-1;-1;2021
Adonis;Böving;1976;EB: Böving;Aachen I;-1;-1;2021
Niklas;Teßmann;1997;EB: Teßmann;Aachen I;-1;-1;2021
Catarina;Santos Firnhaber;1994;CDU;Aachen II;-1;-1;2021
Claudia;Moll;1968;SPD;Aachen II;-1;-1;2021
Birgit;Haveneth;1975;FDP;Aachen II;-1;-1;2021
Michael;Winterich;1977;AfD;Aachen II;-1;-1;2021
Lukas;Benner;1996;GRÜNE;Aachen II;-1;-1;2021
Johannes;Koch;1957;DIE LINKE;Aachen II;-1;-1;2021
Eckhard;Heck;1962;Die PARTEI;Aachen II;-1;-1;2021
Josef Helmut;Keischgens;1965;FREIE WÄHLER;Aachen II;-1;-1;2021
Axel;Susen;1960;dieBasis;Aachen II;-1;-1;2021
Wilfried;Oellers;1975;CDU;Heinsberg;-1;-1;2021
Norbert;Spinrath;1957;SPD;Heinsberg;-1;-1;2021
Alexander;Dorner;1995;FDP;Heinsberg;-1;-1;2021
Hermann Joseph;Navel;1948;AfD;Heinsberg;-1;-1;2021
Dignanllely;Meurer;1990;GRÜNE;Heinsberg;-1;-1;2021
Rüdiger;Birmann;1971;DIE LINKE;Heinsberg;-1;-1;2021
Mark Oliver;Benecke;1970;Die PARTEI;Heinsberg;-1;-1;2021
Hans-Peter;Weiland;1959;FREIE WÄHLER;Heinsberg;-1;-1;2021
Michael Georg;Aggelidis;1962;dieBasis;Heinsberg;-1;-1;2021
Thomas Walther;Rachel;1962;CDU;Düren;-1;-1;2021
Dietmar Heinrich;Nietan;1964;SPD;Düren;-1;-1;2021
Laura Sophie;Jacobsen-Littig;1992;FDP;Düren;-1;-1;2021
Wolfgang Heinrich Johann Helmut;Kochs;1965;AfD;Düren;-1;-1;2021
Christian Thomas;Andrä;1962;GRÜNE;Düren;-1;-1;2021
Valentin Raimund;Veithen;1946;DIE LINKE;Düren;-1;-1;2021
Stephan;Staß;1980;Die PARTEI;Düren;-1;-1;2021
Philipp Benno;Eismar;1999;PIRATEN;Düren;-1;-1;2021
Frank Werner;Bank;1972;FREIE WÄHLER;Düren;-1;-1;2021
Werner Heinz;Hürttlen;1963;dieBasis;Düren;-1;-1;2021
Peter Eberhard;Helmer;1961;UNABHÄNGIGE;Düren;-1;-1;2021
Georg;Kippels;1959;CDU;Rhein-Erft-Kreis I;-1;-1;2021
Aaron Luca;Spielmanns;1998;SPD;Rhein-Erft-Kreis I;-1;-1;2021
Stefan;Westerschulze;1977;FDP;Rhein-Erft-Kreis I;-1;-1;2021
Eugen;Schmidt;1975;AfD;Rhein-Erft-Kreis I;-1;-1;2021
Rüdiger;Warnecke;1959;GRÜNE;Rhein-Erft-Kreis I;-1;-1;2021
Şirin Daniella;Seitz;1990;DIE LINKE;Rhein-Erft-Kreis I;-1;-1;2021
Kristian;Katzmarek;1994;PIRATEN;Rhein-Erft-Kreis I;-1;-1;2021
Ulrich;Wokulat;1975;FREIE WÄHLER;Rhein-Erft-Kreis I;-1;-1;2021
Patrik Michael;Müller;1979;dieBasis;Rhein-Erft-Kreis I;-1;-1;2021
Helene;Susojev;1979;LIEBE;Rhein-Erft-Kreis I;-1;-1;2021
Detlef;Seif;1962;CDU;Euskirchen – Rhein-Erft-Kreis II;-1;-1;2021
Dagmar;Andres;1969;SPD;Euskirchen – Rhein-Erft-Kreis II;-1;-1;2021
Markus;Herbrand;1971;FDP;Euskirchen – Rhein-Erft-Kreis II;-1;-1;2021
Hans-Rüdiger;Lucassen;1951;AfD;Euskirchen – Rhein-Erft-Kreis II;-1;-1;2021
Marion;Sand;1957;GRÜNE;Euskirchen – Rhein-Erft-Kreis II;-1;-1;2021
Stefan;Söhngen;1997;DIE LINKE;Euskirchen – Rhein-Erft-Kreis II;-1;-1;2021
Jan-Luis;Wolter;2001;Die PARTEI;Euskirchen – Rhein-Erft-Kreis II;-1;-1;2021
Stefano;Tuchscherer;2000;PIRATEN;Euskirchen – Rhein-Erft-Kreis II;-1;-1;2021
Jörg;Esser;1963;FREIE WÄHLER;Euskirchen – Rhein-Erft-Kreis II;-1;-1;2021
Paulo Michael;Jesus Pinto;1974;dieBasis;Euskirchen – Rhein-Erft-Kreis II;-1;-1;2021
Karsten Hinrich Wilhelm;Möring;1949;CDU;Köln I;-1;-1;2021
Sanae;Abdi;1986;SPD;Köln I;-1;-1;2021
Reinhard Arnold;Houben;1960;FDP;Köln I;-1;-1;2021
Fabian;Jacobi;1973;AfD;Köln I;-1;-1;2021
Lisa-Marie;Friede;1992;GRÜNE;Köln I;-1;-1;2021
Madeleine;Eisfeld;1965;DIE LINKE;Köln I;-1;-1;2021
Aaron Yannick;Kruedener;1997;Die PARTEI;Köln I;-1;-1;2021
Detlef Walter;Hagenbruch;1945;FREIE WÄHLER;Köln I;-1;-1;2021
Elisabeth;Höchtl;1957;MLPD;Köln I;-1;-1;2021
Ralf Mathias;Schäfer;1962;dieBasis;Köln I;-1;-1;2021
Rebekka Frieda;Müller;1988;Volt;Köln I;-1;-1;2021
Martin Josef;Przybylski;1985;EB: Przybylski;Köln I;-1;-1;2021
Sandra;Möller;1969;CDU;Köln II;-1;-1;2021
Marion;Sollbach;1967;SPD;Köln II;-1;-1;2021
Joachim Horst;Krämer;1990;FDP;Köln II;-1;-1;2021
Luca Mike;Leitterstorf;1996;AfD;Köln II;-1;-1;2021
Sven;Lehmann;1979;GRÜNE;Köln II;-1;-1;2021
Matthias Walter;Birkwald;1961;DIE LINKE;Köln II;-1;-1;2021
Judit;Géczi;1977;Die PARTEI;Köln II;-1;-1;2021
