Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;Listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Felix Johannes;Oekentorp;1963;DIE LINKE;-1;Nordrhein-Westfalen;20;;;Bochum;Angestellter;2021
Gabriele Johanna;Granrath;1966;DIE LINKE;-1;Nordrhein-Westfalen;21;;;Lennestadt;selbst. Kauffrau;2021
Thomas;Bell;1966;DIE LINKE;-1;Nordrhein-Westfalen;22;;;Bad Münstereifel;Beamter;2021
Carmen;Hornung-Jahn;1963;DIE LINKE;-1;Nordrhein-Westfalen;23;;;Duisburg;Steuerfachangestellte;2021
Christian;Kißler;1991;DIE LINKE;-1;Nordrhein-Westfalen;24;;;Altena;wiss. Mitarbeiter;2021
Mark Oliver;Benecke;1970;Die PARTEI;-1;Nordrhein-Westfalen;1;Dr.;;Köln;Kriminalbiologe;2021
Dana;Ströse;1983;Die PARTEI;-1;Nordrhein-Westfalen;2;;;Warendorf;Tierärztin;2021
Marco;Bülow;1971;Die PARTEI;-1;Nordrhein-Westfalen;3;;;Dortmund;Mitglied des Deutschen Bundestages;2021
Julia Angelika;Schlinkert;1979;Die PARTEI;-1;Nordrhein-Westfalen;4;;;Steinhagen;Dipl.-Biologin;2021
Marion Britta;Weißkopf;1969;Die PARTEI;-1;Nordrhein-Westfalen;5;;;Grefrath;Dipl.-Umweltwissenschaftlerin, Chemielaborantin;2021
Franz Gregor;Czisch;1964;Die PARTEI;-1;Nordrhein-Westfalen;6;Dr.;;Kassel;Energieforscher regenerative Energiesysteme;2021
Sebastian;Teitz;1975;Die PARTEI;-1;Nordrhein-Westfalen;7;Dr.;;Köln;Scientific Coordinator (Biologe), angestellt;2021
Judit;Géczi;1977;Die PARTEI;-1;Nordrhein-Westfalen;8;;;Burscheid;Krankenschwester;2021
Mira;Lehner;1980;Die PARTEI;-1;Nordrhein-Westfalen;9;;;Wuppertal;Fachpflegerin für Beatmung;2021
Monika;Vorberg;1967;Die PARTEI;-1;Nordrhein-Westfalen;10;;;Rheda-Wiedenbrück;exam. Krankenschwester;2021
Yamna Farah;Sahli;1995;Die PARTEI;-1;Nordrhein-Westfalen;11;;;Bochum;Studentin;2021
Anita;Kliemek;1975;Die PARTEI;-1;Nordrhein-Westfalen;12;;;Hagen;Krankenschwester;2021
Irina;Oberpichler;1987;Die PARTEI;-1;Nordrhein-Westfalen;13;;;Recklinghausen;Studentin;2021
Cornelia;Theveßen-Lamberty;1978;Die PARTEI;-1;Nordrhein-Westfalen;14;;;Mönchengladbach;Heilerziehungspflegerin;2021
Chana Clarissa;Lischewski;1994;Die PARTEI;-1;Nordrhein-Westfalen;15;;;Mönchengladbach;Psychologin (M. Sc.);2021
Elisabeth Felicitas;Drees;1998;Die PARTEI;-1;Nordrhein-Westfalen;16;;;Dorsten;Auszubildende Gesundheits- und Krankenpflege;2021
Ann-Katrin;Hanneforth;1990;Die PARTEI;-1;Nordrhein-Westfalen;17;;;Steinhagen;pharm.-techn. Assistentin;2021
Annemarie;Krieg;1985;Die PARTEI;-1;Nordrhein-Westfalen;18;;;Oer-Erkenschwick;Ergotherapeutin;2021
Lena;Oberbäumer;1979;Die PARTEI;-1;Nordrhein-Westfalen;19;;;Bielefeld;Lehrerin;2021
Svenja Nina Nicoletta;Reinders;1987;Die PARTEI;-1;Nordrhein-Westfalen;20;;;Kempen;Medizinproduktberaterin (Krebs, Corona);2021
Sonja Maria;Börsch;1963;Die PARTEI;-1;Nordrhein-Westfalen;21;;;Köln;Lehrerin;2021
Birgit Beate;Dickas;1964;Die PARTEI;-1;Nordrhein-Westfalen;22;;;Köln;Künstlerin, Verwaltungsfachwirtin;2021
Lena Maria Christina;Bormann;1983;Die PARTEI;-1;Nordrhein-Westfalen;23;;;Bochum;Dipl.-Pädagogin;2021
Johanna Dorothea;Carniel;1981;Die PARTEI;-1;Nordrhein-Westfalen;24;;;Paderborn;Lehrerin;2021
Elise Ulrike;Teitz;1977;Die PARTEI;-1;Nordrhein-Westfalen;25;;;Köln;Freiberuflerin;2021
Laura Valeria;Knüppel;1987;Die PARTEI;-1;Nordrhein-Westfalen;26;;;Hagen;Studentin der Psychologie, Nachhilfelehrerin;2021
Jennifer;Pätsch;1981;Die PARTEI;-1;Nordrhein-Westfalen;27;;;Dortmund;Sozialwissenschaftlerin;2021
Jennifer;Twiste;1993;Die PARTEI;-1;Nordrhein-Westfalen;28;;;Paderborn;Sozialarbeiterin (B. A.);2021
Xenia Sophia;Gentschenfelde;1988;Die PARTEI;-1;Nordrhein-Westfalen;29;;vor dem;Beckum;Künstlerin;2021
Hendrik;Sachtler;1982;Die PARTEI;-1;Nordrhein-Westfalen;30;;;Mönchengladbach;Sozialarbeiter;2021
Arnim Jörg Daniel;Backs;1972;Die PARTEI;-1;Nordrhein-Westfalen;31;;;Bochum;Dipl.-Psychologe;2021
Christian;Fath;1996;Die PARTEI;-1;Nordrhein-Westfalen;32;;;Duisburg;Rettungssanitäter;2021
Ulas Sazi;Zabci;1986;Die PARTEI;-1;Nordrhein-Westfalen;33;;;Mönchengladbach;Sozialarbeiter;2021
Patrick;Meyer;1985;Die PARTEI;-1;Nordrhein-Westfalen;34;;;Dortmund;Erzieher;2021
Bastian;Arps;1989;Die PARTEI;-1;Nordrhein-Westfalen;35;;;Gladbeck;Bäckermeister, Dozent;2021
Carsten;Schickor;1976;Die PARTEI;-1;Nordrhein-Westfalen;36;;;Hörstel;Kinderarzt;2021
Vanessa;Philippsen;1987;Die PARTEI;-1;Nordrhein-Westfalen;37;;;Düsseldorf;Kellnerin;2021
Sabine;Kader;1967;Die PARTEI;-1;Nordrhein-Westfalen;38;;;Köln;Kommunalpolitikerin;2021
Julia;Wiedow;1986;Die PARTEI;-1;Nordrhein-Westfalen;39;;;Wuppertal;Personaldienstleistungskauffrau in Ausbildung;2021
Isabelle;Traeger;1993;Die PARTEI;-1;Nordrhein-Westfalen;40;;;Düsseldorf;Studentin;2021
Bettina Maria;Neuhaus;1969;Die PARTEI;-1;Nordrhein-Westfalen;41;;;Dortmund;Projektmanagerin;2021
Angelina Sara-Maria;Klementz;2001;Die PARTEI;-1;Nordrhein-Westfalen;42;;;Marl;Schülerin;2021
Carina;Guhl;1987;Die PARTEI;-1;Nordrhein-Westfalen;43;;;Dortmund;Personalreferentin;2021
Frauke Claudia;Petzold;1987;Die PARTEI;-1;Nordrhein-Westfalen;44;;;Leverkusen;Serviceassistentin, Kfz-Mechatronikerin;2021
Martina;Funk;1967;Die PARTEI;-1;Nordrhein-Westfalen;45;;;Solingen;Reiseverkehrskauffrau;2021
Rosanna;Martens;1996;Die PARTEI;-1;Nordrhein-Westfalen;46;;;Paderborn;Studentin;2021
Lena Josephin;Tilsner;1998;Die PARTEI;-1;Nordrhein-Westfalen;47;;;Dorsten;Steinbildhauer in Ausbildung;2021
Antje Deborah;Hollander;1994;Die PARTEI;-1;Nordrhein-Westfalen;48;;;Bielefeld;Gärtnerin;2021
Bettina;Simon;1968;Die PARTEI;-1;Nordrhein-Westfalen;49;;;Steinhagen;Künstlerin;2021
Anh;Lam-chi;1983;Die PARTEI;-1;Nordrhein-Westfalen;50;;;Wesel;Marketingmanagerin;2021
Miriam;Stratmann;1987;Die PARTEI;-1;Nordrhein-Westfalen;51;;;Paderborn;tiermed. Fachangestellte;2021
Carina;Twiste;1997;Die PARTEI;-1;Nordrhein-Westfalen;52;;;Bielefeld;Bankkauffrau, Industriekauffrau in Ausbildung;2021
Sarah;Buric;1984;Die PARTEI;-1;Nordrhein-Westfalen;53;;;Stolberg (Rhld.);Journalistin;2021
Viola;Neumann;1993;Die PARTEI;-1;Nordrhein-Westfalen;54;;;Bochum;Studentin;2021
Nelli;Armaschelew;1994;Die PARTEI;-1;Nordrhein-Westfalen;55;;;Dorsten;Beamtin;2021
Claudia;Krobb;1972;Die PARTEI;-1;Nordrhein-Westfalen;56;;;Geilenkirchen;Informatikerin;2021
Annalena;Thiel;2000;Die PARTEI;-1;Nordrhein-Westfalen;57;;;Schlangen;Duale Studentin;2021
Klaus Keno Friedrich;Schulte;1982;Die PARTEI;-1;Nordrhein-Westfalen;58;;;Düsseldorf;Fraktionsgeschäftsführer, Ratsherr;2021
Glenn;Krüger;1971;Die PARTEI;-1;Nordrhein-Westfalen;59;;;Steinhagen;Angestellter;2021
Michael;Schulte;1973;Die PARTEI;-1;Nordrhein-Westfalen;60;;;Lichtenau;kaufm. Angestellter;2021
Florian;Hees;1983;Die PARTEI;-1;Nordrhein-Westfalen;61;;;Marienheide;Angestellter;2021
Mathias Christopher;Krämer;1972;Die PARTEI;-1;Nordrhein-Westfalen;62;;;Neuss;Leiter Finanzbuchhaltung, Steuerfachwirt;2021
Harald Eugen Wilhelm;Schulte-Limbeck;1973;Die PARTEI;-1;Nordrhein-Westfalen;63;;;Solingen;Personalberater;2021
Jurian Maximilian;Thomas;1998;Die PARTEI;-1;Nordrhein-Westfalen;64;;;Münster;Student;2021
Tobias;Molitor;1994;Die PARTEI;-1;Nordrhein-Westfalen;65;;;Aachen;Student;2021
Bernd;Seliger;1990;Die PARTEI;-1;Nordrhein-Westfalen;66;;;Mönchengladbach;Texturierer, Datenschutzauditor, Student;2021
Jan Peter;Schwarz;1979;Die PARTEI;-1;Nordrhein-Westfalen;67;;;Bielefeld;Redakteur;2021
Stefan;Pott;1972;Die PARTEI;-1;Nordrhein-Westfalen;68;;;Köln;Koch;2021
Christoph;Böttger;1985;Die PARTEI;-1;Nordrhein-Westfalen;69;;;Duisburg;Ingenieur;2021
Nils Steffen Ralf;Jasper;1997;Die PARTEI;-1;Nordrhein-Westfalen;70;;;Hagen;Elektroniker Betriebstechnik;2021
Michael;Hanses;1966;Die PARTEI;-1;Nordrhein-Westfalen;71;;;Witten;Teamleiter Vertriebsunterstützung;2021
André;Niedernhöfer;1992;Die PARTEI;-1;Nordrhein-Westfalen;72;;;Büren;kaufm. Angestellter;2021
Daniel;Schreyer;1978;Die PARTEI;-1;Nordrhein-Westfalen;73;;;Düsseldorf;Logistikmanagement (M. A.);2021
Stephan;Kuhn;1983;Die PARTEI;-1;Nordrhein-Westfalen;74;;;Bochum;Informatiker;2021
Steve;Juliano;1977;Die PARTEI;-1;Nordrhein-Westfalen;75;;;Dinslaken;Maschinenführer;2021
Sven Erik;Rolfs;1988;Die PARTEI;-1;Nordrhein-Westfalen;76;;;Troisdorf;staatl. geprüfter Techniker Maschinentechnik;2021
Josef Alexander;Jungen;1990;Die PARTEI;-1;Nordrhein-Westfalen;77;;;Mönchengladbach;Maschinenbauingenieur;2021
Henning;Hork;1981;Die PARTEI;-1;Nordrhein-Westfalen;78;;van der;Oberhausen;Berater Telekommunikation;2021
Christian Sven;Gröll;1989;Die PARTEI;-1;Nordrhein-Westfalen;79;;;Essen;Geschäftsführer;2021
Niklas;Hartmann;1996;Die PARTEI;-1;Nordrhein-Westfalen;80;;;Detmold;Student;2021
Stefan;Schleicher;1986;Die PARTEI;-1;Nordrhein-Westfalen;81;;;Marsberg;Automatisierungsingenieur;2021
André Michael Boris;Piotrowski;1969;Die PARTEI;-1;Nordrhein-Westfalen;82;;;Hagen;Tierbestatter;2021
Philipp Ernst;Wüster;1991;Die PARTEI;-1;Nordrhein-Westfalen;83;;;Hückeswagen;Elektroniker Betriebstechnik;2021
Tim;Hückelhoven;2001;Die PARTEI;-1;Nordrhein-Westfalen;84;;;Solingen;Schüler;2021
Jona Lucas;Seidel;1996;Die PARTEI;-1;Nordrhein-Westfalen;85;;;Schmallenberg;Chemielaborant;2021
Ivan;Siskov;1992;Die PARTEI;-1;Nordrhein-Westfalen;86;;;Nümbrecht;Student;2021
Markus;Wetzler;1972;Die PARTEI;-1;Nordrhein-Westfalen;87;;;Kaarst;IT-Fachadministrator;2021
Björn;Große;1980;Die PARTEI;-1;Nordrhein-Westfalen;88;;;Bochum;Angestellter ö. D.;2021
Sebastian;Strzalka;1983;Die PARTEI;-1;Nordrhein-Westfalen;89;;;Bönen;Gärtner;2021
Christof Matthias;Kämpf;1983;Die PARTEI;-1;Nordrhein-Westfalen;90;;;Willich;Mechatroniker;2021
Lars;Temme;1981;Die PARTEI;-1;Nordrhein-Westfalen;91;;;Xanten;Nachhilfelehrer;2021
Henning Klaus Heiko Ulrich;Koch;1971;Die PARTEI;-1;Nordrhein-Westfalen;92;;;Dortmund;Kommunalpolitiker;2021
Sascha;Figorski;1979;Die PARTEI;-1;Nordrhein-Westfalen;93;;;Gelsenkirchen;Bundesbeamter;2021
Christian;Hund;1994;Die PARTEI;-1;Nordrhein-Westfalen;94;;;Brüggen;Informatikstudent;2021
Kevin;Dierkes;1997;Die PARTEI;-1;Nordrhein-Westfalen;95;;;Paderborn;Student;2021
Aaron Yannick;Kruedener;1997;Die PARTEI;-1;Nordrhein-Westfalen;96;;Baron von;Köln;Student, Politiker;2021
Michael;Siethoff;1970;Tierschutzpartei;-1;Nordrhein-Westfalen;1;;;Iserlohn;Kommunalbeamter;2021
Angelika;Remiszewski;1957;Tierschutzpartei;-1;Nordrhein-Westfalen;2;;;Dortmund;Lehrerin;2021
Michael;Badura;1962;Tierschutzpartei;-1;Nordrhein-Westfalen;3;;;Dortmund;kaufm. Angestellter;2021
Gabriele;Etgeton;1959;Tierschutzpartei;-1;Nordrhein-Westfalen;4;;;Gelsenkirchen;Regierungsbeschäftigte;2021
Akin;Öner;1970;Tierschutzpartei;-1;Nordrhein-Westfalen;5;;;Köln;Industriekaufmann;2021
Stephanie;Linde;1976;Tierschutzpartei;-1;Nordrhein-Westfalen;6;;;Dortmund;staatl. anerkannte Erzieherin;2021
Klaus;Seidler;1957;Tierschutzpartei;-1;Nordrhein-Westfalen;7;;;Dorsten;Dipl.-Verwaltungswirt;2021
Sabine;Jeromin;1967;Tierschutzpartei;-1;Nordrhein-Westfalen;8;;;Kall;Speditionskauffrau;2021
Sebastian Eike;Everding;1983;Tierschutzpartei;-1;Nordrhein-Westfalen;9;;;Dortmund;Handwerksmeister, Betriebswirt;2021
Sascha;Stinder;1972;Tierschutzpartei;-1;Nordrhein-Westfalen;10;;;Wuppertal;Busfahrer;2021
Jörg;Etgeton;1965;Tierschutzpartei;-1;Nordrhein-Westfalen;11;;;Gelsenkirchen;selbst. Geschäftsführer;2021
Sandra;Leurs;1961;PIRATEN;-1;Nordrhein-Westfalen;1;;;Krefeld;staatl. exam. Altenpflegefachkraft;2021
Wilk;Spieker;1967;PIRATEN;-1;Nordrhein-Westfalen;2;;;Bad Driburg;Betreuer BGB;2021
Frank;Grenda;1967;PIRATEN;-1;Nordrhein-Westfalen;3;;;Düsseldorf;Bankkaufmann;2021
Frank;Herrmann;1961;PIRATEN;-1;Nordrhein-Westfalen;4;;;Ratingen;Datenschutzberater;2021
Kristian;Katzmarek;1994;PIRATEN;-1;Nordrhein-Westfalen;5;;;Frechen;Lehrer;2021
Fabian;Holtappels;2002;PIRATEN;-1;Nordrhein-Westfalen;6;;;Krefeld;Schüler;2021
Eric;Tiggemann;1970;PIRATEN;-1;Nordrhein-Westfalen;7;;;Hattingen;EDV-Berater;2021
Markus;Krafczyk;1978;FREIE WÄHLER;-1;Nordrhein-Westfalen;1;;;Bocholt;Firmenkundenberater;2021
Georg;Alsdorf;1975;FREIE WÄHLER;-1;Nordrhein-Westfalen;2;;;Kempen;Betriebswirt;2021
Kai;Hemsteeg;1981;FREIE WÄHLER;-1;Nordrhein-Westfalen;3;;;Essen;Kriminaloberkommissar;2021
Johanna;Hellmann;1950;FREIE WÄHLER;-1;Nordrhein-Westfalen;4;;;Geldern;Sozialarbeiterin;2021
Torsten Rüdiger;Ilg;1970;FREIE WÄHLER;-1;Nordrhein-Westfalen;5;;;Köln;Filmschnittmeister;2021
Annette Ute Martina;Schrader-Schoutz;1954;FREIE WÄHLER;-1;Nordrhein-Westfalen;6;;;Mönchengladbach;Rentnerin;2021
Joachim Heinrich;Kluft;1962;FREIE WÄHLER;-1;Nordrhein-Westfalen;7;;;Essen;selbstständig;2021
Michael;Stehr;1966;FREIE WÄHLER;-1;Nordrhein-Westfalen;8;Dr.;;Troisdorf;Jurist, Syndikusrechtsanwalt;2021
Folke;Hellmig;1959;FREIE WÄHLER;-1;Nordrhein-Westfalen;9;;;Hamm;Techniker, techn. Angestellter;2021
Kai;Funke;1991;FREIE WÄHLER;-1;Nordrhein-Westfalen;10;;;Steinhagen;Fachangestellter für Bäderbetriebe;2021
Henrik;Dahlmann;1980;FREIE WÄHLER;-1;Nordrhein-Westfalen;11;;;Wuppertal;Fraktionsgeschäftsführer;2021
Olaf Albert Dietmar;Wirl;1967;FREIE WÄHLER;-1;Nordrhein-Westfalen;12;;;Greven;Brandinspektor;2021
Bastian;Nitsche;1974;FREIE WÄHLER;-1;Nordrhein-Westfalen;13;;;Borken;Vertriebsassistent;2021
Mathias;Huning;1969;FREIE WÄHLER;-1;Nordrhein-Westfalen;14;;;Wülfrath;Lehrer;2021
Ulrich;Wokulat;1975;FREIE WÄHLER;-1;Nordrhein-Westfalen;15;;;Leverkusen;Bundesbeamter;2021
August Walter Michael;Müller;1949;FREIE WÄHLER;-1;Nordrhein-Westfalen;16;;;Porta Westfalica;Dipl.-Kaufmann;2021
Hans Werner;Schoutz;1949;FREIE WÄHLER;-1;Nordrhein-Westfalen;17;;;Mönchengladbach;Dipl.-Kaufmann;2021
Andreas;Walter;1962;FREIE WÄHLER;-1;Nordrhein-Westfalen;18;;;Essen;Informatiker;2021
Jan;Klein;1989;FREIE WÄHLER;-1;Nordrhein-Westfalen;19;;;Solingen;Fachlagerist;2021
Ariane;Meise;1960;NPD;-1;Nordrhein-Westfalen;1;;;Lohmar;Anwältin;2021
Claus;Cremer;1979;NPD;-1;Nordrhein-Westfalen;2;;;Bochum;Industriekaufmann;2021
Melanie;Händelkes;1977;NPD;-1;Nordrhein-Westfalen;3;;;Wachtendonk;Erzieherin;2021
Marion;Figge;1964;NPD;-1;Nordrhein-Westfalen;4;;;Gelsenkirchen;Hausfrau;2021
Karl;Weise;1956;NPD;-1;Nordrhein-Westfalen;5;;;Duisburg;Rentner;2021
Bruno;Kirchner;1953;NPD;-1;Nordrhein-Westfalen;6;;;Köln;Weinhändler;2021
Willibert;Kunkel;1950;NPD;-1;Nordrhein-Westfalen;7;;;Stolberg (Rhld.);Rentner;2021
Helmut;Gudat;1957;NPD;-1;Nordrhein-Westfalen;8;;;Hückelhoven;Kaufmann;2021
Detlef;Fergee;1955;NPD;-1;Nordrhein-Westfalen;9;;;Mülheim an der Ruhr;Rentner;2021
Manfred;Aegenvoort;1944;NPD;-1;Nordrhein-Westfalen;10;;;Oberhausen;Kaufmann;2021
Jens Andreas;Geibel;1970;ÖDP;-1;Nordrhein-Westfalen;1;;;Leverkusen;Tischlermeister;2021
Kurt;Rieder;1960;ÖDP;-1;Nordrhein-Westfalen;2;;;Stolberg (Rhld.);Dipl.-Verwaltungswirt;2021
Jan Nicolas;Weber;2000;ÖDP;-1;Nordrhein-Westfalen;3;;;Finnentrop;Student;2021
Julien;Eichhoff;1988;ÖDP;-1;Nordrhein-Westfalen;4;;;Herscheid;staatl. anerkannter Erzieher;2021
Jeyaratnam;Caniceus;1966;ÖDP;-1;Nordrhein-Westfalen;5;;;Kempen;Elektrotechnikermeister;2021
Markus Hubertus;Stamm;1970;ÖDP;-1;Nordrhein-Westfalen;6;;;Bottrop;IT-Leiter;2021
Rita Magdalena;Nowak;1957;ÖDP;-1;Nordrhein-Westfalen;7;;;Recklinghausen;Bundesbahnhauptsekretärin i. R.;2021
Alina Deborah Florence;Möller;1994;ÖDP;-1;Nordrhein-Westfalen;8;;;Münster;Studentin;2021
Herbert Ernst;Einsiedler;1952;ÖDP;-1;Nordrhein-Westfalen;9;Prof. Dr.;;Meerbusch;Dipl.-Kaufmann;2021
Laura Aurelia Susanne;Brase;1993;ÖDP;-1;Nordrhein-Westfalen;10;;;Bochum;Studentin;2021
Christina Flora;Aldenhoven;1983;ÖDP;-1;Nordrhein-Westfalen;11;;;Wetter (Ruhr);Ärztin;2021
Martin;Schauerte;1962;ÖDP;-1;Nordrhein-Westfalen;12;;;Windeck;IT-Servicemanager;2021
Ina;Heift;1989;ÖDP;-1;Nordrhein-Westfalen;13;;;Herscheid;Erzieherin;2021
Felix;Peretzke;1988;ÖDP;-1;Nordrhein-Westfalen;14;;;Neuss;Recruiter;2021
Corinne;Enders;1958;ÖDP;-1;Nordrhein-Westfalen;15;Dr.;;Hagen;Tierärztin i. R.;2021
Werner;Roleff;1962;ÖDP;-1;Nordrhein-Westfalen;16;;;Köln;Klinik-Seelsorger;2021
Susanne;Ruff-Dietrich;1966;ÖDP;-1;Nordrhein-Westfalen;17;Dr.;;Hattingen;Ärztin;2021
Veronika;Berger;1966;ÖDP;-1;Nordrhein-Westfalen;18;;;Kempen;kaufm. Angestellte;2021
Istvan Jozsef;Bella;1945;ÖDP;-1;Nordrhein-Westfalen;19;;;Münster;Rentner;2021
Gerhard Ernst;Lappe;1960;ÖDP;-1;Nordrhein-Westfalen;20;;;Witten;kaufm. Angestellter;2021
Franz Dieter;Brockmann;1962;ÖDP;-1;Nordrhein-Westfalen;21;;;Stolberg (Rhld.);Koch;2021
Rüdiger-Renê;Keune;1959;ÖDP;-1;Nordrhein-Westfalen;22;;;Köln;Dipl.-Pädagoge;2021
Marcell Peter;Fore;1978;ÖDP;-1;Nordrhein-Westfalen;23;;;Stolberg (Rhld.);Kaufmann im Einzelhandel;2021
Ralf;Bartmann;1962;ÖDP;-1;Nordrhein-Westfalen;24;;;Witten;Dachdeckermeister;2021
Simon;Thomas;1992;V-Partei³;-1;Nordrhein-Westfalen;1;;;Oberhausen;Ingenieur;2021
Derya;Laug;1992;V-Partei³;-1;Nordrhein-Westfalen;2;;;Fürth;Elektro-Kfz-Kauffrau;2021
Leonard Joseph;Sieg;1965;V-Partei³;-1;Nordrhein-Westfalen;3;;;Wuppertal;Mediengestalter;2021
Frederik Nikolas;Brützel;1991;V-Partei³;-1;Nordrhein-Westfalen;4;;;Meerbusch;Tennislehrer;2021
Jörg;Frohberger;1988;V-Partei³;-1;Nordrhein-Westfalen;5;;;Herne;Call Center Agent;2021
Janine;Niederstrasser;1985;V-Partei³;-1;Nordrhein-Westfalen;6;;;Duisburg;Regierungsinspektorin;2021
Christoph-Johannes;Emschermann;1964;V-Partei³;-1;Nordrhein-Westfalen;7;;;Warendorf;Geschäftsführer;2021
Tim;Tielkes;1989;Gesundheitsforschung;-1;Nordrhein-Westfalen;1;;;Bocholt;selbstständig;2021
Saif;Al Basri;1989;Gesundheitsforschung;-1;Nordrhein-Westfalen;2;;;Hagen;Student;2021
Karl-Friedrich;Harter;1965;Gesundheitsforschung;-1;Nordrhein-Westfalen;3;;;Berlin;Unternehmer;2021
Jana Esther;Morawetz;1965;Gesundheitsforschung;-1;Nordrhein-Westfalen;4;;;Berlin;Reiseverkehrskauffrau;2021
Heiko;Matamaru;1975;Gesundheitsforschung;-1;Nordrhein-Westfalen;5;;;Düsseldorf;selbstständig;2021
Patrick Johannes;Eckert;1989;Gesundheitsforschung;-1;Nordrhein-Westfalen;6;;;Düsseldorf;Student;2021
Martin;Ungar;1955;Gesundheitsforschung;-1;Nordrhein-Westfalen;7;;;Dortmund;freiberufl. IT-Dozent, IT-Autor;2021
Gabriele;Fechtner;1977;MLPD;-1;Nordrhein-Westfalen;1;;;Gelsenkirchen;Werkzeugmechanikerin;2021
Erhan;Aktürk;1965;MLPD;-1;Nordrhein-Westfalen;2;;;Duisburg;Schlosser;2021
Anna Katharina;Vöhringer;1995;MLPD;-1;Nordrhein-Westfalen;3;;;Bochum;Krankenschwester;2021
Fritz Peter;Ullmann;1979;MLPD;-1;Nordrhein-Westfalen;4;;;Radevormwald;Texter;2021
Esther;Engel;1968;MLPD;-1;Nordrhein-Westfalen;5;;;Gelsenkirchen;Mechanikerin;2021
Peter;Römmele;1977;MLPD;-1;Nordrhein-Westfalen;6;;;Duisburg;Stahlarbeiter;2021
Sarah-Ines;Rißmann;1984;MLPD;-1;Nordrhein-Westfalen;7;;;Dortmund;Lehrerin;2021
Günter Manfred;Belka;1959;MLPD;-1;Nordrhein-Westfalen;8;;;Gelsenkirchen;Betriebsschlosser, Rentner;2021
Inessa;Kober;1991;MLPD;-1;Nordrhein-Westfalen;9;;;Hagen;Erzieherin;2021
Ulrich;Achenbach;1954;MLPD;-1;Nordrhein-Westfalen;10;;;Bochum;Lagerverwalter;2021
Hannes;Stockert;1972;MLPD;-1;Nordrhein-Westfalen;11;;;Mülheim an der Ruhr;Energieelektroniker;2021
Dirk;Willing;1971;MLPD;-1;Nordrhein-Westfalen;12;;;Essen;Verlagskaufmann;2021
Thomas;Kistermann;1970;MLPD;-1;Nordrhein-Westfalen;13;;;Gelsenkirchen;Sicherheitsfachkraft;2021
Quo-Chir;Luong;1987;MLPD;-1;Nordrhein-Westfalen;14;;;Duisburg;Auszubildende;2021
Felix;Keil;1998;MLPD;-1;Nordrhein-Westfalen;15;;;Minden;Student;2021
Dagmar Petra Letizia;Eberhard-Forschner;1953;MLPD;-1;Nordrhein-Westfalen;16;;;Düsseldorf;Lungenfachärztin;2021
Roland Matthäus;Meister;1953;MLPD;-1;Nordrhein-Westfalen;17;;;Essen;Rechtsanwalt;2021
Günther;Bittel;1953;MLPD;-1;Nordrhein-Westfalen;18;Dr.;;Duisburg;Arzt;2021
Gerhard;Labatzki;1954;MLPD;-1;Nordrhein-Westfalen;19;;;Gelsenkirchen;Metallarbeiter i. R.;2021
Vesna;Buljevic;1954;MLPD;-1;Nordrhein-Westfalen;20;;;Bochum;Schauspielerin;2021
Willi Alfred;Mast;1947;MLPD;-1;Nordrhein-Westfalen;21;Dr.;;Gelsenkirchen;Arzt;2021
Michael Hans;May;1949;MLPD;-1;Nordrhein-Westfalen;22;;;Moers;Bergbaurentner;2021
Wolfgang;Wöhrmann;1952;MLPD;-1;Nordrhein-Westfalen;23;;;Herford;Sozialarbeiter i. R.;2021
Ernst Albert;Herbert;1952;MLPD;-1;Nordrhein-Westfalen;24;Dr.;;Köln;Arzt;2021
Leonard;Niesik;1996;Die Humanisten;-1;Nordrhein-Westfalen;1;;;Siegen;Servicetechniker für Industrieroboter;2021
Julia Fabienne;Sandkühler;1995;Die Humanisten;-1;Nordrhein-Westfalen;2;;;Essen;wiss. Mitarbeiterin;2021
Falko;Bartsch;1989;Die Humanisten;-1;Nordrhein-Westfalen;3;;;Münster;Physiotherapeut;2021
Sigrid;Lichtenberg;1973;Die Humanisten;-1;Nordrhein-Westfalen;4;;;Königswinter;Außendienstmitarbeiterin Kunststoffindustrie;2021
Nikola;Jancic;1993;Die Humanisten;-1;Nordrhein-Westfalen;5;;;Bergisch Gladbach;staatl. geprüfter Techniker;2021
Mechthild Theodora;Zimmermann;1967;Die Humanisten;-1;Nordrhein-Westfalen;6;;;Essen;med. Fachangestellte;2021
Marc;Zimmermann;1966;Die Humanisten;-1;Nordrhein-Westfalen;7;;;Essen;Softwareentwickler;2021
Melina;Juppe;1998;Die Humanisten;-1;Nordrhein-Westfalen;8;;;Baesweiler;Auszubildende Industriekauffrau;2021
Jörg Dietrich;Wilmer;1968;Die Humanisten;-1;Nordrhein-Westfalen;9;;;Münster;Projektmanager Verlagsbranche;2021
Paul Moritz;Franke;2001;Die Humanisten;-1;Nordrhein-Westfalen;10;;;Hennef (Sieg);Student;2021
Heike;Warschun;1967;DKP;-1;Nordrhein-Westfalen;1;;;Aachen;Pflegefachkraft;2021
Dave;Varghese;1977;DKP;-1;Nordrhein-Westfalen;2;;;Unna;Sozialarbeiter;2021
Siw;Mammitzsch;1977;DKP;-1;Nordrhein-Westfalen;3;;;Essen;Angestellte;2021
