Vornamen;Nachname;Geburtsjahr;partei;wahlkreis;bundesland;Listenplatz;Titel;Namenszusatz;Wohnort;Beruf;jahr
Kristian;Klinck;1979;SPD;-1;Schleswig-Holstein;13;Dr.;;Preetz;Studienrat;2021
Aylin;Cerrah;1997;SPD;-1;Schleswig-Holstein;14;;;Selent;Studentin;2021
Felix;Ferber;1990;SPD;-1;Schleswig-Holstein;15;;;Flensburg;Geschäftsführer;2021
Katrin;Fedrowitz;1973;SPD;-1;Schleswig-Holstein;16;;;Norderstedt;Bürovorsteherin, MdL a. D.;2021
Mats Marti;Hansen;1988;SPD;-1;Schleswig-Holstein;17;;;Elmshorn;Eventmanager;2021
Martina;Claussen;1976;SPD;-1;Schleswig-Holstein;18;;;Hemmingstedt;Servicemitarbeiterin Touristikinformation;2021
Tobias;Schloo;1992;SPD;-1;Schleswig-Holstein;19;;;Norderstedt;kaufm. Angestellter;2021
Miriam;Huppermann;1985;SPD;-1;Schleswig-Holstein;20;;;Bad Oldesloe;Freiberuflerin;2021
Wolfgang;Kubicki;1952;FDP;-1;Schleswig-Holstein;1;;;Strande;Rechtsanwalt, Dipl.-Volkswirt;2021
Gyde;Jensen-Bornhöft;1989;FDP;-1;Schleswig-Holstein;2;;;Kiel;Politikwissenschaftlerin;2021
Christine Irene;Aschenberg-Dugnus;1959;FDP;-1;Schleswig-Holstein;3;;;Strande;Rechtsanwältin;2021
Maximilian;Mordhorst;1996;FDP;-1;Schleswig-Holstein;4;;;Kiel;Student;2021
Philipp;Rösch;1978;FDP;-1;Schleswig-Holstein;5;;;Klein Offenseth-Sparrieshoop;Dipl.-Kaufmann;2021
Christoph Georgios;Anastasiadis;1995;FDP;-1;Schleswig-Holstein;6;;;Flensburg;Kaufmann;2021
Heike Margit;Stegemann;1964;FDP;-1;Schleswig-Holstein;7;;;Lübeck;Bilanzbuchhalterin;2021
Martin;Turowski;1973;FDP;-1;Schleswig-Holstein;8;;;Ziethen;Unternehmer;2021
Gunnar;Schulz;1976;FDP;-1;Schleswig-Holstein;9;;;Heikendorf;Betriebswirt;2021
Jan;Schupp;1973;FDP;-1;Schleswig-Holstein;10;;;Henstedt-Ulzburg;Security Client Executive;2021
Tobias;Heisig;1995;FDP;-1;Schleswig-Holstein;11;;;Rellingen;Student;2021
Luise;Amtsberg;1984;GRÜNE;-1;Schleswig-Holstein;1;;;Berlin;MdB, Islamwissenschaftlerin;2021
Robert;Habeck;1969;GRÜNE;-1;Schleswig-Holstein;2;;;Flensburg;Politiker;2021
Ingrid Johanna;Nestle;1977;GRÜNE;-1;Schleswig-Holstein;3;Dr.;;Berlin;MdB, Dipl.-Wirtschaftsingenieurin;2021
Konstantin;Notz;1971;GRÜNE;-1;Schleswig-Holstein;4;Dr.;von;Mölln;MdB, Volljurist;2021
Denise;Loop;1994;GRÜNE;-1;Schleswig-Holstein;5;;;Heide;Sozialarbeiterin;2021
Bruno;Hönel;1996;GRÜNE;-1;Schleswig-Holstein;6;;;Lübeck;Psychologie (B. Sc.);2021
Kerstin;Mock-Hofeditz;1966;GRÜNE;-1;Schleswig-Holstein;7;;;Husum;Biologin;2021
Jakob;Blasel;2000;GRÜNE;-1;Schleswig-Holstein;8;;;Kronshagen;Student;2021
Marlene;Langholz-Kaiser;1980;GRÜNE;-1;Schleswig-Holstein;9;;;Flensburg;Promotionsstudentin;2021
Jens;Herrndorff;1969;GRÜNE;-1;Schleswig-Holstein;10;;;Barmstedt;selbst. Musikmanager;2021
Jessica;Kordouni;1982;GRÜNE;-1;Schleswig-Holstein;11;;;Kiel;Referentin Öffentlichkeitsarbeit;2021
Jakob;Brunken;1987;GRÜNE;-1;Schleswig-Holstein;12;;;Kasseedorf;Zimmerermeister;2021
