kurzbezeichnung;wahlkreis_id;GruppennameLang
EB: Trojanowski;142;Unsere Zukunftsperspektive für Digitalisierung, Bildung und Umwelt
EB: Peiler;144;Peiler
EB: Meister;148;Internationalistische Liste
EB: Asmus;151;ASMUSfddB
EB: Oschkinat;151;AufrechterDemokrat
EB: Härtlein;152;Ein Leipziger für Leipzig
EB: Hummitzsch;152;KARLKOMMT
EB: Kohl;152;WIR sind LEIPZIGER
EB: Bayer;152;www.zeitkaufhaus.de Martin Bayer
EB: Schöllner;153;DK Schöllner
EB: Zimmet;154;Direktkandidat Daniel Zimmet
EB: Blickle;157;Internationalistisches Bündnis
EB: Brähmig;158;Brähmig
EB: Queck;158;QUECK
EB: Fuchs;159;Marcus Fuchs - Querdenken 351
EB: Häupl;159;UNO - Menschenrecht - FRIEDEN für Alle
BüSo;160;Bürgerrechtsbewegung Solidarität
EB: Hannig;160;Direktkandidat Frank Hannig
#KLIMAfirst;160;Erststimme fürs Klima
EB: Richter;162;Daniel Richter
EB: Weidemann;162;Internationalistisches Bündnis
EB: Röhder;162;Röhder
EB: Reichel;164;REICHEL
EB: Krajak;165;Internationalistisches Bündnis
III. Weg;166;DER DRITTE WEG
EB: Gerisch;166;Ischgl
EB: Meyer;167;Internationalistisches Bündnis
EB: Müller;167;Wir - alle gemeinsam
EB: Mascher;168;Mascher
EB: El-Fayoumy;168;Wir haben eine Welt zu verlieren
EB: Schmidt;169;Internationalistisches Bündnis
EB: Klement;170;Neue Wege
EB: Marinello;171;Internationalistisches Bündnis
EB: Carstensen;171;Marburger Pogo-Anarchisten
TNT;172;Transparent, Nah am Bürger, Treu den Wählern
EB: Hemm;174;Aktion Bürger für Gerechtigkeit
EB: Schlossbauer;178;CSB Carsten Schlossbauer
EB: Rehbein;180;REHBEIN
EB: Stachowiak;186;Klimaliste Darmstadt-Dieburg
EB: Stein;187;Internationalistisches Bündnis
EB: Grammbitter;188;Gemeinsam sind Wir MehrWert!
Graue Panther;192;Graue Panther
THP;192;Thüringer Heimatpartei
EB: Nebeler;194;Bernd Nebeler
EB: Berger;194;Gebhard Berger
EB: Bieling;196;Marko Bieling
EB: Erdmann;197;Markus Erdmann - Klimaliste
EB: Mandel;198;Klimaliste für Collective Care und Inklusion
EB: Sayn;199;Klimaliste
EB: Krämer;200;Wahlrechtsreform
EB: Vollmer;201;Klimaliste
EB: Bartholomé;203;Internationalistisches Bündnis
EB: Moritz;203;Parteilos Dr. Moritz
EB: Engels;204;Wotan Engels
EB: Seiffert;205;Klimaliste
EB: Heil;205;Mit Sachverstand die Zukunft gestalten
EB: Pohl;206;Klimaliste
EB: Hackel;207;AusUnsrerMitte
EB: Schöne;207;Klimaliste
EB: Bechtel;207;Politik durch Bodenständigkeit und Bürgerbeteiligung
EB: Wittner;208;Klimaliste
EB: Schwang;209;Internationalistisches Bündnis
EB: Hoppe;209;Klimaliste
EB: Lauer;209;Lauer, Marius Wolfgang
EB: Hofmann;210;Klimaliste
EB: Mobasheri;211;Klimaliste
EB: Koccu;211;Parteilos
EB: Vogler;211;Südpfalz - stellt Fragen!
CSU;212;Christlich-Soziale Union in Bayern e.V.
BP;212;Bayernpartei
EB: Hilz;217;Vereinigte Direktkandidaten
EB: Klopstock;218;Politisch mitwirken für alle
EB: Dönmez;220;Deutschland ist Önders
EB: Sommerfeldt;220;Mehr Vernunft
EB: Englisch;225;Einzelbewerber Englisch
EB: Ryssel;226;Parteifreier Direktkandidat WK 226
EB: Manz;228;Manz
EB: Pettenkofer;228;Pettenkofer
EB: Knott;231;Stimme gegen Fraktionszwang
EB: Gradl;232;Unabhängiger Direktkandidat / Nikolaus Gradl
EB: Friedl;233;Malkampf für das Klima
EB: Bauer;235;Keine CO2-Steuer. WIEDERHERSTELLUNG unserer Grundrechte!
EB: Dippel;235;#parteifrei #Gemeinsam gewinnen! #Gemeinsam verändern! Einfach mal anders: Erststimme Dippel!
EB: Roensch;236;Deas
EB: Löhnert;239;MACH
EB: Kunstmann;242;AKB
EB: Kalupner;242;Angela and I are here to create ...
EB: Henig;242;Klimaliste
EB: Eppel;244;Eppel
EB: Schlot;246;Prof. Dr. med. Udo Schlot
EB: Lembach;247;Zeitgemäße Demokratie mit Politik auf Augenhöhe
EB: Kaiser;248;Freiheit jetzt! - Michael Kaiser
EB: Schürer;251;Unparteilich
EB: Kolb;252;Aktion Bürger für Gerechtigkeit
EB: Sirin;252;Ediz Sirin
EB: Baydar;253;Internationalistische Liste
EB: Langhans;255;Vereinigte Direktkandidaten
EB: Dorn;256;Aktion Bürger für Gerechtigkeit
DiB;258;DEMOKRATIE IN BEWEGUNG
BÜRGERBEWEGUNG;258;Bürgerbewegung für Fortschritt und Wandel
EB: Ressdorf;258;Volk ins Parlament - VIP
EB: Demir;259;Demir
EB: Miller;260;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah
EB: Tolzin;260;Nie wieder sinnlose Lockdowns!
EB: Gibanica;265;David Gibanica
EB: Novotny;265;Nicht Ich. Wir.
EB: Hartmann;266;Werner Hartmann
KlimalisteBW;271;Klimaliste Baden-Württemberg
EB: Mund;272;Heidi Mund
EB: Rapps;273;Internationalistische Liste
EB: Schmitt;277;Schmitt Wiesloch
EB: Fritsch;278;Die Zukunft am Start
EB: Herrlinger;279;Internationalistisches Bündnis
EB: Harting;287;Internationalistische Liste
EB: Ringger;287;Wadenbeißer
EB: Schmidt;293;Internationalistisches Bündnis
EB: Poss;296;Poss4SB
SGP;5;Sozialistische Gleichheitspartei, Vierte Internationale
PdF;5;Partei des Fortschritts
LfK;5;>> Partei für Kinder, Jugendliche und Familien <<  – Lobbyisten für Kinder –
