Gruppenname;Gebietsnummer;jahr;Anzahl
PIRATEN;48;2021;1506
NPD;48;2021;0
V-Partei³;48;2021;0
ÖDP;48;2021;264
MLPD;48;2021;0
DKP;48;2021;0
dieBasis;48;2021;2153
du.;48;2021;0
LKR;48;2021;0
Die Humanisten;48;2021;0
Team Todenhöfer;48;2021;0
Volt;48;2021;0
EB: Wieczorek;48;2021;30
EB: Herzig;48;2021;201
CDU;49;2021;39541
SPD;49;2021;56157
FDP;49;2021;9544
AfD;49;2021;14331
GRÜNE;49;2021;15353
DIE LINKE;49;2021;5675
Die PARTEI;49;2021;0
Tierschutzpartei;49;2021;0
FREIE WÄHLER;49;2021;1651
PIRATEN;49;2021;1220
NPD;49;2021;0
V-Partei³;49;2021;0
ÖDP;49;2021;0
MLPD;49;2021;0
DKP;49;2021;0
dieBasis;49;2021;1599
du.;49;2021;0
LKR;49;2021;0
Die Humanisten;49;2021;0
Team Todenhöfer;49;2021;0
Volt;49;2021;0
EB: Jagau;49;2021;282
EB: Deutsch;49;2021;71
CDU;50;2021;31276
SPD;50;2021;51220
FDP;50;2021;9816
AfD;50;2021;8045
GRÜNE;50;2021;28214
DIE LINKE;50;2021;5352
Die PARTEI;50;2021;0
Tierschutzpartei;50;2021;0
FREIE WÄHLER;50;2021;1194
PIRATEN;50;2021;0
NPD;50;2021;0
V-Partei³;50;2021;630
ÖDP;50;2021;352
MLPD;50;2021;101
DKP;50;2021;0
dieBasis;50;2021;1640
du.;50;2021;0
LKR;50;2021;80
Die Humanisten;50;2021;0
Team Todenhöfer;50;2021;0
Volt;50;2021;0
EB: Rosenbaum;50;2021;1359
EB: Wolter;50;2021;212
EB: Gust;50;2021;62
CDU;51;2021;34367
SPD;51;2021;54349
FDP;51;2021;9766
AfD;51;2021;12339
GRÜNE;51;2021;11305
DIE LINKE;51;2021;3575
Die PARTEI;51;2021;0
Tierschutzpartei;51;2021;0
FREIE WÄHLER;51;2021;2113
PIRATEN;51;2021;0
NPD;51;2021;0
V-Partei³;51;2021;0
ÖDP;51;2021;486
MLPD;51;2021;0
DKP;51;2021;0
dieBasis;51;2021;0
du.;51;2021;0
LKR;51;2021;0
Die Humanisten;51;2021;0
Team Todenhöfer;51;2021;0
Volt;51;2021;0
EB: Kunick;51;2021;63
EB: Wiesenthal;51;2021;200
EB: Hönig;51;2021;485
CDU;52;2021;47196
SPD;52;2021;52129
FDP;52;2021;8827
AfD;52;2021;11240
GRÜNE;52;2021;14954
DIE LINKE;52;2021;3835
Die PARTEI;52;2021;0
Tierschutzpartei;52;2021;0
FREIE WÄHLER;52;2021;2031
PIRATEN;52;2021;0
NPD;52;2021;0
V-Partei³;52;2021;0
ÖDP;52;2021;0
MLPD;52;2021;0
DKP;52;2021;0
dieBasis;52;2021;1797
du.;52;2021;0
LKR;52;2021;0
Die Humanisten;52;2021;0
Team Todenhöfer;52;2021;0
Volt;52;2021;0
EB: Schäuble-Leopold;52;2021;58
CDU;53;2021;42958
SPD;53;2021;51385
FDP;53;2021;15261
AfD;53;2021;0
GRÜNE;53;2021;37060
DIE LINKE;53;2021;8057
Die PARTEI;53;2021;0
Tierschutzpartei;53;2021;0
FREIE WÄHLER;53;2021;0
PIRATEN;53;2021;0
NPD;53;2021;0
V-Partei³;53;2021;0
ÖDP;53;2021;0
MLPD;53;2021;232
DKP;53;2021;329
dieBasis;53;2021;3428
du.;53;2021;0
LKR;53;2021;767
Die Humanisten;53;2021;0
Team Todenhöfer;53;2021;0
Volt;53;2021;0
SPD;54;2021;55934
CDU;54;2021;39440
DIE LINKE;54;2021;15306
GRÜNE;54;2021;39721
AfD;54;2021;9099
FDP;54;2021;13929
Die PARTEI;54;2021;2835
FREIE WÄHLER;54;2021;1853
V-Partei³;54;2021;0
MENSCHLICHE WELT;54;2021;0
NPD;54;2021;0
MLPD;54;2021;147
dieBasis;54;2021;2237
ÖDP;54;2021;322
Die Humanisten;54;2021;526
Tierschutzpartei;54;2021;2440
Team Todenhöfer;54;2021;0
Volt;54;2021;1182
SPD;55;2021;52498
CDU;55;2021;28552
DIE LINKE;55;2021;10617
GRÜNE;55;2021;20769
AfD;55;2021;12466
FDP;55;2021;8469
Die PARTEI;55;2021;2629
FREIE WÄHLER;55;2021;1799
V-Partei³;55;2021;609
MENSCHLICHE WELT;55;2021;0
NPD;55;2021;0
MLPD;55;2021;119
dieBasis;55;2021;1770
ÖDP;55;2021;391
Die Humanisten;55;2021;490
Tierschutzpartei;55;2021;0
Team Todenhöfer;55;2021;0
Volt;55;2021;0
PIRATEN;55;2021;908
CDU;56;2021;23433
AfD;56;2021;23799
SPD;56;2021;39853
DIE LINKE;56;2021;10845
FDP;56;2021;7355
GRÜNE;56;2021;5623
Tierschutzpartei;56;2021;0
Die PARTEI;56;2021;2180
FREIE WÄHLER;56;2021;4549
NPD;56;2021;0
DKP;56;2021;0
ÖDP;56;2021;0
MLPD;56;2021;0
dieBasis;56;2021;1771
Die Humanisten;56;2021;0
PIRATEN;56;2021;636
Team Todenhöfer;56;2021;0
UNABHÄNGIGE;56;2021;0
Volt;56;2021;0
EB: Glamann;56;2021;498
EB: Eckelmann;56;2021;295
CDU;57;2021;22991
AfD;57;2021;26163
SPD;57;2021;38247
DIE LINKE;57;2021;12316
FDP;57;2021;10964
GRÜNE;57;2021;7528
Tierschutzpartei;57;2021;0
Die PARTEI;57;2021;2071
FREIE WÄHLER;57;2021;3811
NPD;57;2021;0
DKP;57;2021;0
ÖDP;57;2021;412
MLPD;57;2021;0
dieBasis;57;2021;2090
Die Humanisten;57;2021;0
PIRATEN;57;2021;786
Team Todenhöfer;57;2021;0
UNABHÄNGIGE;57;2021;0
Volt;57;2021;0
EB: Buro;57;2021;335
EB: Schlippenbach;57;2021;1436
CDU;58;2021;39996
AfD;58;2021;30863
SPD;58;2021;50697
DIE LINKE;58;2021;15501
FDP;58;2021;17322
GRÜNE;58;2021;19026
Tierschutzpartei;58;2021;0
Die PARTEI;58;2021;4330
FREIE WÄHLER;58;2021;8282
NPD;58;2021;0
DKP;58;2021;0
ÖDP;58;2021;952
MLPD;58;2021;0
dieBasis;58;2021;3502
Die Humanisten;58;2021;0
PIRATEN;58;2021;2267
Team Todenhöfer;58;2021;0
UNABHÄNGIGE;58;2021;0
Volt;58;2021;0
CDU;59;2021;40804
AfD;59;2021;31929
SPD;59;2021;43117
DIE LINKE;59;2021;21700
FDP;59;2021;12270
GRÜNE;59;2021;11742
Tierschutzpartei;59;2021;0
Die PARTEI;59;2021;4425
FREIE WÄHLER;59;2021;0
NPD;59;2021;0
DKP;59;2021;598
ÖDP;59;2021;737
MLPD;59;2021;0
dieBasis;59;2021;3750
Die Humanisten;59;2021;0
PIRATEN;59;2021;0
Team Todenhöfer;59;2021;0
UNABHÄNGIGE;59;2021;0
Volt;59;2021;0
EB: Lorenz;59;2021;2349
EB: Schütz;59;2021;788
CDU;60;2021;29236
AfD;60;2021;23931
SPD;60;2021;46642
DIE LINKE;60;2021;12672
FDP;60;2021;9266
GRÜNE;60;2021;9474
Tierschutzpartei;60;2021;0
Die PARTEI;60;2021;2525
FREIE WÄHLER;60;2021;5521
NPD;60;2021;0
DKP;60;2021;0
ÖDP;60;2021;401
MLPD;60;2021;0
dieBasis;60;2021;2305
Die Humanisten;60;2021;0
PIRATEN;60;2021;840
Team Todenhöfer;60;2021;0
UNABHÄNGIGE;60;2021;1133
Volt;60;2021;0
EB: Conrad;60;2021;955
EB: Hinners;60;2021;478
CDU;61;2021;26050
AfD;61;2021;17302
SPD;61;2021;64271
DIE LINKE;61;2021;14701
FDP;61;2021;16872
GRÜNE;61;2021;35452
Tierschutzpartei;61;2021;0
Die PARTEI;61;2021;3367
FREIE WÄHLER;61;2021;3439
NPD;61;2021;0
DKP;61;2021;369
ÖDP;61;2021;804
MLPD;61;2021;0
dieBasis;61;2021;3019
Die Humanisten;61;2021;458
PIRATEN;61;2021;0
Team Todenhöfer;61;2021;0
UNABHÄNGIGE;61;2021;0
Volt;61;2021;1004
EB: Roloff;61;2021;845
EB: Müller;61;2021;442
EB: Grütte;61;2021;57
EB: Charnow;61;2021;393
CDU;62;2021;38080
AfD;62;2021;33719
SPD;62;2021;50696
DIE LINKE;62;2021;17417
FDP;62;2021;15073
GRÜNE;62;2021;13523
Tierschutzpartei;62;2021;6735
Die PARTEI;62;2021;0
FREIE WÄHLER;62;2021;8065
NPD;62;2021;0
DKP;62;2021;394
ÖDP;62;2021;442
MLPD;62;2021;0
dieBasis;62;2021;2916
Die Humanisten;62;2021;0
PIRATEN;62;2021;1319
Team Todenhöfer;62;2021;0
UNABHÄNGIGE;62;2021;0
Volt;62;2021;0
EB: Gabler;62;2021;617
EB: Hitzer;62;2021;622
EB: Commentz;62;2021;78
FAMILIE;62;2021;1817
CDU;63;2021;22876
AfD;63;2021;30182
SPD;63;2021;39350
DIE LINKE;63;2021;15690
FDP;63;2021;9975
GRÜNE;63;2021;8865
Tierschutzpartei;63;2021;0
Die PARTEI;63;2021;3343
FREIE WÄHLER;63;2021;5115
NPD;63;2021;0
DKP;63;2021;0
ÖDP;63;2021;751
MLPD;63;2021;304
dieBasis;63;2021;2915
Die Humanisten;63;2021;0
PIRATEN;63;2021;0
Team Todenhöfer;63;2021;0
UNABHÄNGIGE;63;2021;0
Volt;63;2021;0
EB: Kaun;63;2021;291
EB: Marquardt;63;2021;784
CDU;64;2021;21072
AfD;64;2021;32530
SPD;64;2021;34882
DIE LINKE;64;2021;11156
FDP;64;2021;11400
GRÜNE;64;2021;4662
Tierschutzpartei;64;2021;0
Die PARTEI;64;2021;2943
FREIE WÄHLER;64;2021;3375
NPD;64;2021;0
DKP;64;2021;424
ÖDP;64;2021;0
MLPD;64;2021;0
dieBasis;64;2021;2779
Die Humanisten;64;2021;0
PIRATEN;64;2021;0
Team Todenhöfer;64;2021;0
UNABHÄNGIGE;64;2021;1140
Volt;64;2021;0
CDU;65;2021;19130
AfD;65;2021;29560
SPD;65;2021;29998
DIE LINKE;65;2021;10630
FDP;65;2021;10597
GRÜNE;65;2021;4110
Tierschutzpartei;65;2021;0
Die PARTEI;65;2021;2245
FREIE WÄHLER;65;2021;4872
NPD;65;2021;0
DKP;65;2021;0
ÖDP;65;2021;0
MLPD;65;2021;0
dieBasis;65;2021;1719
Die Humanisten;65;2021;0
PIRATEN;65;2021;0
Team Todenhöfer;65;2021;0
UNABHÄNGIGE;65;2021;5066
Volt;65;2021;0
EB: Janda;65;2021;356
CDU;66;2021;23433
AfD;66;2021;20875
DIE LINKE;66;2021;11218
SPD;66;2021;29599
FDP;66;2021;9116
GRÜNE;66;2021;4674
Tierschutzallianz;66;2021;0
FREIE WÄHLER;66;2021;5584
Die PARTEI;66;2021;0
NPD;66;2021;0
Gartenpartei;66;2021;0
MLPD;66;2021;0
dieBasis;66;2021;2132
du.;66;2021;0
ÖDP;66;2021;0
Die Humanisten;66;2021;0
Tierschutzpartei;66;2021;0
PIRATEN;66;2021;0
Volt;66;2021;0
EB: Bibiella;66;2021;69
EB: Janowski;66;2021;880
CDU;67;2021;36652
AfD;67;2021;29843
DIE LINKE;67;2021;12785
SPD;67;2021;38520
FDP;67;2021;11817
GRÜNE;67;2021;6184
Tierschutzallianz;67;2021;3014
FREIE WÄHLER;67;2021;3704
Die PARTEI;67;2021;0
NPD;67;2021;0
Gartenpartei;67;2021;0
MLPD;67;2021;0
dieBasis;67;2021;2258
du.;67;2021;0
ÖDP;67;2021;0
Die Humanisten;67;2021;0
Tierschutzpartei;67;2021;1969
PIRATEN;67;2021;0
Volt;67;2021;0
CDU;68;2021;37884
AfD;68;2021;24947
DIE LINKE;68;2021;14413
SPD;68;2021;34812
FDP;68;2021;10064
GRÜNE;68;2021;6320
Tierschutzallianz;68;2021;0
FREIE WÄHLER;68;2021;4972
Die PARTEI;68;2021;0
NPD;68;2021;0
Gartenpartei;68;2021;0
MLPD;68;2021;0
dieBasis;68;2021;3160
du.;68;2021;0
ÖDP;68;2021;0
Die Humanisten;68;2021;0
Tierschutzpartei;68;2021;0
PIRATEN;68;2021;0
Volt;68;2021;0
EB: Barth;68;2021;272
CDU;69;2021;34177
AfD;69;2021;23398
DIE LINKE;69;2021;15137
SPD;69;2021;39233
FDP;69;2021;12139
GRÜNE;69;2021;14381
Tierschutzallianz;69;2021;4357
FREIE WÄHLER;69;2021;2430
Die PARTEI;69;2021;2081
NPD;69;2021;0
Gartenpartei;69;2021;2095
MLPD;69;2021;221
dieBasis;69;2021;2247
du.;69;2021;0
ÖDP;69;2021;302
Die Humanisten;69;2021;0
Tierschutzpartei;69;2021;0
PIRATEN;69;2021;0
Volt;69;2021;0
#TeamFranka;69;2021;3094
CDU;70;2021;39042
AfD;70;2021;22002
DIE LINKE;70;2021;9003
SPD;70;2021;22178
FDP;70;2021;7591
GRÜNE;70;2021;7632
Tierschutzallianz;70;2021;0
FREIE WÄHLER;70;2021;3530
Die PARTEI;70;2021;0
NPD;70;2021;0
Gartenpartei;70;2021;0
MLPD;70;2021;0
dieBasis;70;2021;2074
du.;70;2021;0
ÖDP;70;2021;0
Die Humanisten;70;2021;0
Tierschutzpartei;70;2021;0
PIRATEN;70;2021;0
Volt;70;2021;0
EB: Rohne;70;2021;352
EB: Wassenaar;70;2021;415
CDU;71;2021;32295
AfD;71;2021;33225
DIE LINKE;71;2021;20246
SPD;71;2021;28386
FDP;71;2021;10637
GRÜNE;71;2021;4587
Tierschutzallianz;71;2021;0
FREIE WÄHLER;71;2021;4845
Die PARTEI;71;2021;0
NPD;71;2021;0
Gartenpartei;71;2021;0
MLPD;71;2021;0
dieBasis;71;2021;1969
du.;71;2021;0
ÖDP;71;2021;0
Die Humanisten;71;2021;0
Tierschutzpartei;71;2021;0
PIRATEN;71;2021;0
Volt;71;2021;0
EB: Zimmermann;71;2021;1006
CDU;72;2021;30499
AfD;72;2021;22517
DIE LINKE;72;2021;19247
SPD;72;2021;42335
FDP;72;2021;11867
GRÜNE;72;2021;12521
Tierschutzallianz;72;2021;0
FREIE WÄHLER;72;2021;3129
Die PARTEI;72;2021;2335
NPD;72;2021;0
Gartenpartei;72;2021;0
MLPD;72;2021;399
dieBasis;72;2021;2222
du.;72;2021;0
ÖDP;72;2021;0
Die Humanisten;72;2021;0
Tierschutzpartei;72;2021;0
PIRATEN;72;2021;0
Volt;72;2021;0
CDU;73;2021;32649
AfD;73;2021;32328
DIE LINKE;73;2021;12419
SPD;73;2021;27165
FDP;73;2021;11764
GRÜNE;73;2021;4207
Tierschutzallianz;73;2021;0
FREIE WÄHLER;73;2021;0
Die PARTEI;73;2021;0
NPD;73;2021;0
Gartenpartei;73;2021;0
MLPD;73;2021;0
dieBasis;73;2021;3761
du.;73;2021;0
ÖDP;73;2021;0
Die Humanisten;73;2021;0
Tierschutzpartei;73;2021;0
PIRATEN;73;2021;0
Volt;73;2021;0
CDU;74;2021;32732
AfD;74;2021;32930
DIE LINKE;74;2021;13108
SPD;74;2021;30969
FDP;74;2021;11089
GRÜNE;74;2021;3820
Tierschutzallianz;74;2021;0
FREIE WÄHLER;74;2021;3958
Die PARTEI;74;2021;0
NPD;74;2021;0
Gartenpartei;74;2021;0
MLPD;74;2021;0
dieBasis;74;2021;2731
du.;74;2021;0
ÖDP;74;2021;0
Die Humanisten;74;2021;0
Tierschutzpartei;74;2021;0
PIRATEN;74;2021;0
Volt;74;2021;0
CDU;75;2021;19216
DIE LINKE;75;2021;19764
SPD;75;2021;30611
GRÜNE;75;2021;42443
AfD;75;2021;7632
FDP;75;2021;8448
Die PARTEI;75;2021;2785
Tierschutzpartei;75;2021;2700
PIRATEN;75;2021;809
Die Grauen;75;2021;0
FREIE WÄHLER;75;2021;0
Gesundheitsforschung;75;2021;0
ÖDP;75;2021;199
du.;75;2021;0
V-Partei³;75;2021;0
DKP;75;2021;0
MLPD;75;2021;193
BüSo;75;2021;0
SGP;75;2021;0
LKR;75;2021;81
NPD;75;2021;0
Die Humanisten;75;2021;396
Team Todenhöfer;75;2021;0
Volt;75;2021;1290
dieBasis;75;2021;1809
EB: Fielsch;75;2021;56
EB: Zebian;75;2021;162
CDU;76;2021;23439
DIE LINKE;76;2021;19048
SPD;76;2021;21387
GRÜNE;76;2021;35919
AfD;76;2021;19023
FDP;76;2021;4069
Die PARTEI;76;2021;3411
Tierschutzpartei;76;2021;4125
PIRATEN;76;2021;852
Die Grauen;76;2021;0
FREIE WÄHLER;76;2021;1132
Gesundheitsforschung;76;2021;407
ÖDP;76;2021;322
du.;76;2021;0
V-Partei³;76;2021;0
DKP;76;2021;0
MLPD;76;2021;0
BüSo;76;2021;0
SGP;76;2021;0
LKR;76;2021;246
NPD;76;2021;0
Die Humanisten;76;2021;0
Team Todenhöfer;76;2021;0
Volt;76;2021;754
CDU;77;2021;32972
DIE LINKE;77;2021;5194
SPD;77;2021;26901
GRÜNE;77;2021;15523
AfD;77;2021;12583
FDP;77;2021;8333
Die PARTEI;77;2021;1555
Tierschutzpartei;77;2021;3374
PIRATEN;77;2021;0
Die Grauen;77;2021;1962
FREIE WÄHLER;77;2021;2154
Gesundheitsforschung;77;2021;0
ÖDP;77;2021;270
du.;77;2021;0
V-Partei³;77;2021;0
DKP;77;2021;0
MLPD;77;2021;0
BüSo;77;2021;0
SGP;77;2021;0
LKR;77;2021;0
NPD;77;2021;0
Die Humanisten;77;2021;0
Team Todenhöfer;77;2021;0
Volt;77;2021;0
dieBasis;77;2021;888
CDU;78;2021;28647
DIE LINKE;78;2021;6484
SPD;78;2021;39062
GRÜNE;78;2021;14004
AfD;78;2021;12440
FDP;78;2021;9954
Die PARTEI;78;2021;2392
Tierschutzpartei;78;2021;4358
PIRATEN;78;2021;0
Die Grauen;78;2021;0
FREIE WÄHLER;78;2021;0
Gesundheitsforschung;78;2021;0
ÖDP;78;2021;281
du.;78;2021;0
V-Partei³;78;2021;0
DKP;78;2021;0
MLPD;78;2021;97
BüSo;78;2021;0
SGP;78;2021;0
LKR;78;2021;132
NPD;78;2021;0
Die Humanisten;78;2021;0
Team Todenhöfer;78;2021;0
Volt;78;2021;0
dieBasis;78;2021;1579
BÜNDNIS21;78;2021;200
EB: Bunte;78;2021;185
CDU;79;2021;48530
DIE LINKE;79;2021;7196
SPD;79;2021;41371
GRÜNE;79;2021;37751
AfD;79;2021;9277
FDP;79;2021;14929
Die PARTEI;79;2021;1995
Tierschutzpartei;79;2021;3787
PIRATEN;79;2021;666
Die Grauen;79;2021;0
FREIE WÄHLER;79;2021;1398
Gesundheitsforschung;79;2021;398
ÖDP;79;2021;361
du.;79;2021;0
V-Partei³;79;2021;0
DKP;79;2021;0
MLPD;79;2021;0
BüSo;79;2021;0
SGP;79;2021;0
LKR;79;2021;134
NPD;79;2021;0
Die Humanisten;79;2021;0
Team Todenhöfer;79;2021;0
Volt;79;2021;0
dieBasis;79;2021;1749
CDU;80;2021;33023
DIE LINKE;80;2021;7417
SPD;80;2021;33723
GRÜNE;80;2021;33119
AfD;80;2021;7062
FDP;80;2021;10222
Die PARTEI;80;2021;1668
Tierschutzpartei;80;2021;2222
PIRATEN;80;2021;504
Die Grauen;80;2021;0
FREIE WÄHLER;80;2021;1109
Gesundheitsforschung;80;2021;0
ÖDP;80;2021;170
du.;80;2021;0
V-Partei³;80;2021;0
DKP;80;2021;0
MLPD;80;2021;0
BüSo;80;2021;0
SGP;80;2021;0
LKR;80;2021;102
NPD;80;2021;0
Die Humanisten;80;2021;253
Team Todenhöfer;80;2021;0
Volt;80;2021;0
dieBasis;80;2021;1100
EB: Voß;80;2021;122
CDU;81;2021;37902
DIE LINKE;81;2021;10177
SPD;81;2021;45220
GRÜNE;81;2021;42680
AfD;81;2021;10013
FDP;81;2021;12041
Die PARTEI;81;2021;2313
Tierschutzpartei;81;2021;4061
PIRATEN;81;2021;849
Die Grauen;81;2021;0
FREIE WÄHLER;81;2021;1567
Gesundheitsforschung;81;2021;0
ÖDP;81;2021;406
du.;81;2021;0
V-Partei³;81;2021;0
DKP;81;2021;0
MLPD;81;2021;0
BüSo;81;2021;0
SGP;81;2021;0
LKR;81;2021;118
NPD;81;2021;0
Die Humanisten;81;2021;0
Team Todenhöfer;81;2021;0
Volt;81;2021;0
dieBasis;81;2021;1808
MENSCHLICHE WELT;81;2021;301
CDU;82;2021;25173
DIE LINKE;82;2021;16943
SPD;82;2021;33880
GRÜNE;82;2021;25790
AfD;82;2021;10047
FDP;82;2021;8240
Die PARTEI;82;2021;2600
Tierschutzpartei;82;2021;3841
PIRATEN;82;2021;0
Die Grauen;82;2021;0
FREIE WÄHLER;82;2021;0
Gesundheitsforschung;82;2021;0
ÖDP;82;2021;0
du.;82;2021;0
V-Partei³;82;2021;0
DKP;82;2021;0
MLPD;82;2021;171
BüSo;82;2021;0
SGP;82;2021;0
LKR;82;2021;136
NPD;82;2021;0
Die Humanisten;82;2021;0
Team Todenhöfer;82;2021;2326
Volt;82;2021;0
dieBasis;82;2021;1236
sonstige;82;2021;251
EB: Pape;82;2021;62
EB: Lindlmair;82;2021;181
EB: Moser;82;2021;201
CDU;83;2021;12706
DIE LINKE;83;2021;27024
SPD;83;2021;24416
GRÜNE;83;2021;56602
AfD;83;2021;6999
FDP;83;2021;6784
Die PARTEI;83;2021;7859
Tierschutzpartei;83;2021;2902
PIRATEN;83;2021;851
Die Grauen;83;2021;0
FREIE WÄHLER;83;2021;0
Gesundheitsforschung;83;2021;0
ÖDP;83;2021;225
du.;83;2021;370
V-Partei³;83;2021;0
DKP;83;2021;0
MLPD;83;2021;170
BüSo;83;2021;0
SGP;83;2021;0
LKR;83;2021;0
NPD;83;2021;0
Die Humanisten;83;2021;448
Team Todenhöfer;83;2021;0
Volt;83;2021;0
dieBasis;83;2021;1640
B*;83;2021;192
EB: Wendt;83;2021;168
EB: Snelinski;83;2021;276
CDU;84;2021;21016
DIE LINKE;84;2021;54548
SPD;84;2021;23684
GRÜNE;84;2021;15806
AfD;84;2021;17978
FDP;84;2021;8950
Die PARTEI;84;2021;2518
Tierschutzpartei;84;2021;4565
PIRATEN;84;2021;0
Die Grauen;84;2021;0
FREIE WÄHLER;84;2021;2331
Gesundheitsforschung;84;2021;0
ÖDP;84;2021;447
du.;84;2021;0
V-Partei³;84;2021;0
DKP;84;2021;0
MLPD;84;2021;153
BüSo;84;2021;0
SGP;84;2021;0
LKR;84;2021;394
NPD;84;2021;0
Die Humanisten;84;2021;0
Team Todenhöfer;84;2021;0
Volt;84;2021;0
dieBasis;84;2021;1785
CDU;85;2021;38914
DIE LINKE;85;2021;28572
SPD;85;2021;18901
GRÜNE;85;2021;8064
AfD;85;2021;20980
FDP;85;2021;5859
Die PARTEI;85;2021;2665
Tierschutzpartei;85;2021;5375
PIRATEN;85;2021;0
Die Grauen;85;2021;0
FREIE WÄHLER;85;2021;0
Gesundheitsforschung;85;2021;0
ÖDP;85;2021;0
du.;85;2021;0
V-Partei³;85;2021;0
DKP;85;2021;0
MLPD;85;2021;143
BüSo;85;2021;0
SGP;85;2021;0
LKR;85;2021;180
NPD;85;2021;0
Die Humanisten;85;2021;0
Team Todenhöfer;85;2021;0
Volt;85;2021;0
dieBasis;85;2021;1408
CDU;86;2021;17696
DIE LINKE;86;2021;36409
SPD;86;2021;27413
GRÜNE;86;2021;19179
AfD;86;2021;17415
FDP;86;2021;8463
Die PARTEI;86;2021;3818
Tierschutzpartei;86;2021;5821
PIRATEN;86;2021;0
Die Grauen;86;2021;0
FREIE WÄHLER;86;2021;2443
Gesundheitsforschung;86;2021;0
ÖDP;86;2021;284
du.;86;2021;0
V-Partei³;86;2021;0
DKP;86;2021;0
MLPD;86;2021;195
BüSo;86;2021;0
SGP;86;2021;0
LKR;86;2021;203
NPD;86;2021;0
Die Humanisten;86;2021;0
Team Todenhöfer;86;2021;0
Volt;86;2021;0
dieBasis;86;2021;1768
CDU;87;2021;35562
SPD;87;2021;33087
FDP;87;2021;10906
AfD;87;2021;5314
GRÜNE;87;2021;41942
DIE LINKE;87;2021;6161
Die PARTEI;87;2021;3058
Tierschutzpartei;87;2021;0
PIRATEN;87;2021;0
FREIE WÄHLER;87;2021;849
NPD;87;2021;0
ÖDP;87;2021;0
V-Partei³;87;2021;0
Gesundheitsforschung;87;2021;0
MLPD;87;2021;0
Die Humanisten;87;2021;0
DKP;87;2021;0
SGP;87;2021;0
dieBasis;87;2021;1502
Bündnis C;87;2021;0
du.;87;2021;0
LIEBE;87;2021;0
LKR;87;2021;0
PdF;87;2021;0
LfK;87;2021;0
Team Todenhöfer;87;2021;0
Volt;87;2021;0
EB: Böving;87;2021;122
EB: Teßmann;87;2021;410
CDU;88;2021;54808
SPD;88;2021;58189
FDP;88;2021;12055
AfD;88;2021;12632
GRÜNE;88;2021;19976
DIE LINKE;88;2021;4496
Die PARTEI;88;2021;2893
Tierschutzpartei;88;2021;0
PIRATEN;88;2021;0
FREIE WÄHLER;88;2021;2034
NPD;88;2021;0
ÖDP;88;2021;0
V-Partei³;88;2021;0
Gesundheitsforschung;88;2021;0
MLPD;88;2021;0
Die Humanisten;88;2021;0
DKP;88;2021;0
SGP;88;2021;0
dieBasis;88;2021;1704
Bündnis C;88;2021;0
du.;88;2021;0
LIEBE;88;2021;0
LKR;88;2021;0
PdF;88;2021;0
LfK;88;2021;0
Team Todenhöfer;88;2021;0
Volt;88;2021;0
CDU;89;2021;57095
SPD;89;2021;37249
FDP;89;2021;10691
AfD;89;2021;10965
GRÜNE;89;2021;15368
DIE LINKE;89;2021;3608
Die PARTEI;89;2021;4901
Tierschutzpartei;89;2021;0
PIRATEN;89;2021;0
FREIE WÄHLER;89;2021;2288
NPD;89;2021;0
ÖDP;89;2021;0
V-Partei³;89;2021;0
Gesundheitsforschung;89;2021;0
MLPD;89;2021;0
Die Humanisten;89;2021;0
DKP;89;2021;0
SGP;89;2021;0
dieBasis;89;2021;1554
Bündnis C;89;2021;0
du.;89;2021;0
LIEBE;89;2021;0
LKR;89;2021;0
PdF;89;2021;0
LfK;89;2021;0
Team Todenhöfer;89;2021;0
Volt;89;2021;0
CDU;90;2021;55719
SPD;90;2021;46734
FDP;90;2021;11237
AfD;90;2021;12947
GRÜNE;90;2021;14174
DIE LINKE;90;2021;3449
Die PARTEI;90;2021;2298
Tierschutzpartei;90;2021;0
PIRATEN;90;2021;1146
FREIE WÄHLER;90;2021;2196
NPD;90;2021;0
ÖDP;90;2021;0
V-Partei³;90;2021;0
Gesundheitsforschung;90;2021;0
MLPD;90;2021;0
Die Humanisten;90;2021;0
DKP;90;2021;0
SGP;90;2021;0
dieBasis;90;2021;1565
Bündnis C;90;2021;0
du.;90;2021;0
LIEBE;90;2021;0
LKR;90;2021;0
PdF;90;2021;0
LfK;90;2021;0
Team Todenhöfer;90;2021;0
Volt;90;2021;0
UNABHÄNGIGE;90;2021;473
CDU;91;2021;63635
SPD;91;2021;58858
FDP;91;2021;17542
AfD;91;2021;13537
GRÜNE;91;2021;25409
DIE LINKE;91;2021;5889
Die PARTEI;91;2021;0
Tierschutzpartei;91;2021;0
PIRATEN;91;2021;2860
FREIE WÄHLER;91;2021;2132
NPD;91;2021;0
ÖDP;91;2021;0
V-Partei³;91;2021;0
Gesundheitsforschung;91;2021;0
MLPD;91;2021;0
Die Humanisten;91;2021;0
DKP;91;2021;0
SGP;91;2021;0
dieBasis;91;2021;2218
Bündnis C;91;2021;0
du.;91;2021;0
LIEBE;91;2021;873
LKR;91;2021;0
PdF;91;2021;0
LfK;91;2021;0
Team Todenhöfer;91;2021;0
Volt;91;2021;0
CDU;92;2021;65981
SPD;92;2021;50892
FDP;92;2021;19805
AfD;92;2021;14999
GRÜNE;92;2021;25005
DIE LINKE;92;2021;4993
Die PARTEI;92;2021;2690
Tierschutzpartei;92;2021;0
PIRATEN;92;2021;1189
