Gruppenname;Gebietsnummer;jahr;Anzahl
SSW;10;2021;0
Team Todenhöfer;10;2021;0
Volt;10;2021;0
V-Partei³;10;2021;0
CDU;11;2021;28266
SPD;11;2021;44315
FDP;11;2021;9700
GRÜNE;11;2021;27809
AfD;11;2021;8538
DIE LINKE;11;2021;4020
Die PARTEI;11;2021;2193
FREIE WÄHLER;11;2021;1788
NPD;11;2021;0
ÖDP;11;2021;0
MLPD;11;2021;189
dieBasis;11;2021;1594
DKP;11;2021;91
du.;11;2021;298
LKR;11;2021;89
Die Humanisten;11;2021;0
Tierschutzpartei;11;2021;0
SSW;11;2021;0
Team Todenhöfer;11;2021;0
Volt;11;2021;765
V-Partei³;11;2021;0
EB: Kerkhoff;11;2021;220
CDU;12;2021;31754
AfD;12;2021;25393
DIE LINKE;12;2021;17906
SPD;12;2021;45189
FDP;12;2021;11769
GRÜNE;12;2021;12061
Tierschutzpartei;12;2021;0
NPD;12;2021;0
Die PARTEI;12;2021;1910
FREIE WÄHLER;12;2021;3552
MLPD;12;2021;243
ÖDP;12;2021;0
dieBasis;12;2021;2417
DKP;12;2021;0
Die Humanisten;12;2021;0
PIRATEN;12;2021;1414
Team Todenhöfer;12;2021;0
Volt;12;2021;0
CDU;13;2021;26208
AfD;13;2021;24760
DIE LINKE;13;2021;14949
SPD;13;2021;50736
FDP;13;2021;10322
GRÜNE;13;2021;8163
Tierschutzpartei;13;2021;0
NPD;13;2021;0
Die PARTEI;13;2021;0
FREIE WÄHLER;13;2021;3531
MLPD;13;2021;0
ÖDP;13;2021;0
dieBasis;13;2021;2796
DKP;13;2021;0
Die Humanisten;13;2021;0
PIRATEN;13;2021;0
Team Todenhöfer;13;2021;0
Volt;13;2021;0
EB: Löwe;13;2021;2581
CDU;14;2021;27672
AfD;14;2021;19882
DIE LINKE;14;2021;29715
SPD;14;2021;43932
FDP;14;2021;12242
GRÜNE;14;2021;16556
Tierschutzpartei;14;2021;4476
NPD;14;2021;0
Die PARTEI;14;2021;0
FREIE WÄHLER;14;2021;2131
MLPD;14;2021;356
ÖDP;14;2021;0
dieBasis;14;2021;4744
DKP;14;2021;0
Die Humanisten;14;2021;0
PIRATEN;14;2021;1304
Team Todenhöfer;14;2021;0
Volt;14;2021;0
CDU;15;2021;33903
AfD;15;2021;33025
DIE LINKE;15;2021;22767
SPD;15;2021;40429
FDP;15;2021;11005
GRÜNE;15;2021;12199
Tierschutzpartei;15;2021;5083
NPD;15;2021;0
Die PARTEI;15;2021;1782
FREIE WÄHLER;15;2021;1835
MLPD;15;2021;226
ÖDP;15;2021;0
dieBasis;15;2021;2805
DKP;15;2021;0
Die Humanisten;15;2021;0
PIRATEN;15;2021;1094
Team Todenhöfer;15;2021;0
Volt;15;2021;0
CDU;16;2021;31182
AfD;16;2021;36597
DIE LINKE;16;2021;16202
SPD;16;2021;37392
FDP;16;2021;11165
GRÜNE;16;2021;6112
Tierschutzpartei;16;2021;4765
NPD;16;2021;0
Die PARTEI;16;2021;0
FREIE WÄHLER;16;2021;2468
MLPD;16;2021;0
ÖDP;16;2021;0
dieBasis;16;2021;3257
DKP;16;2021;0
Die Humanisten;16;2021;0
PIRATEN;16;2021;0
Team Todenhöfer;16;2021;0
Volt;16;2021;0
EB: Krüger;16;2021;509
UNABHÄNGIGE;16;2021;1019
CDU;17;2021;29950
AfD;17;2021;30320
DIE LINKE;17;2021;14494
SPD;17;2021;43730
